ACCE_ABSORB_COST	Combinatiekosten: %d
COMMUNITY_BLOCKED_PARTY_JOIN	Aansluiten bij Groep
COMMUNITY_BLOCKED_PARTY_WHISPER	Fluisteren
COMMUNITY_CANT_ACTION_TIMER	Probeer het later opnieuw a.u.b.
COMMUNITY_CANT_ADD_BLOCK_ANYMORE	Je kunt niet meer spelers blokkeren (max. %d).
COMMUNITY_CANT_ADD_FRIEND_ANYMORE	Je kunt niet meer vrienden hebben (max. %d).
COMMUNITY_CANT_ADD_FRIEND_SELF	Je kunt geen vrienden worden met jezelf.
COMMUNITY_CANT_ADD_GM	Je kunt GM's niet toevoegen als vrienden.
COMMUNITY_CANT_BLOCK_FAMILY	Je kunt je wederhelft niet blokkeren.
COMMUNITY_CANT_BLOCK_FRIEND	Je moet %s eerst ontvrienden.
COMMUNITY_CANT_BLOCK_REQUEST_FRIEND	Je kunt niet iemand blokkeren waarnaar je een vriendschapsverzoek gestuurd hebt.
COMMUNITY_CANT_BLOCK_SELF	Je kunt jezelf niet blokkeren.
COMMUNITY_CANT_REGISTER_NOT_INSURT	Je kunt geen ongepast taalgebruik gebruiken.
COMMUNITY_CANT_REQUEST_BLOCKED_USER	Verwijder de speler eerst van jouw blokkeerlijst.
COMMUNITY_CANT_REQUEST_DUPLICATE	Probeer het alsjeblieft opnieuw, want %s kan momenteel geen vrienden toevoegen.
COMMUNITY_CANT_REQUEST_FRIEND_SELF	Je kunt geen vrienden worden met jezelf.
COMMUNITY_CANT_REQUEST_SAME_ACCOUNT	Je kan geen vrienden worden met een ander karakter op je eigen account.
COMMUNITY_DELETE	Verwijderen
COMMUNITY_DELETE_BLOCK	%s is verwijderd van jouw blokkeerlijst.
COMMUNITY_DELETE_BLOCK_FIRST	Verwijder de speler eerst van jouw blokkeerlijst.
COMMUNITY_DELETE_FRIEND	%s is verwijderd van jouw vriendenlijst.
COMMUNITY_DELETE_FRIEND_FIRST	Je moet %s eerst ontvrienden.
COMMUNITY_DELETE_REQUEST_LIST_FIRST	Verwijder de speler eerst uit jouw vriendschapsverzoeken.
COMMUNITY_INVALID_NAME	Deze naam kan niet gevonden worden of bestaat niet.
COMMUNITY_INVITE_PARTY	Je hebt een verzoek verstuurd om toegelaten te worden bij %s's groep.
COMMUNITY_LOGIN_MEMBER	%s is online.
COMMUNITY_MEMBER_LEVEL	(Lvl. %d)
COMMUNITY_REGISTER_COMMENT	Versturen
COMMUNITY_REGISTER_COMPLETE	Je hebt een nieuw bericht gepubliceerd.
COMMUNITY_REQUESTED_ALREADY	Deze speler staat al op jouw verzoekenlijst.
COMMUNITY_REQUEST_ALARM_AT_LOGIN	Je hebt een vriendschapsverzoek ontvangen. Bekijk het Community-venster.
COMMUNITY_REQUEST_FRIEND	%s heeft je een vriendschapsverzoek gestuurd.
COMMUNITY_REQUEST_FRIEND_SUCCESS	Je hebt een vriendschapsverzoek verstuurd naar %s.
COMMUNITY_REQUEST_LIST_OVER_MAX	Je kunt geen vriendschapsverzoek sturen naar %s omdat je vriendenlijst vol is.
COMMUNITY_TARGET_BLOCKED_YOU	%s heeft jou geblokkeerd.
COMMUNITY_TARGET_EXIST_REQUEST_LIST	Deze speler staat al op jouw verzoekenlijst.
COMMUNITY_TARGET_MAX_FRIEND_COUNT	%s's vriendenlijst is vol. Het verzoek kon niet verzonden worden.
COMMUNITY_TARGET_REFUSE_REQUEST	%s heeft jouw vriendschapsverzoek afgewezen.
COMMUNITY_TARGET_REQUEST_FRIEND_BLOCK_MODE	De speler heeft jouw vriendschapsverzoek geblokkeerd.
COMMUNITY_TARGET_RUNNING_QUEST	De speler kan jouw vriendschapsverzoek momenteel niet accepteren.
CRAFT_INTEGRATE_CRAFTING_QUESTION_1	Wil je doorgaan?
CRAFT_INTEGRATE_CRAFTING_QUESTION_2	Probeer %s %d keer te verbeteren.
CRAFT_INTEGRATE_CRAFTING_QUESTION_3	Kans op succes: %d%%
CRAFT_INTEGRATE_CRAFTING_QUESTION_4	Kosten: %s Yang
CRAFT_INTEGRATE_DISMANTLE_ASK_AGAIN_1	Wil je het echt ontmantelen?
CRAFT_INTEGRATE_DISMANTLE_ASK_AGAIN_2	Ontmantelde items kunnen niet meer hersteld worden.
CRAFT_INTEGRATE_DISMANTLE_ASK_AGAIN_3	Ontmantel: %s, %d
CRAFT_INTEGRATE_DISMANTLE_ASK_AGAIN_4	Resultaat: %s, %s
CRAFT_INTEGRATE_DISMANTLE_ASK_ATTR_1	Dit heeft drie of meer eigenschappen.
CRAFT_INTEGRATE_DISMANTLE_ASK_ATTR_2	Wil je het echt ontmantelen tot Energie Fragmenten?
CRAFT_INTEGRATE_DISMANTLE_FAIL_ITEM_LIMIT_LEVEL	Alleen items van level 35+ kunnen ontmanteld worden.
CRAFT_INTEGRATE_DISMANTLE_FAIL_NOT_ALLOWED_UI_OPEN	Dit kan niet uitgevoerd worden zolang er een andere actie actief is.
CRAFT_INTEGRATE_DISMANTLE_FAIL_PLAYER_LEVEL_NOT_ENOUGH	Beschikbaar voor karakters van level 35+.
CRAFT_INTEGRATE_DISMANTLE_FAIL_WRONG_BEHAVIOR	Deze actie is niet toegestaan.
CRAFT_INTEGRATE_DISMANTLE_FAIL_WRONG_ITEM	Dit item kan niet ontmanteld worden.
CRAFT_INTEGRATE_DISMANTLE_ONLY_INVENTORY	Je kunt alleen items ontmantelen in jouw inventaris.
CRAFT_INTEGRATE_GEM	Gaya
CRAFT_INTEGRATE_GEM_ICON_TOOLTIP	Gaya
CRAFT_INTEGRATE_GEM_RESULT_SLOT_TOOLTIP	GAYA
CRAFT_INTEGRATE_ITEM_COUNT	[%d]
CRAFT_INTEGRATE_ITEM_INFO	%s (%d%%)
CRAFT_INTEGRATE_MAX_BUTTON_TOOLTIP	MAX
CRAFT_INTEGRATE_MIN_BUTTON_TOOLTIP	MIN
CRAFT_INTEGRATE_ORE	Erts
CRAFT_INTEGRATE_PET_CANNOT_FEED_CRAFT_OPEN	Kan niet gebruikt worden tijdens het produceren.
CRAFT_INTEGRATE_RESULT_GUILD_BUILDING_ACCESS_CHANGED	Deze faciliteit kan alleen worden gebruikt door de gildeleden van het gilde dat eigenaar is van dit gebied.
CRAFT_INTEGRATE_RESULT_GUILD_BUILDING_CHANGED	Dit gebouw wordt momenteel verbouwd en kan daarom niet worden gebruikt. Controleer het alsjeblieft opnieuw.
CRAFT_INTEGRATE_RESULT_GUILD_USE_FEE_CHANGED	De gebruikskosten zijn gewijzigd. Controleer het alsjeblieft opnieuw.
CRAFT_INTEGRATE_RESULT_ITEM_INFO	Item ontvangen: %s x %d
CRAFT_INTEGRATE_RESULT_LACK_GEM	Je hebt niet genoeg Gaya.
CRAFT_INTEGRATE_RESULT_LACK_MATERIAL	Je kunt niet zoveel pogingen doen omdat je niet genoeg materialen hebt.
CRAFT_INTEGRATE_RESULT_LACK_YANG	Je hebt niet genoeg Yang.
CRAFT_INTEGRATE_RESULT_NO_SPACE	Er is niet genoeg ruimte in je inventaris.
CRAFT_INTEGRATE_RESULT_OVER_GEM_MAX	Je hebt de maximale hoeveelheid Gaya al ontvangen.
CRAFT_INTEGRATE_RESULT_TRY_INFO	%s Resultaten: %d Successen, %d Mislukkingen
CRAFT_INTEGRATE_RESULT_TRY_INFO_BIG_SUCCESS	%s Resultaten: %d Grote Successen, %d Successen, %d Mislukkingen
CRAFT_INTEGRATE_SUCCESS_PCT	Kans op succes: %d%%
CRAFT_INTEGRATE_TITLE_CUBE	Productie
CRAFT_INTEGRATE_TITLE_REFINE	Verbetering
CRAFT_INTEGRATE_TITLE_SMELT	Verbetering
CRAFT_INTEGRATE_YANG_ICON_TOOLTIP	Yang
CREATE_ERROR_GM_NAME	Het is niet toegestaan om ,GM‘ in je karakter naam te gebruiken.
CREATE_ERROR_INSULT_NAME	Deze naam is ongeldig.
CREATE_ERROR_LIMIT_LEVEL	Jouw karakter moet minstens level 80 zijn.
CREATE_ERROR_TIME_LIMIT	Je kunt slechts één karakter per 30 seconden aanmaken.
CREATE_ERROR_WRONG_STRING	Deze karakternaam is ongeldig.
CREATE_EXIST_SAME_NAME	Een ander karakter gebruikt deze naam.
CREATE_FAILURE	Je kunt niet nog een karakter aanmaken.
CREATE_FULL	Je kunt niet meer karakters aanmaken.
CREATE_GM_NAME	GM
CREATE_INPUT_NAME	Voer de naam in.
CREATE_PLUS_STAT	Er zijn nog status punten over.
CUBE_ALCHEMY_BANN_SIGN	Je kunt op dit moment niets doen.
CUBE_CATEGORY_ACCESSORY	Sieraden
CUBE_CATEGORY_ALCHEMY	Rune
CUBE_CATEGORY_ARMOR	Pantser
CUBE_CATEGORY_ARMOR_GLOVE	Handschoenen
CUBE_CATEGORY_BELT	Riemen
CUBE_CATEGORY_ETC	Etc.
CUBE_CATEGORY_EVENT	Evenement
CUBE_CATEGORY_JOB	Klasse
CUBE_CATEGORY_MAP	Complete Kaarten
CUBE_CATEGORY_PET	Huisdier
CUBE_CATEGORY_SETADD_ARMOR	Setpantser creëren
CUBE_CATEGORY_SETADD_HELMET	Sethelm creëren
CUBE_CATEGORY_SETADD_WEAPON	Setwapen creëren
CUBE_CATEGORY_WEAPON	Wapen
CUBE_CATEGOR_SKILL_BOOK	Vaardigheden Boek
CUBE_DO_NOT_SAME_ALCHEMY_KINDS	Gebruik alsjeblieft een Rune van het juiste type.
CUBE_FAIL	Vervaardiging mislukt.
CUBE_LIST_TEXT_ITEM_INFO	%s ( %d%% )
CUBE_LIST_TEXT_MAKE_QUANTITY	[%d]
CUBE_MAKE_CONFIRM_QUESTION_1	Tenminste één van de gebruikte items is uiterst waardevol (het heeft meer dan %d bonussen).
CUBE_MAKE_CONFIRM_QUESTION_2	Wil je echt doorgaan?
CUBE_NOT_ENOUGHT_ALCHEMY_COUNT	Je hebt niet genoeg %s, dus je kunt dat momenteel niet maken.
CUBE_NOT_ENOUGH_GEM	Je hebt niet genoeg Gaya.
CUBE_NOT_ENOUGH_GOLD	Onvoldoende Yang voor productie/smeden.
CUBE_NOT_ENOUGH_MATERIAL	Onvoldoende materiaal voor het smeden.
CUBE_PLEASE_SELECT	Er zijn geen items geselecteerd.
CUBE_SELECT_ITEM_FIRST	Kies alsjeblieft eerst een item om te gaan maken.
CUBE_TOOLTIP_PASSIVE_JOB_LEFT_TIME	Resterende tijd: {0} - {1} uur
CUBE_USING_ALCHEMY_INFO	%s wordt gebruikt om te produceren (%d stuks)
CZ_REWARD_QUESTION_COMPLETE	Wil je deze plaats inwisselen?
CZ_REWARD_TOOLTIP_10GAN	Zodiac Embleem
CZ_REWARD_TOOLTIP_10GAN_COUNT	Nummer in inventaris
CZ_REWARD_TOOLTIP_10GAN_NEED_COUNT	Vereist aantal
CZ_REWARD_TOOLTIP_12ZI	Wachter Embleem
CZ_REWARD_TOOLTIP_12ZI_COUNT	Nummer in inventaris
CZ_REWARD_TOOLTIP_12ZI_NEED_COUNT	Vereist aantal
CZ_REWARD_TOOLTIP_ALL_BOX	Astrale Schat
CZ_REWARD_TOOLTIP_CAN_GET_ALL_BOX	Klik hier om jouw Astrale Schat als beloning op te halen.
CZ_REWARD_TOOLTIP_CAN_GET_GREEN_BOX	Klik hier om jouw Aventurine Schat als beloning op te halen.
CZ_REWARD_TOOLTIP_CAN_GET_YELLOW_BOX	Klik hier om jouw Aureolin Schat als beloning op te halen.
CZ_REWARD_TOOLTIP_COMPLETABLE	Inwisselen
CZ_REWARD_TOOLTIP_GREEN_BOX	Aventurine Schat
CZ_REWARD_TOOLTIP_GREEN_BOX_COMP_CNT	Ingewisselde Aventurine Schatten: %d
CZ_REWARD_TOOLTIP_WEEKLY	Dag
CZ_REWARD_TOOLTIP_WEEKLY_FRI	Vrijdag
CZ_REWARD_TOOLTIP_WEEKLY_MON	Maandag
CZ_REWARD_TOOLTIP_WEEKLY_SAT	Zaterdag
CZ_REWARD_TOOLTIP_WEEKLY_SAT_SUN	Zaterdag/Zondag
CZ_REWARD_TOOLTIP_WEEKLY_THU	Donderdag
CZ_REWARD_TOOLTIP_WEEKLY_TUE	Dinsdag
CZ_REWARD_TOOLTIP_WEEKLY_WED	Woensdag
CZ_REWARD_TOOLTIP_YELLOW_BOX	Aureolin Schat
CZ_REWARD_TOOLTIP_YELLOW_BOX_COMP_CNT	Ingewisselde Aureolin Schatten: %d
DAY	d
DETAILS_0	Sterk tegen Metin
DETAILS_1	Kr. tegen Halfmensen
DETAILS_2	Weerst. tg. Halfmens
DETAILS_3	Sterk tegen Orks
DETAILS_4	Sterk tegen Ondoden
DETAILS_5	Sterk tegen Monsters
DETAILS_6	Kr. tegen Zodiac Mon
DETAILS_7	Sterk tegen Dieren
DETAILS_8	Sterk vs. Mystici
DETAILS_9	Sterk tegen Duivels
DETAILS_10	Kr. tegen Woest. Mon
DETAILS_11	Kr. tegen Insecten
DETAILS_12	Aanvalswaarde
DETAILS_13	Verdedigingswaarde
DETAILS_14	Gemiddelde Schade
DETAILS_15	Gem. Schade Weerst.
DETAILS_16	Vaardigheden Schade
DETAILS_17	Vaardig. Schade Weerstand
DETAILS_18	Magische/Fys. Aanval
DETAILS_19	Magische Aanval
DETAILS_20	Kritieke Slag Kans
DETAILS_21	Perforerende Slag
DETAILS_22	Kritieke Slag Weerst
DETAILS_23	Perf. Slag Weerst.
DETAILS_24	Bliksem Weerstand
DETAILS_25	IJs Weerstand
DETAILS_26	Duisternis Weerstand
DETAILS_27	Vuur Weerstand
DETAILS_28	Wind Weerstand
DETAILS_29	Aarde Weerstand
DETAILS_30	Kracht van Bliksem
DETAILS_31	Kracht van IJs
DETAILS_32	Kracht van Duistern.
DETAILS_33	Kracht van Vuur
DETAILS_34	Kracht van de Wind
DETAILS_35	Kracht van Aarde
DETAILS_36	Sterk tegen Krijgers
DETAILS_37	Sterk tegen Ninja's
DETAILS_38	Sterk tegen Sura's
DETAILS_39	Sterk tegen Sjamanen
DETAILS_40	Sterk tegen Lycanen
DETAILS_41	Verd. tegen Krijgers
DETAILS_42	Verd. tegen Ninja's
DETAILS_43	Verd. tegen Sura's
DETAILS_44	Verd. tegen Sjamanen
DETAILS_45	Verd. tegen Lycanen
DETAILS_46	Zwaard Verdediging
DETAILS_47	Twee-handig Verd.
DETAILS_48	Dolk Verdediging
DETAILS_49	Klauw Verdediging
DETAILS_50	Bel Verdediging
DETAILS_51	Waaier Verdediging
DETAILS_52	Pijl Verdediging
DETAILS_53	Flauwvalkans
DETAILS_54	Langzaam maken Kans
DETAILS_55	Vergiftigingskans
DETAILS_56	Gif Weerstand
DETAILS_57	Bloedingsaanval
DETAILS_58	Bloedingsaanval Wst.
DETAILS_59	LP Stelen
DETAILS_60	TP Stelen
DETAILS_61	LP Herstel
DETAILS_62	TP Herstel
DETAILS_63	Blokkeer Aanval
DETAILS_64	Ontwijk Pijlaanval
DETAILS_65	Weerkaats Fys. Aanv.
DETAILS_66	LP Herstel bij Doden
DETAILS_67	TP Herstel bij Doden
DETAILS_68	Dubbel ERV
DETAILS_69	Dubbel Yang
DETAILS_70	Drop Kans
DETAILS_71	Aanvalswaarde
DETAILS_72	Verdedigingswaarde
DETAILS_73	ERV
DETAILS_74	Drop Kans
DETAILS_75	Dubbel Yang
DETAILS_76	Magie Weerstand
DETAILS_77	Anti-Magie
DETAILS_78	Wst. tegen monsters
DETAILS_79	Magische Aanvalbonus
DETAILS_ATTBONUS_BELL	Belbreuk
DETAILS_ATTBONUS_BOW	Pijlbreuk
DETAILS_ATTBONUS_CLAW	Klauwbreuk
DETAILS_ATTBONUS_DAGGER	Dolkbreuk
DETAILS_ATTBONUS_DRAGON	Sterk tegen Draken
DETAILS_ATTBONUS_FAN	Waaierbreuk
DETAILS_ATTBONUS_MOON	Stk. vs Maanschaduwmon.
DETAILS_ATTBONUS_SWORD	Zwaardbreuk
DETAILS_ATTBONUS_TWOHAND	Tweehandsbreuk
DETAILS_BLOCK_PENETRATE_PCT	Blokkeerpenetratie
DETAILS_CATE_1	Schade/Verdediging
DETAILS_CATE_2	Elementale bonus
DETAILS_CATE_3	Klasse bonus
DETAILS_CATE_4	Wapenbonus
DETAILS_CATE_5	Overige bonus
DETAILS_CATE_6	Speciale bonus
DETAILS_CONFUSION_TO_MOB	Verbaasd
DETAILS_HIT_PCT	Precisie
DETAILS_MYSTERY_DUNGEON	Sterk tegen Mysteries
DETAILS_REFUSE_EXP	Geen Ervaring Verdiend
DETAILS_RESIST_MOUNT_FALL	Valweerstand
DETAILS_TITLE	Details
DETAILS_TOOLTIP_0	Sterk tegen Metin Stenen: Brengt zwaardere schade toe aan Metin Stenen.
DETAILS_TOOLTIP_1	Sterk tegen Halfmensen: Brengt zwaardere schade toe aan Halfmensen.
DETAILS_TOOLTIP_2	Weerstand tegen Halfmensen: Vermindert de schade die je oploopt van Halfmensen.
DETAILS_TOOLTIP_3	Sterk tegen Orks: Brengt zwaardere schade toe aan orks.
DETAILS_TOOLTIP_4	Sterk tegen Sterk tegen Ondoden: Brengt zwaardere schade toe aan ondoden.
DETAILS_TOOLTIP_5	Sterk tegen Monsters: Brengt zwaardere schade toe aan monsters.
DETAILS_TOOLTIP_6	Sterk tegen Zodiac Monsters: Brengt zwaardere schade toe aan Zodiac-monsters.
DETAILS_TOOLTIP_7	Sterk tegen dieren: Brengt zwaardere schade toe aan dieren.
DETAILS_TOOLTIP_8	Sterk tegen Mystici: Brengt meer schade toe aan mystici.
DETAILS_TOOLTIP_9	Sterk tegen Duivels: Brengt zwaardere schade toe aan duivels.
DETAILS_TOOLTIP_10	Sterk tegen Woestijn Monsters: Brengt zwaardere schade toe aan woestijnmonsters.
DETAILS_TOOLTIP_11	Sterk tegen Insecten: Brengt zwaardere schade toe aan insecten.
DETAILS_TOOLTIP_12	Verhoogt je aanvalswaarde
DETAILS_TOOLTIP_13	Verhoogt je verdedigingswaarde
DETAILS_TOOLTIP_14	Verhoogt de gemiddelde schade die je aan vijanden toebrengt bij een aanval.
DETAILS_TOOLTIP_15	Weerstand tegen gemiddelde schade: vermindert de schade die je oploopt bij een aanval.
DETAILS_TOOLTIP_16	Verhoogt de schade toegebracht door een vaardigheid.
DETAILS_TOOLTIP_17	Weerstand tegen vaardigheden schade: Vermindert de schade die je toegebracht wordt door een vaardigheid.
DETAILS_TOOLTIP_18	Verhoogt zowel je fysieke als magische aanvalswaarde.
DETAILS_TOOLTIP_19	Verhoogt de schade die je aan vijanden toebrengt bij een magische aanval.
DETAILS_TOOLTIP_20	Verhoogt de kans op het uitdelen van een kritieke slag.
DETAILS_TOOLTIP_21	Perforerende slag kans: Verhoogt de kans op het uitdelen van een perforerende slag.
DETAILS_TOOLTIP_22	Kritische slag weerstand: Vermindert de schade toegebracht door een kritieke slag.
DETAILS_TOOLTIP_23	Perforerende slag weerstand: Vermindert de schade toegebracht door een perforerende slag.
DETAILS_TOOLTIP_24	Vermindert de schade die je oploopt van bepaalde monsters.
DETAILS_TOOLTIP_25	Vermindert de schade die je oploopt van bepaalde monsters.
DETAILS_TOOLTIP_26	Duisternis weerstand: Vermindert de schade die je oploopt van bepaalde monsters.
DETAILS_TOOLTIP_27	Vermindert de schade die je oploopt van bepaalde monsters.
DETAILS_TOOLTIP_28	Vermindert de schade die je oploopt van bepaalde monsters.
DETAILS_TOOLTIP_29	Vermindert de schade die je oploopt van bepaalde monsters.
DETAILS_TOOLTIP_30	Verhoogt de schade toe je toebrengt door de kracht van bliksem.
DETAILS_TOOLTIP_31	Verhoogt de schade toe je toebrengt door de kracht van ijs.
DETAILS_TOOLTIP_32	Verhoogt de schade toe je toebrengt door de kracht van duisternis.
DETAILS_TOOLTIP_33	Verhoogt de schade toe je toebrengt door de kracht van vuur.
DETAILS_TOOLTIP_34	Verhoogt de schade toe je toebrengt door de kracht van de wind.
DETAILS_TOOLTIP_35	Verhoogt de schade toe je toebrengt door de kracht van aarde.
DETAILS_TOOLTIP_36	Sterk tegen Krijgers: Brengt zwaardere schade toe aan krijgers.
DETAILS_TOOLTIP_37	Sterk tegen Ninja's: Brengt zwaardere schade toe aan ninja's.
DETAILS_TOOLTIP_38	Sterk tegen Sura's: Brengt zwaardere schade toe aan sura's.
DETAILS_TOOLTIP_39	Sterk tegen Sjamanen: Brengt zwaardere schade toe aan sjamanen.
DETAILS_TOOLTIP_40	Sterk tegen Lycanen: Brengt zwaardere schade toe aan lycanen.
DETAILS_TOOLTIP_41	Verdedigingskans tegen aanvallen van krijgers: Vermindert de schade die je oploopt van krijgers.
DETAILS_TOOLTIP_42	Verdedigingskans tegen aanvallen van ninja's: Vermindert de schade die je oploopt van ninja's.
DETAILS_TOOLTIP_43	Verdedigingskans tegen aanvallen van sura's: Vermindert de schade die je oploopt van sura's.
DETAILS_TOOLTIP_44	Verdedigingskans tegen aanvallen van sjamanen: Vermindert de schade die je oploopt van sjamanen.
DETAILS_TOOLTIP_45	Verdedigingskans tegen aanvallen van lycanen: Vermindert de schade die je oploopt van lycanen.
DETAILS_TOOLTIP_46	Vermindert de schade toegebracht door een zwaard.
DETAILS_TOOLTIP_47	Vermindert de schade toegebracht door een twee-handig wapen.
DETAILS_TOOLTIP_48	Vermindert de schade toegebracht door een dolk.
DETAILS_TOOLTIP_49	Vermindert de schade toegebracht door een klauw.
DETAILS_TOOLTIP_50	Vermindert de schade toegebracht door een bel.
DETAILS_TOOLTIP_51	Vermindert de schade toegebracht door een waaier.
DETAILS_TOOLTIP_52	Vermindert de schade toegebracht door pijl en boog.
DETAILS_TOOLTIP_53	Verhoogt de kans om een tegenstander te laten flauwvallen.
DETAILS_TOOLTIP_54	Verhoogt de kans om een tegenstander te vertragen.
DETAILS_TOOLTIP_55	Verhoogt de kans om een tegenstander te vergiftigen.
DETAILS_TOOLTIP_56	Vermindert de schade toegebracht door gif.
DETAILS_TOOLTIP_57	Verhoogt de kans om een bloedingsaanval uit te voeren.
DETAILS_TOOLTIP_58	Weerstand tegen bloedingsaanvallen: Vermindert de schade toegebracht door een bloedingsaanval.
DETAILS_TOOLTIP_59	Steelt LP van je vijanden als je ze raakt.
DETAILS_TOOLTIP_60	Steelt TP van je vijanden als je ze raakt.
DETAILS_TOOLTIP_61	Verhoogt het herstel van je levenspunten.
DETAILS_TOOLTIP_62	Verhoogt het herstel van je spreukpunten.
DETAILS_TOOLTIP_63	Kans om een fysieke aanval te blokkeren: Verhoogt de kans op het ontwijken van een fysieke aanval.
DETAILS_TOOLTIP_64	Kans om een pijlaanval te ontwijken: Verhoogt de kans op het ontwijken van pijl- of afstandsaanval door een monster.
DETAILS_TOOLTIP_65	Kans om fysieke aanvallen te weerkaatsen: Een deel van de fysieke aanval van de vijand wordt weerkaatst naar hen.
DETAILS_TOOLTIP_66	HP herstel bij doden: Je levenspunten stijgen wanneer je een vijand doodt.
DETAILS_TOOLTIP_67	TP herstel bij doden: Je spreukpunten stijgen wanneer je een vijand doodt.
DETAILS_TOOLTIP_68	Kans om dubbele ervaring te krijgen: Verhoogt de kans op een ERV-bonus als je een tegenstander verslaat.
DETAILS_TOOLTIP_69	Kans op dubbele Yang: Verhoogt de kans op het ontvangen van twee keer zoveel Yang.
DETAILS_TOOLTIP_70	Kans op het droppen van items: Verhoogt de kans op het buitmaken van twee keer zoveel items.
DETAILS_TOOLTIP_71	Verhoogt je aanvalswaarde
DETAILS_TOOLTIP_72	Verhoogt je verdedigingswaarde
DETAILS_TOOLTIP_73	Verhoogt het verzamelen van ervaring.
DETAILS_TOOLTIP_74	Item drop-kans: Verhoogt de kans op het buitmaken van items.
DETAILS_TOOLTIP_75	Yang drop-kans: Verhoogt de kans op het buitmaken van meer Yang.
DETAILS_TOOLTIP_76	Vermindert de schade die je oploopt bij een magische aanval.
DETAILS_TOOLTIP_77	Vermindert de magieweerstand van je vijand.
DETAILS_TOOLTIP_78	Vermindert schade van monsters.
DETAILS_TOOLTIP_79	Verhoogt magische aanvalswaarde.
DETAILS_TOOLTIP_ATTBONUS_BELL	Belverdedigingsbreuk: Vermindert de belverdediging van je tegenstander.
DETAILS_TOOLTIP_ATTBONUS_BOW	Pijlverdedigingsbreuk: Vermindert de pijlverdediging van je tegenstander.
DETAILS_TOOLTIP_ATTBONUS_CLAW	Klauwverdedigingsbreuk: Vermindert de klauwverdediging van je tegenstander.
DETAILS_TOOLTIP_ATTBONUS_DAGGER	Dolkverdedigingsbreuk: Vermindert de dolkverdediging van je tegenstander.
DETAILS_TOOLTIP_ATTBONUS_DRAGON	Brengt meer schade toe aan draken.
DETAILS_TOOLTIP_ATTBONUS_FAN	Waaierverdedigingsbreuk: Vermindert de waaierverdediging van je tegenstander.
DETAILS_TOOLTIP_ATTBONUS_MOON	Brengt grotere schade toe aan Maanschaduwmonsters.
DETAILS_TOOLTIP_ATTBONUS_SWORD	Zwaardverdedigingsbreuk: Vermindert de zwaardverdediging van je tegenstander.
DETAILS_TOOLTIP_ATTBONUS_TWOHAND	Tweehandsverdedigingsbreuk: Vermindert de tweehandsverdediging van je tegenstander.
DETAILS_TOOLTIP_BLOCK_PENETRATE_PCT	Je hebt een kans om schade toe te brengen waarbij je de blokkering van je vijand negeert (alleen in PvP).
DETAILS_TOOLTIP_CONFUSION_TO_MOB	Kan ervoor zorgen dat monsters verward raken.
DETAILS_TOOLTIP_HIT_PCT	Verhoogt de kans om een vijand te raken
DETAILS_TOOLTIP_MYSTERY_DUNGEON	Sterk tegen Mysteries: Brengt meer schadetoe aan monsters in de Mysterieuze Kerker en de Mysterieuze Echo.
DETAILS_TOOLTIP_REFUSE_EXP	Er zal geen ervaring verdiend worden.
DETAILS_TOOLTIP_RESIST_MOUNT_FALL	Valweerstand: Vermindert de kans om van je rijdier af te vallen.
DONT_USE_ITEM_WHEN_SHOW_CONFIRM	Wanneer een aanvraag loopt kun je geen items verplaatsen.
DO_NOT_INSERT_UPBRINGING_PET	Het actieve huisdier kan niet geselecteerd worden.
DO_YOU_BUY_ITEM1	Wil je %s voor %s Yang kopen?
DO_YOU_BUY_ITEM2	Wil je %s (%s stuks) kopen voor %s Yang?
DO_YOU_BUY_ITEM3	Wil je %s kopen voor %s Won en %s Yang?
DO_YOU_BUY_ITEM4	Wil je %s (%s stuks) kopen voor %s Won en %s Yang?
DO_YOU_BUY_ITEM_SECONDARY_COIN_1	Wil je %s voor %s kopen?
DO_YOU_BUY_ITEM_SECONDARY_COIN_2	Wil je %s (%s stuks) kopen voor %s?
DO_YOU_DROP_MONEY	Wil je %d Yang laten vallen?
DO_YOU_SELL_ITEM1	Wil je %s voor %s Yang verkopen?
DO_YOU_SELL_ITEM2	Wil je %s (%s stuks) verkopen voor %s Yang?
DRAGON_GATE_AUTO_REINFORCE_QUESTION	
DRAGON_GATE_CLEAR	
DRAGON_GATE_CLEAR_NOT_ENOUGH_MAX_REINFORCE	
DRAGON_GATE_CLEAR_QUESTION	
DRAGON_GATE_CLEAR_SELECT	
DRAGON_GATE_CLEAR_TOOLTIP	
DRAGON_GATE_DEFENSE	
DRAGON_GATE_ENCHANT_DARK	
DRAGON_GATE_ENCHANT_EARTH	
DRAGON_GATE_ENCHANT_ELECTRIC	
DRAGON_GATE_ENCHANT_FIRE	
DRAGON_GATE_ENCHANT_ICE	
DRAGON_GATE_ENCHANT_WIND	
DRAGON_GATE_EXPERIENCE	
DRAGON_GATE_HEALTH	
DRAGON_GATE_ITEM_CLEAR	
DRAGON_GATE_ITEM_CLEAR_QUESTION	
DRAGON_GATE_MARK	
DRAGON_GATE_MASTER_STEP_CHECK	
DRAGON_GATE_MY_POINT_TOOLTIP	
DRAGON_GATE_NEED_POINT_TOOLTIP	
DRAGON_GATE_PAEWANG	
DRAGON_GATE_POINT_CLEAR	
DRAGON_GATE_POINT_CLEAR_NOT_ENOUGH_POINT	
DRAGON_GATE_POINT_CLEAR_QUESTION	
DRAGON_GATE_POWER	
