ACCE_ABSORB_COST	Combination costs: %d
CRAFT_INTEGRATE_DISMANTLE_ONLY_INVENTORY	You can only dismantle items in your inventory.
CRAFT_INTEGRATE_GEM	Gaya
CRAFT_INTEGRATE_GEM_ICON_TOOLTIP	Gaya
CRAFT_INTEGRATE_GEM_RESULT_SLOT_TOOLTIP	GAYA
CRAFT_INTEGRATE_ITEM_COUNT	[%d]
CRAFT_INTEGRATE_ITEM_INFO	%s (%d%%)
CRAFT_INTEGRATE_MAX_BUTTON_TOOLTIP	MAX
CRAFT_INTEGRATE_MIN_BUTTON_TOOLTIP	MIN
CRAFT_INTEGRATE_ORE	Ore
CRAFT_INTEGRATE_PET_CANNOT_FEED_CRAFT_OPEN	Cannot be used while crafting.
CRAFT_INTEGRATE_RESULT_GUILD_BUILDING_ACCESS_CHANGED	This facility can only be used by the guild members of the guild which owns this territory.
CRAFT_INTEGRATE_RESULT_GUILD_BUILDING_CHANGED	This build is being changed and hence cannot be used. Please check again.
CRAFT_INTEGRATE_RESULT_GUILD_USE_FEE_CHANGED	The usage costs have changed. Please check again.
CRAFT_INTEGRATE_RESULT_ITEM_INFO	Item Received: %s x%d
CRAFT_INTEGRATE_RESULT_LACK_GEM	You don't have enough Gaya.
CRAFT_INTEGRATE_RESULT_LACK_MATERIAL	You cannot make so many attempts as you do not have enough materials.
CRAFT_INTEGRATE_RESULT_LACK_YANG	You don't have enough Yang.
CRAFT_INTEGRATE_RESULT_NO_SPACE	There isn't enough space in your inventory.
CRAFT_INTEGRATE_RESULT_OVER_GEM_MAX	You already have the maximum amount of Gaya.
CRAFT_INTEGRATE_RESULT_TRY_INFO	%s Results: %d Successes, %d Failures
CRAFT_INTEGRATE_RESULT_TRY_INFO_BIG_SUCCESS	%s Results: %d Major Successes, %d Successes, %d Failures
CRAFT_INTEGRATE_SUCCESS_PCT	Success Chance: %d%%
CRAFT_INTEGRATE_TITLE_CUBE	Crafting
CRAFT_INTEGRATE_TITLE_REFINE	Upgrading
CRAFT_INTEGRATE_TITLE_SMELT	Refinement
CRAFT_INTEGRATE_YANG_ICON_TOOLTIP	Yang
CREATE_ERROR_GM_NAME	You are not allowed to use 'GM' in your character name.
CREATE_ERROR_INSULT_NAME	This name is invalid.
CREATE_ERROR_LIMIT_LEVEL	Your character must be at least level 80.
CREATE_ERROR_TIME_LIMIT	You can only create one character every 30 seconds.
CREATE_ERROR_WRONG_STRING	This character name is invalid.
CREATE_EXIST_SAME_NAME	Another character already has this name.
CREATE_FAILURE	You cannot create the character
CREATE_FULL	You cannot create any more characters.
CREATE_GM_NAME	GM
CREATE_INPUT_NAME	Enter the name.
CREATE_PLUS_STAT	There are still status points available.
CUBE_ALCHEMY_BANN_SIGN	You cannot do anything right now.
CUBE_CATEGORY_ACCESSORY	Jewellery
CUBE_CATEGORY_ALCHEMY	Catalyst
CUBE_CATEGORY_ARMOR	Armour
CUBE_CATEGORY_ARMOR_GLOVE	Gloves
CUBE_CATEGORY_BELT	Belts
CUBE_CATEGORY_ETC	Etc.
CUBE_CATEGORY_EVENT	Event
CUBE_CATEGORY_JOB	Class
CUBE_CATEGORY_MAP	Complete Maps
CUBE_CATEGORY_PET	Pet
CUBE_CATEGORY_SETADD_ARMOR	Create set armour
CUBE_CATEGORY_SETADD_HELMET	Create set helmet
CUBE_CATEGORY_SETADD_WEAPON	Create set weapon
CUBE_CATEGORY_WEAPON	Weapon
CUBE_CATEGOR_SKILL_BOOK	Skill Book
CUBE_DO_NOT_SAME_ALCHEMY_KINDS	Please use a Catalyst of the right type.
CUBE_FAIL	Crafting failed.
CUBE_LIST_TEXT_ITEM_INFO	%s (%d%%)
CUBE_LIST_TEXT_MAKE_QUANTITY	[%d]
CUBE_MAKE_CONFIRM_QUESTION_1	At least one of the items used is highly valuable (having more than %d bonuses).
CUBE_MAKE_CONFIRM_QUESTION_2	Are you sure you want to continue?
CUBE_NOT_ENOUGHT_ALCHEMY_COUNT	You do not have %s, so you cannot craft that right now.
CUBE_NOT_ENOUGH_GEM	You don't have enough Gaya.
CUBE_NOT_ENOUGH_GOLD	Insufficient Yang for crafting.
CUBE_NOT_ENOUGH_MATERIAL	Insufficient material for crafting.
CUBE_PLEASE_SELECT	No items have been selected.
CUBE_SELECT_ITEM_FIRST	Please choose an item to craft first.
CUBE_TOOLTIP_PASSIVE_JOB_LEFT_TIME	Time remaining: {0} - {1} hours
CUBE_USING_ALCHEMY_INFO	Using %s for crafting (%d pcs.)
CZ_REWARD_QUESTION_COMPLETE	Do you want to redeem this space?
CZ_REWARD_TOOLTIP_10GAN	Zodiac Insignia
CZ_REWARD_TOOLTIP_10GAN_COUNT	Number in inventory
CZ_REWARD_TOOLTIP_10GAN_NEED_COUNT	Required amount
CZ_REWARD_TOOLTIP_12ZI	Guardian Insignia
CZ_REWARD_TOOLTIP_12ZI_COUNT	Number in inventory
CZ_REWARD_TOOLTIP_12ZI_NEED_COUNT	Required amount
CZ_REWARD_TOOLTIP_ALL_BOX	Astral Treasure
CZ_REWARD_TOOLTIP_CAN_GET_ALL_BOX	Click here to collect your Astral Treasure as a reward.
CZ_REWARD_TOOLTIP_CAN_GET_GREEN_BOX	Click here to collect your Aventurine Treasure as a reward.
CZ_REWARD_TOOLTIP_CAN_GET_YELLOW_BOX	Click here to collect your Aureolin Treasure as a reward.
CZ_REWARD_TOOLTIP_COMPLETABLE	Redeem
CZ_REWARD_TOOLTIP_GREEN_BOX	Aventurine Treasure
CZ_REWARD_TOOLTIP_GREEN_BOX_COMP_CNT	Redeemed Aventurine Treasures: %d
CZ_REWARD_TOOLTIP_WEEKLY	Day
CZ_REWARD_TOOLTIP_WEEKLY_FRI	Friday
CZ_REWARD_TOOLTIP_WEEKLY_MON	Monday
CZ_REWARD_TOOLTIP_WEEKLY_SAT	Saturday
CZ_REWARD_TOOLTIP_WEEKLY_SAT_SUN	Saturday/Sunday
CZ_REWARD_TOOLTIP_WEEKLY_THU	Thursday
CZ_REWARD_TOOLTIP_WEEKLY_TUE	Tuesday
CZ_REWARD_TOOLTIP_WEEKLY_WED	Wednesday
CZ_REWARD_TOOLTIP_YELLOW_BOX	Aureolin Treasure
CZ_REWARD_TOOLTIP_YELLOW_BOX_COMP_CNT	Redeemed Aureolin Treasures: %d
DAY	d
DETAILS_0	Strong vs Metin
DETAILS_1	Str. vs Half Humans
DETAILS_2	Res. to Half Humans
DETAILS_3	Strong vs Orcs
DETAILS_4	Strong vs Undead
DETAILS_5	Strong vs Monsters
DETAILS_6	Str. vs Zodiac Mon.
DETAILS_7	Strong vs Animals
DETAILS_8	Strong vs Mystics
DETAILS_9	Strong vs Devils
DETAILS_10	Str. vs Desert Mon.
DETAILS_11	Str. vs Insects
DETAILS_12	Attack Value
DETAILS_13	Defence Value
DETAILS_14	Average Damage
DETAILS_15	Average Dmg. Resist.
DETAILS_16	Skill Damage
DETAILS_17	Skill Damage Resistance
DETAILS_18	Magic/Melee Attack
DETAILS_19	Magic Attack
DETAILS_20	Critical Hit Chance
DETAILS_21	Piercing Hit
DETAILS_22	Critical Hit Resist.
DETAILS_23	Piercing Hit Resist.
DETAILS_24	Lightning Resistance
DETAILS_25	Ice Resistance
DETAILS_26	Darkness Resistance
DETAILS_27	Fire Resistance
DETAILS_28	Wind Resistance
DETAILS_29	Earth Resistance
DETAILS_30	Power of Lightning
DETAILS_31	Power of Ice
DETAILS_32	Power of Darkness
DETAILS_33	Power of Fire
DETAILS_34	Power of the Wind
DETAILS_35	Power of Earth
DETAILS_36	Strong vs Warriors
DETAILS_37	Strong vs Ninjas
DETAILS_38	Strong vs Suras
DETAILS_39	Strong vs Shamans
DETAILS_40	Strong vs Lycans
DETAILS_41	Defence vs Warriors
DETAILS_42	Defence vs Ninjas
DETAILS_43	Defence vs Suras
DETAILS_44	Defence vs Shamans
DETAILS_45	Defence vs Lycans
DETAILS_46	Sword Defence
DETAILS_47	Two-handed Defence
DETAILS_48	Dagger Defence
DETAILS_49	Claw Defence
DETAILS_50	Bell Defence
DETAILS_51	Fan Defence
DETAILS_52	Arrow Defence
DETAILS_53	Faint Chance
DETAILS_54	Slowing Chance
DETAILS_55	Poison Chance
DETAILS_56	Poison Resistance
DETAILS_57	Bleeding Attack
DETAILS_58	Bleeding Attack Res.
DETAILS_59	HP Steal
DETAILS_60	SP Steal
DETAILS_61	HP Recovery
DETAILS_62	SP Recovery
DETAILS_63	Block Attack
DETAILS_64	Evade Arrow Attack
DETAILS_65	Reflect Melee Attack
DETAILS_66	HP Recovery on Kill
DETAILS_67	SP Recovery on Kill
DETAILS_68	Double EXP
DETAILS_69	Double Yang
DETAILS_70	Drop Chance
DETAILS_71	Attack Value
DETAILS_72	Defence Value
DETAILS_73	EXP
DETAILS_74	Drop Chance
DETAILS_75	Double Yang
DETAILS_76	Magic Resistance
DETAILS_77	Anti-Magic
DETAILS_78	Res. to monsters
DETAILS_79	Magic Attack Bonus
DETAILS_ATTBONUS_BELL	Bell break
DETAILS_ATTBONUS_BOW	Arrow break
DETAILS_ATTBONUS_CLAW	Claw break
DETAILS_ATTBONUS_DAGGER	Dagger break
DETAILS_ATTBONUS_DRAGON	Strong against Dragons
DETAILS_ATTBONUS_FAN	Fan break
DETAILS_ATTBONUS_MOON	Str. vs Moonshadow Mon.
DETAILS_ATTBONUS_SWORD	Sword break
DETAILS_ATTBONUS_TWOHAND	Two-handed break
DETAILS_BLOCK_PENETRATE_PCT	Block Penetration
DETAILS_CATE_1	Damage/Defence
DETAILS_CATE_2	Elemental bonus
DETAILS_CATE_3	Class bonus
DETAILS_CATE_4	Weapon bonus
DETAILS_CATE_5	Other bonus
DETAILS_CATE_6	Special bonus
DETAILS_CONFUSION_TO_MOB	Confused
DETAILS_HIT_PCT	Precision
DETAILS_MYSTERY_DUNGEON	Strong against Mysteries
DETAILS_REFUSE_EXP	No Experience Earned
DETAILS_RESIST_MOUNT_FALL	Fall resistance
DETAILS_TITLE	Details
DETAILS_TOOLTIP_0	Strong against Metin stones: Deals heavier damage to Metin stones.
DETAILS_TOOLTIP_1	Strong against Half Humans: Deals heavier damage to Half Humans.
DETAILS_TOOLTIP_2	Resistance to Half Humans: Reduces the damage you suffer from Half Humans.
DETAILS_TOOLTIP_3	Strong against Orcs: Deals heavier damage to orcs.
DETAILS_TOOLTIP_4	Strong against Undead: Deals heavier damage to undead.
DETAILS_TOOLTIP_5	Strong against Monsters: Deals heavier damage to monsters.
DETAILS_TOOLTIP_6	Strong against Zodiac Monsters: Deals heavier damage to Zodiac monsters.
DETAILS_TOOLTIP_7	Strong against Animals: Deals heavier damage to wild animals.
DETAILS_TOOLTIP_8	Strong against Mystics: Deals heavier damage to mystics.
DETAILS_TOOLTIP_9	Strong against Devils: Deals heavier damage to devils.
DETAILS_TOOLTIP_10	Strong against Desert Monsters: Deals heavier damage to desert monsters.
DETAILS_TOOLTIP_11	Strong against Insects: Deals heavier damage to insects.
DETAILS_TOOLTIP_12	Increases your attack value.
DETAILS_TOOLTIP_13	Increases your defence value.
DETAILS_TOOLTIP_14	Increases the average damage you deal to enemies on an attack.
DETAILS_TOOLTIP_15	Resistance to average damage: reduces the damage you suffer on an attack.
DETAILS_TOOLTIP_16	Increases the damage done by a skill.
DETAILS_TOOLTIP_17	Resistance against skill damage: Reduces the damage done to you by a skill.
DETAILS_TOOLTIP_18	Increases both your physical and magic attack value.
DETAILS_TOOLTIP_19	Increases the damage you deal to enemies on a magical attack.
DETAILS_TOOLTIP_20	Increases the chance of landing a critical hit.
DETAILS_TOOLTIP_21	Piercing hit probability: Increases the chance of landing a piercing hit.
DETAILS_TOOLTIP_22	Critical hit resistance: Reduces the damage inflicted by a critical hit.
DETAILS_TOOLTIP_23	Piercing hit resistance: Reduces the damage inflicted by a piercing hit.
DETAILS_TOOLTIP_24	Reduces the damage you suffer from certain monsters.
DETAILS_TOOLTIP_25	Reduces the damage you suffer from certain monsters.
DETAILS_TOOLTIP_26	Darkness resistance: Reduces the damage you suffer from certain monsters.
DETAILS_TOOLTIP_27	Reduces the damage you suffer from certain monsters.
DETAILS_TOOLTIP_28	Reduces the damage you suffer from certain monsters.
DETAILS_TOOLTIP_29	Reduces the damage you suffer from certain monsters.
DETAILS_TOOLTIP_30	Increases the damage you inflict through the power of lightning.
DETAILS_TOOLTIP_31	Increases the damage you inflict through the power of ice.
DETAILS_TOOLTIP_32	Increases the damage you inflict through the power of darkness.
DETAILS_TOOLTIP_33	Increases the damage you inflict through the power of fire.
DETAILS_TOOLTIP_34	Increases the damage you inflict through the power of the wind.
DETAILS_TOOLTIP_35	Increases the damage you inflict through the power of earth.
DETAILS_TOOLTIP_36	Strong against Warriors: Deals heavier damage to warriors.
DETAILS_TOOLTIP_37	Strong against Ninjas: Deals heavier damage to ninjas.
DETAILS_TOOLTIP_38	Strong against Suras: Deals heavier damage to suras.
DETAILS_TOOLTIP_39	Strong against Shamans: Deals heavier damage to shamans.
DETAILS_TOOLTIP_40	Strong against Lycans: Deals heavier damage to lycans.
DETAILS_TOOLTIP_41	Defence chance against warrior attacks: Reduces the damage you suffer from warriors.
DETAILS_TOOLTIP_42	Defence chance against ninja attacks: Reduces the damage you suffer from ninjas.
DETAILS_TOOLTIP_43	Defence chance against sura attacks: Reduces the damage you suffer from suras.
DETAILS_TOOLTIP_44	Defence chance against shaman attacks: Reduces the damage you suffer from shamans.
DETAILS_TOOLTIP_45	Defence chance against lycan attacks: Reduces the damage you suffer from lycans.
DETAILS_TOOLTIP_46	Reduces the damage dealt by a sword.
DETAILS_TOOLTIP_47	Reduces the damage dealt by a two-handed weapon.
DETAILS_TOOLTIP_48	Reduces the damage dealt by a dagger.
DETAILS_TOOLTIP_49	Reduces the damage dealt by a claw.
DETAILS_TOOLTIP_50	Reduces the damage dealt by a bell.
DETAILS_TOOLTIP_51	Reduces the damage dealt by a fan.
DETAILS_TOOLTIP_52	Reduces the damage dealt by bows and arrows.
DETAILS_TOOLTIP_53	Increases the chance of causing an opponent to faint.
DETAILS_TOOLTIP_54	Increases the chance of slowing an opponent.
DETAILS_TOOLTIP_55	Increases the chance of poisoning an enemy.
DETAILS_TOOLTIP_56	Reduces the damage dealt by poison.
DETAILS_TOOLTIP_57	Increases the chance of carrying out a bleeding attack.
DETAILS_TOOLTIP_58	Resist against bleeding attack: Reduces the damage dealt by a bleeding attack.
DETAILS_TOOLTIP_59	Drains your enemy's HP when you hit them.
DETAILS_TOOLTIP_60	Drains your enemy's SP when you hit them.
DETAILS_TOOLTIP_61	Increases the recovery of your hit points.
DETAILS_TOOLTIP_62	Increases the recovery of your spell points.
DETAILS_TOOLTIP_63	Chance to block a melee attack: Increases the chance of evading a melee attack.
DETAILS_TOOLTIP_64	Chance of avoiding an arrow attack: Increases the chance of evading an arrow or ranged attack by a monster.
DETAILS_TOOLTIP_65	Chance to reflect melee hits: Part of the enemy's melee damage is reflected back at them.
DETAILS_TOOLTIP_66	HP recovery when killing: Your hit points increase when you kill an enemy.
DETAILS_TOOLTIP_67	SP recovery when killing: Your spell points increase when you kill an enemy.
DETAILS_TOOLTIP_68	Chance to gain double experience: Increases the chance of an EXP bonus when you defeat your opponent.
DETAILS_TOOLTIP_69	Chance to drop double Yang: Increases the chance of receiving twice the amount of Yang.
DETAILS_TOOLTIP_70	Chance to drop items: Increases the chance of looting twice the number of items.
DETAILS_TOOLTIP_71	Increases your attack value.
DETAILS_TOOLTIP_72	Increases your defence value.
DETAILS_TOOLTIP_73	Increases the gathering of experience.
DETAILS_TOOLTIP_74	Item drop chance: Increases the probability of looting items.
DETAILS_TOOLTIP_75	Yang drop chance: Increases the probability of looting more Yang.
DETAILS_TOOLTIP_76	Reduces the damage you suffer on a magical attack.
DETAILS_TOOLTIP_77	Reduces your enemy's magic resistance.
DETAILS_TOOLTIP_78	Reduces damage from monsters.
DETAILS_TOOLTIP_79	Increases magic attack value.
DETAILS_TOOLTIP_ATTBONUS_BELL	Bell defence break: Reduces your opponent's bell defence.
DETAILS_TOOLTIP_ATTBONUS_BOW	Arrow defence break: Reduces your opponent's arrow defence.
DETAILS_TOOLTIP_ATTBONUS_CLAW	Claw defence break: Reduces your opponent's claw defence.
DETAILS_TOOLTIP_ATTBONUS_DAGGER	Dagger defence break: Reduces your opponent's dagger defence.
DETAILS_TOOLTIP_ATTBONUS_DRAGON	Deals heavier damage to dragons.
DETAILS_TOOLTIP_ATTBONUS_FAN	Fan defence break: Reduces your opponent's fan defence.
DETAILS_TOOLTIP_ATTBONUS_MOON	Deals greater damage to Moonshadow monsters.
DETAILS_TOOLTIP_ATTBONUS_SWORD	Sword defence break: Reduces your opponent's sword defence.
DETAILS_TOOLTIP_ATTBONUS_TWOHAND	Two-handed defence break: Reduces your opponent's two-handed defence.
DETAILS_TOOLTIP_BLOCK_PENETRATE_PCT	You have a chance to inflict damage ignoring your enemy's block (only in PvP).
DETAILS_TOOLTIP_CONFUSION_TO_MOB	Can cause monsters to become confused.
DETAILS_TOOLTIP_HIT_PCT	Increases the chance of hitting the enemy
DETAILS_TOOLTIP_MYSTERY_DUNGEON	Strong against Mysteries: Deals more damage to monsters in the Mysterious Dungeon and the Mysterious Echo.
DETAILS_TOOLTIP_REFUSE_EXP	No experience will be earned.
DETAILS_TOOLTIP_RESIST_MOUNT_FALL	Fall resistance: Reduces your chance of falling from your mount.
DONT_USE_ITEM_WHEN_SHOW_CONFIRM	You cannot move any items when a request is in progress.
DO_NOT_INSERT_UPBRINGING_PET	The active pet cannot be selected.
DO_YOU_BUY_ITEM1	Do you want to buy %s for %s Yang?
DO_YOU_BUY_ITEM2	Do you want to buy %s (%s pieces) for %s Yang?
DO_YOU_BUY_ITEM3	Do you want to buy %s for %s Won and %s Yang?
DO_YOU_BUY_ITEM4	Do you want to buy %s (%s pieces) for %s Won and %s Yang?
DO_YOU_BUY_ITEM_SECONDARY_COIN_1	Do you want to buy %s for %s?
DO_YOU_BUY_ITEM_SECONDARY_COIN_2	Do you want to buy %s (%s pieces) for %s?
DO_YOU_DROP_MONEY	Do you want to drop %d Yang?
DO_YOU_SELL_ITEM1	Do you want to sell %s for %s Yang?
DO_YOU_SELL_ITEM2	Do you want to sell %s (%s pieces) for %s Yang?
DRAGON_GATE_AUTO_REINFORCE_QUESTION	
DRAGON_GATE_CLEAR	
DRAGON_GATE_CLEAR_NOT_ENOUGH_MAX_REINFORCE	
DRAGON_GATE_CLEAR_QUESTION	
DRAGON_GATE_CLEAR_SELECT	
DRAGON_GATE_CLEAR_TOOLTIP	
DRAGON_GATE_DEFENSE	
DRAGON_GATE_ENCHANT_DARK	
DRAGON_GATE_ENCHANT_EARTH	
DRAGON_GATE_ENCHANT_ELECTRIC	
DRAGON_GATE_ENCHANT_FIRE	
DRAGON_GATE_ENCHANT_ICE	
DRAGON_GATE_ENCHANT_WIND	
DRAGON_GATE_EXPERIENCE	
DRAGON_GATE_HEALTH	
DRAGON_GATE_ITEM_CLEAR	
DRAGON_GATE_ITEM_CLEAR_QUESTION	
DRAGON_GATE_MARK	
DRAGON_GATE_MASTER_STEP_CHECK	
DRAGON_GATE_MY_POINT_TOOLTIP	
DRAGON_GATE_NEED_POINT_TOOLTIP	
DRAGON_GATE_PAEWANG	
DRAGON_GATE_POINT_CLEAR	
DRAGON_GATE_POINT_CLEAR_NOT_ENOUGH_POINT	
DRAGON_GATE_POINT_CLEAR_QUESTION	
DRAGON_GATE_POWER	
DRAGON_GATE_REINFORCE_APPLY_DEFAULT_TOOLTIP	
DRAGON_GATE_REINFORCE_BONUS	
DRAGON_GATE_REINFORCE_BONUS_APPLY	
DRAGON_GATE_REINFORCE_COUNT_TOOLTIP	
DRAGON_GATE_REINFORCE_MAX	
DRAGON_GATE_REINFORCE_NOT_BONUS_APPLY	
DRAGON_GATE_REINFORCE_NOT_BONUS_APPLY2	
DRAGON_GATE_REINFORCE_NOT_ENOUGH_POINT	
DRAGON_GATE_REINFORCE_QUESTION	
DRAGON_GATE_REINFORCE_RESULT	
DRAGON_GATE_REINFORCE_TOOLTIP	
DRAGON_GATE_REINFORCE_TOOLTIP_LINE1	
DRAGON_GATE_REINFORCE_TOOLTIP_LINE2	
DRAGON_GATE_REINFORCE_TOOLTIP_TITLE	
DRAGON_GATE_RESIST_DARK	
DRAGON_GATE_RESIST_EARTH	
DRAGON_GATE_RESIST_ELECTRIC	
DRAGON_GATE_RESIST_FIRE	
DRAGON_GATE_RESIST_ICE	
DRAGON_GATE_RESIST_WIND	
DRAGON_GATE_STEP_CLEAR_INITIALIZE_FIRST	
DRAGON_GATE_STEP_CLEAR_QUESTION_1	
DRAGON_GATE_STEP_CLEAR_QUESTION_2	
DRAGON_GATE_STEP_CLEAR_TOOLTIP	
DRAGON_GATE_STEP_CLEAR_WARNING_QUESTION_1	
DRAGON_GATE_STEP_CLEAR_WARNING_QUESTION_2	
DRAGON_GATE_STEP_UPGRADE_NOT_ENOUGH_POINT	
DRAGON_GATE_STEP_UPGRADE_QUESTION_1	
DRAGON_GATE_STEP_UPGRADE_QUESTION_2	
DRAGON_GATE_STEP_UPGRADE_TOOLTIP	
DRAGON_GATE_SUNGMA_HP	
DRAGON_GATE_SUNGMA_IMMUNE	
DRAGON_GATE_SUNGMA_MOVE	
DRAGON_GATE_SUNGMA_STR	
DRAGON_GATE_TOOLTIP_LINE1	
DRAGON_GATE_TOOLTIP_LINE2	
DRAGON_GATE_TOOLTIP_LINE3	
DRAGON_GATE_TOOLTIP_LINE4	
DRAGON_GATE_TOOLTIP_LINE5	
DRAGON_GATE_TOOLTIP_LINE6	
DRAGON_GATE_TOOLTIP_LINE7	
DRAGON_GATE_TOOLTIP_LINE8	
DRAGON_GATE_TOOLTIP_LINE9	
DRAGON_GATE_TOOLTIP_LINE10	
DRAGON_GATE_TOOLTIP_LINE11	
DRAGON_GATE_TOOLTIP_NOT_ENOUGH_REINFORCE	
DRAGON_GATE_TOOLTIP_TITLE	
DRAGON_GATE_TUGWI	
DRAGON_HEART_CANNOT_EXTRACT_WHEN_EQUIP	You can't use the Tongs of Time on the Dragon Stone currently equipped.
DRAGON_SOUL_CANNOT_EXTRACT_WHILE_CHANGE_ATTR	Cannot be used while making changes to Mythical Dragon Stone bonuses.
DRAGON_SOUL_CANNOT_EXTRACT_WHILE_REFINE	Cannot be used while enhancing or upgrading Mythical Dragon Stones.
DRAGON_SOUL_CANNOT_REFINE	This Dragon Stone cannot be refined.
DRAGON_SOUL_CANNOT_REFINE_MORE	This Dragon Stone has already reached the highest level.
DRAGON_SOUL_EQUIP_WARNING1	It is difficult to remove a Dragon Stone once it is attached.
DRAGON_SOUL_EQUIP_WARNING2	Would you still like to continue?
DRAGON_SOUL_EXPIRED	Expired Dragon Stone
DRAGON_SOUL_INVALID_DRAGON_SOUL	That is the wrong Dragon Stone.
DRAGON_SOUL_IS_NOT_DRAGON_SOUL	That is not a Dragon Stone.
DRAGON_SOUL_NOT_DRAGON_SOUL_REFINE_STONE	That is not the right Dragon Stone.
DRAGON_SOUL_NOT_ENOUGH_MATERIAL	You do not have enough material to refine.
DRAGON_SOUL_NOT_ENOUGH_MATERIAL2	For your %s\nyou require: %s %dx
DRAGON_SOUL_NOT_ENOUGH_MONEY	You don't have enough Yang to change the bonus.
DRAGON_SOUL_NOT_MATCHED_SLOT	The Dragon Stone does not fit in this slot.
DRAGON_SOUL_SEAL_CANNOT_CHANGE_ATTR	Soulbound items cannot be changed.
DRAGON_SOUL_SEAL_CANNOT_EQUIP	Soulbound Dragon Stones cannot be equipped.
DRAGON_SOUL_SEAL_CANNOT_EXTRACT	You cannot use that on a soulbound Dragon Stone.
DRAGON_SOUL_SEAL_CANNOT_REFINE	Soulbound items cannot be upgraded.
DRAGON_SOUL_SEAL_CANNOT_UN_EQUIP	Soulbound Dragon Stones cannot be unequipped.
DRAGON_SOUL_STEP_LEVEL1	Clarity: matt,
DRAGON_SOUL_STEP_LEVEL2	Clarity: clear,
DRAGON_SOUL_STEP_LEVEL3	Clarity: flawless,
DRAGON_SOUL_STEP_LEVEL4	Clarity: brilliant,
DRAGON_SOUL_STEP_LEVEL5	Clarity: excellent,
DRAGON_SOUL_STRENGTH	Level: +%d	SA
DRAGON_SOUL_UNEQUIP_WARNING1	The Dragon Stone may be destroyed in the process.
DRAGON_SOUL_UNEQUIP_WARNING2	Would you still like to continue?
DRAGON_SOUL_UNMATCHED_SLOT	That is the wrong slot.
DRAGON_SOUL_UNQUALIFIED	You cannot yet use Dragon Stone alchemy.
DROP_ITEM_FAILURE_EQUIP_ITEM	You cannot drop equipped items.
DROP_ITEM_FAILURE_PRIVATE_SHOP	You cannot drop any items as long as a private shop is open.
DROP_MONEY_FAILURE_1000_OVER	You can drop a maximum of 999 Yang.
DS_SYSTEM_MSG_1	You need %s (%dx).
DUNGEON_END_TIME_NOTICE	Instance time remaining: %d
DUTCH_AUCTION_CLOSE_OTHER_WINDOW	Please close all other windows before opening the Flash Auctions.
EASTER_EGG_CANT_GET_EGG_ANYMORE	You cannot collect any more Easter Eggs.
EASTER_EGG_CANT_USE_ANYMORE	You have already collected the maximum number of this sort of egg.
EASTER_EGG_CLICK_BANNER_AFTER_END_EVENT	The Easter Event is over.
EASTER_EGG_COMPLETE_RABBIT_BELIEF	You have fulfilled all the Easter Bunny's requests. You can exchange the Easter Eggs you've collected for rewards in the event window.
EASTER_EGG_EVENT_IS_END	The event is not currently active.
EASTER_EGG_GET_EGG	You have received an Easter Egg.
EASTER_EGG_USE_EGG_ITEM	The Easter Egg has been added to the event window.
ELEMENT_BUFF_DARK_TOOLTIP	You can deal additional damage while under the effect of a Darkness Power Flower.
