ACCE_ABSORB_COST	Coste de combinación: %d
COMMUNITY_CANT_REQUEST_FRIEND_SELF	No puedes añadirte a tu propia lista de amigos.
COMMUNITY_CANT_REQUEST_SAME_ACCOUNT	No puedes añadir a ningún personaje de tu propia cuenta como amigo.
COMMUNITY_DELETE	Borrar
COMMUNITY_DELETE_BLOCK	Se ha eliminado a %s de tu lista de bloqueos.
COMMUNITY_DELETE_BLOCK_FIRST	Primero debes eliminar al jugador de tu lista de bloqueos.
COMMUNITY_DELETE_FRIEND	Se ha eliminado a %s de tu lista de amigos.
COMMUNITY_DELETE_FRIEND_FIRST	Se debe eliminar primero a %s.
COMMUNITY_DELETE_REQUEST_LIST_FIRST	Primero debes eliminar al jugador de tus solicitudes de amistad.
COMMUNITY_INVALID_NAME	No se ha podido encontrar este nombre o no existe.
COMMUNITY_INVITE_PARTY	Has enviado una solicitud de grupo a %s.
COMMUNITY_LOGIN_MEMBER	%s está online.
COMMUNITY_MEMBER_LEVEL	(Niv. %d)
COMMUNITY_REGISTER_COMMENT	Enviar
COMMUNITY_REGISTER_COMPLETE	Has publicado un feed.
COMMUNITY_REQUESTED_ALREADY	Este jugador ya está en tu lista de solicitudes.
COMMUNITY_REQUEST_ALARM_AT_LOGIN	Has recibido una solicitud de amistad. Mira en la ventana de la comunidad.
COMMUNITY_REQUEST_FRIEND	%s te ha enviado una solicitud de amistad.
COMMUNITY_REQUEST_FRIEND_SUCCESS	Has enviado una solicitud de amistad a %s.
COMMUNITY_REQUEST_LIST_OVER_MAX	No puedes enviar una solicitud de amistad a %s, ya que tu lista de amigos está llena.
COMMUNITY_TARGET_BLOCKED_YOU	%s te ha bloqueado.
COMMUNITY_TARGET_EXIST_REQUEST_LIST	Este jugador ya está en tu lista de solicitudes.
COMMUNITY_TARGET_MAX_FRIEND_COUNT	La lista de amigos de %s está llena. No se puede enviar la petición.
COMMUNITY_TARGET_REFUSE_REQUEST	%s ha rechazado tu solicitud de amistad.
COMMUNITY_TARGET_REQUEST_FRIEND_BLOCK_MODE	El jugador ha bloqueado tu solicitud de amistad.
COMMUNITY_TARGET_RUNNING_QUEST	El jugador no puede aceptar tu solicitud de amistad en este momento.
CRAFT_INTEGRATE_CRAFTING_QUESTION_1	¿Deseas continuar?
CRAFT_INTEGRATE_CRAFTING_QUESTION_2	Intenta mejorar%s %d veces.
CRAFT_INTEGRATE_CRAFTING_QUESTION_3	Posibilidad de éxito: %d %%
CRAFT_INTEGRATE_CRAFTING_QUESTION_4	Coste: %s Yang
CRAFT_INTEGRATE_DISMANTLE_ASK_AGAIN_1	¿De verdad quieres descomponerlo?
CRAFT_INTEGRATE_DISMANTLE_ASK_AGAIN_2	Los objetos descompuestos no se podrán restaurar.
CRAFT_INTEGRATE_DISMANTLE_ASK_AGAIN_3	Descompuesto: %s, %d
CRAFT_INTEGRATE_DISMANTLE_ASK_AGAIN_4	Resultados: %s, %s
CRAFT_INTEGRATE_DISMANTLE_ASK_ATTR_1	Esto tiene 3 o más propiedades.
CRAFT_INTEGRATE_DISMANTLE_ASK_ATTR_2	¿De verdad quieres descomponer esto para obtener Fragmentos de energía?
CRAFT_INTEGRATE_DISMANTLE_FAIL_ITEM_LIMIT_LEVEL	Solo se pueden descomponer objetos del nivel 35 o superior.
CRAFT_INTEGRATE_DISMANTLE_FAIL_NOT_ALLOWED_UI_OPEN	No se puede usar mientras se está realizando otra acción.
CRAFT_INTEGRATE_DISMANTLE_FAIL_PLAYER_LEVEL_NOT_ENOUGH	Disponible para personajes de nivel 35 o superior.
CRAFT_INTEGRATE_DISMANTLE_FAIL_WRONG_BEHAVIOR	Esta acción no está permitida.
CRAFT_INTEGRATE_DISMANTLE_FAIL_WRONG_ITEM	Este objeto no se puede descomponer.
CRAFT_INTEGRATE_DISMANTLE_ONLY_INVENTORY	Solo puedes descomponer objetos que tengas en tu inventario.
CRAFT_INTEGRATE_GEM	Gaya
CRAFT_INTEGRATE_GEM_ICON_TOOLTIP	Gaya
CRAFT_INTEGRATE_GEM_RESULT_SLOT_TOOLTIP	GAYA
CRAFT_INTEGRATE_ITEM_COUNT	[%d]
CRAFT_INTEGRATE_ITEM_INFO	%s (%d %%)
CRAFT_INTEGRATE_MAX_BUTTON_TOOLTIP	MÁX.
CRAFT_INTEGRATE_MIN_BUTTON_TOOLTIP	MÍN.
CRAFT_INTEGRATE_ORE	Mineral
CRAFT_INTEGRATE_PET_CANNOT_FEED_CRAFT_OPEN	No se puede utilizar durante la fabricación.
CRAFT_INTEGRATE_RESULT_GUILD_BUILDING_ACCESS_CHANGED	Este dispositivo solo pueden utilizarlo los miembros del gremio al que pertenezca este terreno.
CRAFT_INTEGRATE_RESULT_GUILD_BUILDING_CHANGED	Este edificio se ha modificado y, por este motivo, no se puede utilizar. Compruébalo de nuevo.
CRAFT_INTEGRATE_RESULT_GUILD_USE_FEE_CHANGED	Han cambiado los costes de uso. Compruébalos de nuevo.
CRAFT_INTEGRATE_RESULT_ITEM_INFO	Obtener objeto: %s - %d
CRAFT_INTEGRATE_RESULT_LACK_GEM	No tienes suficiente Gaya.
CRAFT_INTEGRATE_RESULT_LACK_MATERIAL	No puedes realizar tantos intentos porque te faltan los materiales necesarios.
CRAFT_INTEGRATE_RESULT_LACK_YANG	No tienes suficiente Yang.
CRAFT_INTEGRATE_RESULT_NO_SPACE	No tienes suficiente espacio en el inventario.
CRAFT_INTEGRATE_RESULT_OVER_GEM_MAX	Ya tienes la cantidad máxima de Gaya.
CRAFT_INTEGRATE_RESULT_TRY_INFO	%s resultados: %d éxitos, %d fracasos
CRAFT_INTEGRATE_RESULT_TRY_INFO_BIG_SUCCESS	%s resultados: %d éxitos rotundos, %d éxitos, %d fracasos
CRAFT_INTEGRATE_SUCCESS_PCT	Posibilidad de éxito: %d %%
CRAFT_INTEGRATE_TITLE_CUBE	Fabricación
CRAFT_INTEGRATE_TITLE_REFINE	Mejora
CRAFT_INTEGRATE_TITLE_SMELT	Refinamiento
CRAFT_INTEGRATE_YANG_ICON_TOOLTIP	Yang
CREATE_ERROR_GM_NAME	No tienes permitido usar 'GM' en el nombre de tu personaje.
CREATE_ERROR_INSULT_NAME	Este nombre es inválido.
CREATE_ERROR_LIMIT_LEVEL	Tu personaje tiene que haber alcanzado el nivel 80 como mínimo.
CREATE_ERROR_TIME_LIMIT	Puedes crear un personaje cada 30 segundos.
CREATE_ERROR_WRONG_STRING	Este nombre de personaje no es válido.
CREATE_EXIST_SAME_NAME	Alguien ya está usando este nombre de personaje.
CREATE_FAILURE	No puedes crear el personaje.
CREATE_FULL	No puedes crear más personajes.
CREATE_GM_NAME	GM
CREATE_INPUT_NAME	Introducir el nombre.
CREATE_PLUS_STAT	Todavía hay puntos de estado restantes.
CUBE_ALCHEMY_BANN_SIGN	En este momento no puedes hacer eso.
CUBE_CATEGORY_ACCESSORY	Joyas
CUBE_CATEGORY_ALCHEMY	Runa forjada
CUBE_CATEGORY_ARMOR	Armadura
CUBE_CATEGORY_ARMOR_GLOVE	Guantes
CUBE_CATEGORY_BELT	Cinturones
CUBE_CATEGORY_ETC	Etc.
CUBE_CATEGORY_EVENT	Evento
CUBE_CATEGORY_JOB	Clase
CUBE_CATEGORY_MAP	Mapas completos
CUBE_CATEGORY_PET	Mascota
CUBE_CATEGORY_SETADD_ARMOR	Fabricar equipamiento de set
CUBE_CATEGORY_SETADD_HELMET	Fabricar casco de set
CUBE_CATEGORY_SETADD_WEAPON	Fabricar arma de set
CUBE_CATEGORY_WEAPON	Arma
CUBE_CATEGOR_SKILL_BOOK	Manual de habilidad
CUBE_DO_NOT_SAME_ALCHEMY_KINDS	Utiliza una Runa forjada del tipo adecuado.
CUBE_FAIL	No ha salido bien.
CUBE_LIST_TEXT_ITEM_INFO	%s (%d %%)
CUBE_LIST_TEXT_MAKE_QUANTITY	[%d]
CUBE_MAKE_CONFIRM_QUESTION_1	Al menos un objeto utilizado es especialmente valioso (tiene más de %d bonificaciones).
CUBE_MAKE_CONFIRM_QUESTION_2	¿Seguro que quieres continuar?
CUBE_NOT_ENOUGHT_ALCHEMY_COUNT	No tienes el objeto %s, así que no puedes iniciar el proceso de fabricación.
CUBE_NOT_ENOUGH_GEM	No tienes suficiente Gaya.
CUBE_NOT_ENOUGH_GOLD	No dispones de suficiente Yang para la fabricación.
CUBE_NOT_ENOUGH_MATERIAL	No dispones de suficiente material para la fabricación.
CUBE_PLEASE_SELECT	No se ha seleccionado ningún objeto.
CUBE_SELECT_ITEM_FIRST	Primero escoge un objeto para fabricar.
CUBE_TOOLTIP_PASSIVE_JOB_LEFT_TIME	Tiempo restante: {0} ~ {1} hora/s
CUBE_USING_ALCHEMY_INFO	Se ha utilizado el objeto %s (%d unidad/es) para fabricar.
CZ_REWARD_QUESTION_COMPLETE	¿Quieres canjear esta casilla?
CZ_REWARD_TOOLTIP_10GAN	Insignias del zodíaco
CZ_REWARD_TOOLTIP_10GAN_COUNT	Cantidad en el inventario
CZ_REWARD_TOOLTIP_10GAN_NEED_COUNT	Cantidad necesaria
CZ_REWARD_TOOLTIP_12ZI	Insignias de guardián
CZ_REWARD_TOOLTIP_12ZI_COUNT	Cantidad en el inventario
CZ_REWARD_TOOLTIP_12ZI_NEED_COUNT	Cantidad necesaria
CZ_REWARD_TOOLTIP_ALL_BOX	Tesoro estrellado
CZ_REWARD_TOOLTIP_CAN_GET_ALL_BOX	Haz clic aquí para recoger tu Tesoro estrellado como recompensa.
CZ_REWARD_TOOLTIP_CAN_GET_GREEN_BOX	Haz clic aquí para recoger tu Tesoro de aventurina como recompensa.
CZ_REWARD_TOOLTIP_CAN_GET_YELLOW_BOX	Haz clic aquí para recoger tu Tesoro de aureolina como recompensa.
CZ_REWARD_TOOLTIP_COMPLETABLE	Canjear
CZ_REWARD_TOOLTIP_GREEN_BOX	Tesoro de aventurina
CZ_REWARD_TOOLTIP_GREEN_BOX_COMP_CNT	Tesoros de aventurina canjeados: %d
CZ_REWARD_TOOLTIP_WEEKLY	Día
CZ_REWARD_TOOLTIP_WEEKLY_FRI	Viernes
CZ_REWARD_TOOLTIP_WEEKLY_MON	Lunes
CZ_REWARD_TOOLTIP_WEEKLY_SAT	Sábado
CZ_REWARD_TOOLTIP_WEEKLY_SAT_SUN	Sábado / domingo
CZ_REWARD_TOOLTIP_WEEKLY_THU	Jueves
CZ_REWARD_TOOLTIP_WEEKLY_TUE	Martes
CZ_REWARD_TOOLTIP_WEEKLY_WED	Miércoles
CZ_REWARD_TOOLTIP_YELLOW_BOX	Tesoro de aureolina
CZ_REWARD_TOOLTIP_YELLOW_BOX_COMP_CNT	Tesoros de aureolina canjeados: %d
DAY	d
DETAILS_0	Fuerza c. Metins
DETAILS_1	Fza. c. mediohumanos
DETAILS_2	Res. a mediohumanos
DETAILS_3	Fuerza contra orcos
DETAILS_4	Fza. c. muertos viv.
DETAILS_5	Fuerza c. monstruos
DETAILS_6	Fza. c. mon. zodíaco
DETAILS_7	Fuerza c. animales
DETAILS_8	Fuerza c. esotéricos
DETAILS_9	Fuerza c. demonios
DETAILS_10	Fza. c. mon. desier.
DETAILS_11	Fuerza c. insectos
DETAILS_12	Valor de ataque
DETAILS_13	Valor de defensa
DETAILS_14	Daño medio
DETAILS_15	Res. a daño medio
DETAILS_16	Daño de habilidad
DETAILS_17	Resist. daño de habilidad
DETAILS_18	At. mág./cpo. a cpo.
DETAILS_19	Ataque mágico
DETAILS_20	Prob. golpe crítico
DETAILS_21	Golpe perforador
DETAILS_22	Res. a golpe crítico
DETAILS_23	Res. a golpe perf.
DETAILS_24	Res. a relámpago
DETAILS_25	Resistencia a hielo
DETAILS_26	Res. a oscuridad
DETAILS_27	Resistencia a fuego
DETAILS_28	Resistencia a viento
DETAILS_29	Resistencia a tierra
DETAILS_30	Poder del relámpago
DETAILS_31	Poder del hielo
DETAILS_32	Poder de oscuridad
DETAILS_33	Poder del fuego
DETAILS_34	Poder del viento
DETAILS_35	Poder de la tierra
DETAILS_36	Fza. c. Guerreros
DETAILS_37	Fuerza contra Ninjas
DETAILS_38	Fuerza contra Suras
DETAILS_39	Fuerza c. Chamanes
DETAILS_40	Fuerza c. Lícanos
DETAILS_41	Defensa c. Guerreros
DETAILS_42	Defensa c. Ninjas
DETAILS_43	Defensa contra Suras
DETAILS_44	Defensa c. Chamanes
DETAILS_45	Defensa c. Lícanos
DETAILS_46	Defensa c. espadas
DETAILS_47	Defensa c. dos manos
DETAILS_48	Defensa contra dagas
DETAILS_49	Defensa c. garras
DETAILS_50	Defensa c. campanas
DETAILS_51	Defensa c. abanicos
DETAILS_52	Defensa c. flechas
DETAILS_53	Probabilidad desmayo
DETAILS_54	Probabilidad retardo
DETAILS_55	Prob. envenenamiento
DETAILS_56	Resistencia a veneno
DETAILS_57	Ataque de sangrado
DETAILS_58	Res. a at. sangrado
DETAILS_59	Robo de vida
DETAILS_60	Robo de SP
DETAILS_61	Restauración de HP
DETAILS_62	Restauración de SP
DETAILS_63	Bloquear ataque
DETAILS_64	Evasión de flechas
DETAILS_65	Reflec. cpo. a cpo.
DETAILS_66	Restau. HP al matar
DETAILS_67	Restau. SP al matar
DETAILS_68	EXP doble
DETAILS_69	Yang doble
DETAILS_70	Probabilidad botín
DETAILS_71	Valor de ataque
DETAILS_72	Defensa
DETAILS_73	EXP
DETAILS_74	Probabilidad botín
DETAILS_75	Yang doble
DETAILS_76	Resistencia a magia
DETAILS_77	Rompemagia
DETAILS_78	Res. a monstruos
DETAILS_79	Bonus de ataque mág.
DETAILS_ATTBONUS_BELL	Fractura de campana
DETAILS_ATTBONUS_BOW	Fractura de flecha
DETAILS_ATTBONUS_CLAW	Fractura de garra
DETAILS_ATTBONUS_DAGGER	Fractura de daga
DETAILS_ATTBONUS_DRAGON	Fuerza contra Dragones
DETAILS_ATTBONUS_FAN	Fractura de abanico
DETAILS_ATTBONUS_MOON	Fuerza c/ monst. Sombra Lunar
DETAILS_ATTBONUS_SWORD	Fractura de espada
DETAILS_ATTBONUS_TWOHAND	Fractura de arma a dos manos
DETAILS_BLOCK_PENETRATE_PCT	Penetración de bloqueo
DETAILS_CATE_1	Daño/Defensa
DETAILS_CATE_2	Boni. elementales
DETAILS_CATE_3	Boni. de clase
DETAILS_CATE_4	Boni. de arma
DETAILS_CATE_5	Otras bonificaciones
DETAILS_CATE_6	Boni. especiales
DETAILS_CONFUSION_TO_MOB	Confusión
DETAILS_HIT_PCT	Precisión
DETAILS_MYSTERY_DUNGEON	Fuerza contra misterios
DETAILS_REFUSE_EXP	No has recibido puntos de experiencia.
DETAILS_RESIST_MOUNT_FALL	Resistencia contra caída
DETAILS_TITLE	Detalles
DETAILS_TOOLTIP_0	Fuerza contra Piedras Metin: causa más daño a Piedras Metin.
DETAILS_TOOLTIP_1	Fuerza contra mediohumanos: provoca más daños a mediohumanos.
DETAILS_TOOLTIP_2	Resistencia contra mediohumanos: reduce el daño que se sufre de mediohumanos.
DETAILS_TOOLTIP_3	Fuerza contra orcos: causa más daño a orcos.
DETAILS_TOOLTIP_4	Fuerza contra muertos vivientes: causa más daño a muertos vivientes.
DETAILS_TOOLTIP_5	Fuerza contra monstruos: causa más daño a monstruos.
DETAILS_TOOLTIP_6	Fuerte contra monstruos del zodíaco: causa más daño a monstruos del zodíaco.
DETAILS_TOOLTIP_7	Fuerza contra animales: causa más daño a animales salvajes.
DETAILS_TOOLTIP_8	Fuerza contra esotéricos: causa más daño a esotéricos.
DETAILS_TOOLTIP_9	Fuerza contra demonios: causa más daño a demonios.
DETAILS_TOOLTIP_10	Fuerte contra monstruos del desierto: causa más daño a monstruos del desierto.
DETAILS_TOOLTIP_11	Fuerte contra insectos: causa más daño a insectos.
DETAILS_TOOLTIP_12	Aumenta tu valor de ataque.
DETAILS_TOOLTIP_13	Aumenta tu valor de defensa.
DETAILS_TOOLTIP_14	Aumenta el daño medio que provocas en tus enemigos al atacar.
DETAILS_TOOLTIP_15	Resistencia contra daño medio: reduce el daño que sufres con un ataque.
DETAILS_TOOLTIP_16	Aumenta el daño que provoca una habilidad.
DETAILS_TOOLTIP_17	Resistencia contra daño de habilidad: reduce el daño que te provoca una habilidad.
DETAILS_TOOLTIP_18	Aumentan tanto el valor de ataque físico como el mágico.
DETAILS_TOOLTIP_19	Aumenta el daño que provocas a los enemigos con un ataque mágico.
DETAILS_TOOLTIP_20	Aumenta la probabilidad de lograr un golpe crítico.
DETAILS_TOOLTIP_21	Probabilidad de golpe penetrante: aumenta la probabilidad de provocar un golpe penetrante.
DETAILS_TOOLTIP_22	Resistencia contra golpe crítico: reduce el daño que provoca un golpe crítico.
DETAILS_TOOLTIP_23	Resistencia contra golpe penetrante: reduce el daño que provoca un golpe penetrante.
DETAILS_TOOLTIP_24	Reduce el daño que se sufre de determinados monstruos.
DETAILS_TOOLTIP_25	Reduce el daño que se sufre de determinados monstruos.
DETAILS_TOOLTIP_26	Resistencia contra la oscuridad: reduce el daño que se sufre de determinados monstruos.
DETAILS_TOOLTIP_27	Reduce el daño que se sufre de determinados monstruos.
DETAILS_TOOLTIP_28	Reduce el daño que se sufre de determinados monstruos.
DETAILS_TOOLTIP_29	Reduce el daño que se sufre de determinados monstruos.
DETAILS_TOOLTIP_30	Aumenta el daño que causas gracias al poder del relámpago.
DETAILS_TOOLTIP_31	Aumenta el daño que causas gracias al poder del hielo.
DETAILS_TOOLTIP_32	Aumenta el daño que causas gracias al poder de la oscuridad.
DETAILS_TOOLTIP_33	Aumenta el daño que causas gracias al poder del fuego.
DETAILS_TOOLTIP_34	Aumenta el daño que causas gracias al poder del viento.
DETAILS_TOOLTIP_35	Aumenta el daño que causas gracias al poder de la tierra.
DETAILS_TOOLTIP_36	Fuerza contra Guerreros: causa más daño a Guerreros.
DETAILS_TOOLTIP_37	Fuerza contra Ninjas: causa más daño a Ninjas.
DETAILS_TOOLTIP_38	Fuerza contra Suras: causa más daño a Suras.
DETAILS_TOOLTIP_39	Fuerza contra Chamanes: causa más daño a Chamanes.
DETAILS_TOOLTIP_40	Fuerza contra Lícanos: causa más daño a Lícanos.
DETAILS_TOOLTIP_41	Probabilidad de defensa contra ataques de Guerreros: reduce el daño que se sufre por parte de Guerreros.
DETAILS_TOOLTIP_42	Probabilidad de defensa contra ataques de Ninjas: reduce el daño que se sufre por parte de Ninjas.
DETAILS_TOOLTIP_43	Probabilidad de defensa contra ataques de Suras: reduce el daño que se sufre por parte de Suras.
DETAILS_TOOLTIP_44	Probabilidad de defensa contra ataques de Chamanes: reduce el daño que se sufre por parte de Chamanes.
DETAILS_TOOLTIP_45	Probabilidad de defensa contra ataques de Lícanos: reduce el daño que se sufre por parte de Lícanos.
DETAILS_TOOLTIP_46	Reduce el daño que causa una espada.
DETAILS_TOOLTIP_47	Reduce el daño que causa un arma a dos manos.
DETAILS_TOOLTIP_48	Reduce el daño que causa una daga.
DETAILS_TOOLTIP_49	Reduce el daño que causa una garra.
DETAILS_TOOLTIP_50	Reduce el daño que provoca una campana.
DETAILS_TOOLTIP_51	Reduce el daño que provoca un abanico.
DETAILS_TOOLTIP_52	Reduce el daño que provocan un arco y flechas.
DETAILS_TOOLTIP_53	Aumenta la probabilidad de hacer desmayar a un enemigo.
DETAILS_TOOLTIP_54	Aumenta la probabilidad de ralentizar a un enemigo.
DETAILS_TOOLTIP_55	Aumenta la probabilidad de envenenar a un enemigo.
DETAILS_TOOLTIP_56	Reduce el daño que provoca el veneno.
DETAILS_TOOLTIP_57	Aumenta la probabilidad de lograr un ataque de sangrado.
DETAILS_TOOLTIP_58	Resistencia a ataque de sangrado: reduce el daño que provoca un ataque de sangrado.
DETAILS_TOOLTIP_59	Absorbe HP de tu enemigo cuando lo golpeas.
DETAILS_TOOLTIP_60	Absorbe SP de tu enemigo cuando lo golpeas.
DETAILS_TOOLTIP_61	Acelera la regeneración de tus puntos de vida.
DETAILS_TOOLTIP_62	Acelera la regeneración de tus puntos de maná.
DETAILS_TOOLTIP_63	Probabilidad de bloquear un ataque cuerpo a cuerpo: aumenta la probabilidad de evadir un ataque cuerpo a cuerpo.
DETAILS_TOOLTIP_64	Probabilidad de evitar flechas: aumenta la probabilidad de evadir el ataque con flechas o a distancia de un monstruo.
DETAILS_TOOLTIP_65	Probabilidad de reflectar golpes cuerpo a cuerpo: se devuelve una parte del daño cuerpo a cuerpo al enemigo.
DETAILS_TOOLTIP_66	Restauración de HP al matar: cuando matas a un enemigo, aumentan tus puntos de vida.
DETAILS_TOOLTIP_67	Restauración de SP al matar: cuando matas a un enemigo, aumentan tus puntos de maná.
DETAILS_TOOLTIP_68	Probabilidad de obtener experiencia doble: aumenta la probabilidad de conseguir una bonificación de EXP cuando derrotas a tu enemigo.
DETAILS_TOOLTIP_69	Probabilidad de obtener el doble de Yang: aumenta tu probabilidad de recibir la cantidad doble de maná.
DETAILS_TOOLTIP_70	Probabilidad de obtener objetos: aumenta la probabilidad de conseguir el doble de objetos.
DETAILS_TOOLTIP_71	Aumenta tu valor de ataque.
DETAILS_TOOLTIP_72	Aumenta tu valor de defensa.
DETAILS_TOOLTIP_73	Incrementa la ganancia de experiencia.
DETAILS_TOOLTIP_74	Probabilidad de botín de objetos: aumenta la probabilidad de conseguir objetos.
DETAILS_TOOLTIP_75	Probabilidad de botín de Yang: aumenta tu probabilidad de conseguir más Yang.
DETAILS_TOOLTIP_76	Reduce el daño que sufres por un ataque mágico.
DETAILS_TOOLTIP_77	Reduce la resistencia a magia de tu enemigo.
DETAILS_TOOLTIP_78	Se reduce el daño recibido de monstruos.
DETAILS_TOOLTIP_79	Aumenta el valor de Ataque Mágico.
DETAILS_TOOLTIP_ATTBONUS_BELL	Fractura de defensa de campana: reduce la defensa de campana de tu enemigo.
DETAILS_TOOLTIP_ATTBONUS_BOW	Fractura de defensa de flecha: reduce la defensa de flecha de tu enemigo.
DETAILS_TOOLTIP_ATTBONUS_CLAW	Fractura de defensa de garra: reduce la defensa de garra de tu enemigo.
DETAILS_TOOLTIP_ATTBONUS_DAGGER	Fractura de defensa de daga: reduce la defensa de daga de tu enemigo.
DETAILS_TOOLTIP_ATTBONUS_DRAGON	Inflige grandes daños a Dragones.
DETAILS_TOOLTIP_ATTBONUS_FAN	Fractura de defensa de abanico: reduce la defensa de abanico de tu enemigo.
DETAILS_TOOLTIP_ATTBONUS_MOON	Inflige grandes daños a monstruos de Sombra Lunar.
DETAILS_TOOLTIP_ATTBONUS_SWORD	Fractura de defensa de espada: reduce la defensa de espada de tu enemigo.
DETAILS_TOOLTIP_ATTBONUS_TWOHAND	Fractura de defensa de arma a dos manos: reduce la defensa de arma a dos manos de tu enemigo.
DETAILS_TOOLTIP_BLOCK_PENETRATE_PCT	Tienes la probabilidad de causar daños independientemente del bloqueo del oponente (solo en JcJ).
DETAILS_TOOLTIP_CONFUSION_TO_MOB	Puede causar Confusión a los monstruos.
DETAILS_TOOLTIP_HIT_PCT	Aumenta la probabilidad de acertar al golpear a un enemigo.
DETAILS_TOOLTIP_MYSTERY_DUNGEON	Fuerza contra misterios: inflige mucho daño a los monstruos en la mazmorra misteriosa y el eco misterioso.
DETAILS_TOOLTIP_REFUSE_EXP	No se acumulan puntos de experiencia.
DETAILS_TOOLTIP_RESIST_MOUNT_FALL	Resistencia contra caída: reduce la probabilidad de que caigas de tu montura.
DONT_USE_ITEM_WHEN_SHOW_CONFIRM	No se pueden mover objetos durante una petición.
DO_NOT_INSERT_UPBRINGING_PET	La mascota activa no se puede seleccionar.
DO_YOU_BUY_ITEM1	¿Quieres comprar %s por %s Yang?
DO_YOU_BUY_ITEM2	¿Quieres comprar %s (%s unidades) por %s Yang?
DO_YOU_BUY_ITEM3	¿Quieres comprar %s por %s Won y %s Yang?
DO_YOU_BUY_ITEM4	¿Quieres comprar %s (%s unidades) por %s Won y %s Yang?
DO_YOU_BUY_ITEM_SECONDARY_COIN_1	¿Deseas adquirir %s por %s?
DO_YOU_BUY_ITEM_SECONDARY_COIN_2	¿Deseas adquirir %s (%s unidad/es) por %s?
DO_YOU_DROP_MONEY	¿Quieres tirar %d Yang?
DO_YOU_SELL_ITEM1	¿Quieres vender %s por %s Yang?
DO_YOU_SELL_ITEM2	¿Quieres vender %s (%s unidades) por %s Yang?
DRAGON_GATE_AUTO_REINFORCE_QUESTION	
DRAGON_GATE_CLEAR	
DRAGON_GATE_CLEAR_NOT_ENOUGH_MAX_REINFORCE	
DRAGON_GATE_CLEAR_QUESTION	
DRAGON_GATE_CLEAR_SELECT	
DRAGON_GATE_CLEAR_TOOLTIP	
DRAGON_GATE_DEFENSE	
DRAGON_GATE_ENCHANT_DARK	
DRAGON_GATE_ENCHANT_EARTH	
DRAGON_GATE_ENCHANT_ELECTRIC	
DRAGON_GATE_ENCHANT_FIRE	
DRAGON_GATE_ENCHANT_ICE	
DRAGON_GATE_ENCHANT_WIND	
DRAGON_GATE_EXPERIENCE	
DRAGON_GATE_HEALTH	
DRAGON_GATE_ITEM_CLEAR	
DRAGON_GATE_ITEM_CLEAR_QUESTION	
DRAGON_GATE_MARK	
DRAGON_GATE_MASTER_STEP_CHECK	
DRAGON_GATE_MY_POINT_TOOLTIP	
DRAGON_GATE_NEED_POINT_TOOLTIP	
DRAGON_GATE_PAEWANG	
DRAGON_GATE_POINT_CLEAR	
DRAGON_GATE_POINT_CLEAR_NOT_ENOUGH_POINT	
DRAGON_GATE_POINT_CLEAR_QUESTION	
DRAGON_GATE_POWER	
DRAGON_GATE_REINFORCE_APPLY_DEFAULT_TOOLTIP	
DRAGON_GATE_REINFORCE_BONUS	
DRAGON_GATE_REINFORCE_BONUS_APPLY	
DRAGON_GATE_REINFORCE_COUNT_TOOLTIP	
DRAGON_GATE_REINFORCE_MAX	
DRAGON_GATE_REINFORCE_NOT_BONUS_APPLY	
DRAGON_GATE_REINFORCE_NOT_BONUS_APPLY2	
DRAGON_GATE_REINFORCE_NOT_ENOUGH_POINT	
DRAGON_GATE_REINFORCE_QUESTION	
DRAGON_GATE_REINFORCE_RESULT	
DRAGON_GATE_REINFORCE_TOOLTIP	
DRAGON_GATE_REINFORCE_TOOLTIP_LINE1	
DRAGON_GATE_REINFORCE_TOOLTIP_LINE2	
DRAGON_GATE_REINFORCE_TOOLTIP_TITLE	
DRAGON_GATE_RESIST_DARK	
DRAGON_GATE_RESIST_EARTH	
DRAGON_GATE_RESIST_ELECTRIC	
DRAGON_GATE_RESIST_FIRE	
DRAGON_GATE_RESIST_ICE	
DRAGON_GATE_RESIST_WIND	
DRAGON_GATE_STEP_CLEAR_INITIALIZE_FIRST	
DRAGON_GATE_STEP_CLEAR_QUESTION_1	
DRAGON_GATE_STEP_CLEAR_QUESTION_2	
DRAGON_GATE_STEP_CLEAR_TOOLTIP	
DRAGON_GATE_STEP_CLEAR_WARNING_QUESTION_1	
DRAGON_GATE_STEP_CLEAR_WARNING_QUESTION_2	
DRAGON_GATE_STEP_UPGRADE_NOT_ENOUGH_POINT	
DRAGON_GATE_STEP_UPGRADE_QUESTION_1	
DRAGON_GATE_STEP_UPGRADE_QUESTION_2	
DRAGON_GATE_STEP_UPGRADE_TOOLTIP	
DRAGON_GATE_SUNGMA_HP	
DRAGON_GATE_SUNGMA_IMMUNE	
DRAGON_GATE_SUNGMA_MOVE	
DRAGON_GATE_SUNGMA_STR	
DRAGON_GATE_TOOLTIP_LINE1	
DRAGON_GATE_TOOLTIP_LINE2	
DRAGON_GATE_TOOLTIP_LINE3	
