ACCE_ABSORB_COST	Kombinationskosten: %d
COMMUNITY_ADD_FRIEND	%s wurde zur Freundesliste hinzugefügt.
COMMUNITY_ALREADY_BLOCKED	Bereits blockiert.
COMMUNITY_ALREADY_FRIEND	Ihr seid bereits Freunde.
COMMUNITY_ALREADY_REQUESTED_BEFORE	Du hast bereits eine Freundschaftsanfrage geschickt.
COMMUNITY_BLOCKED_ALREADY	%s wurde bereits blockiert.
COMMUNITY_BLOCKED_EXCHANGE	Handel
COMMUNITY_BLOCKED_FRIEND_REQUEST	Freundschaftsanfrage
COMMUNITY_BLOCKED_FUNCTION	Blockiert:
COMMUNITY_BLOCKED_GUILD_INVITE	Gildeneinladung
COMMUNITY_BLOCKED_PARTY_INVITE	Gruppenanfrage
COMMUNITY_BLOCKED_PARTY_JOIN	Gruppeneinladung
COMMUNITY_BLOCKED_PARTY_WHISPER	Anflüstern
COMMUNITY_CANT_ACTION_TIMER	Bitte versuche es später erneut.
COMMUNITY_CANT_ADD_BLOCK_ANYMORE	Du kannst nicht noch mehr Spieler blockieren (max. %d).
COMMUNITY_CANT_ADD_FRIEND_ANYMORE	Du kannst nicht noch mehr Freunde haben (max. %d).
COMMUNITY_CANT_ADD_FRIEND_SELF	Du kannst dich nicht zu deiner Freundesliste hinzufügen.
COMMUNITY_CANT_ADD_GM	Du kannst keine GMs als Freunde hinzufügen.
COMMUNITY_CANT_BLOCK_FAMILY	Du kannst deinen Ehepartner nicht blockieren.
COMMUNITY_CANT_BLOCK_FRIEND	%s muss zuerst gelöscht werden.
COMMUNITY_CANT_BLOCK_REQUEST_FRIEND	Du kannst niemanden blockieren, dem du eine Freundschaftsanfrage geschickt hast.
COMMUNITY_CANT_BLOCK_SELF	Du kannst dich nicht selbst blockieren.
COMMUNITY_CANT_REGISTER_NOT_INSURT	Du kannst keine unangemessenen Ausdrücke verwenden.
COMMUNITY_CANT_REQUEST_BLOCKED_USER	Entferne den Spieler zunächst von deiner Blockliste.
COMMUNITY_CANT_REQUEST_DUPLICATE	Bitte versuche es erneut, da %s derzeit keine Freunde hinzufügen kann.
COMMUNITY_CANT_REQUEST_FRIEND_SELF	Du kannst dich nicht zu deiner Freundesliste hinzufügen.
COMMUNITY_CANT_REQUEST_SAME_ACCOUNT	Du kannst keinen Charakter von deinem eigenen Account als Freund hinzufügen.
COMMUNITY_DELETE	Löschen
COMMUNITY_DELETE_BLOCK	%s wurde von deiner Blockliste entfernt.
COMMUNITY_DELETE_BLOCK_FIRST	Entferne den Spieler zunächst aus deiner Blockliste.
COMMUNITY_DELETE_FRIEND	%s wurde von deiner Freundesliste entfernt.
COMMUNITY_DELETE_FRIEND_FIRST	%s muss zuerst gelöscht werden.
COMMUNITY_DELETE_REQUEST_LIST_FIRST	Entferne den Spieler zunächst aus deinen Freundschaftsanfragen.
COMMUNITY_INVALID_NAME	Dieser Name konnte nicht gefunden werden oder existiert nicht.
COMMUNITY_INVITE_PARTY	Du hast eine Gruppenanfrage an %s geschickt.
COMMUNITY_LOGIN_MEMBER	%s ist online.
COMMUNITY_MEMBER_LEVEL	(Lvl. %d)
COMMUNITY_REGISTER_COMMENT	Senden
COMMUNITY_REGISTER_COMPLETE	Du hast einen Feed veröffentlicht.
COMMUNITY_REQUESTED_ALREADY	Dieser Spieler ist bereits auf deiner Anfragenliste.
COMMUNITY_REQUEST_ALARM_AT_LOGIN	Du hast eine Freundschaftsanfrage erhalten. Sieh im Community-Fenster nach.
COMMUNITY_REQUEST_FRIEND	%s hat dir eine Freundschaftsanfrage geschickt.
COMMUNITY_REQUEST_FRIEND_SUCCESS	Du hast eine Freundschaftsanfrage an %s geschickt.
COMMUNITY_REQUEST_LIST_OVER_MAX	Du kannst keine Freundschaftsanfrage an %s schicken, da deine Freundesliste voll ist.
COMMUNITY_TARGET_BLOCKED_YOU	%s hat dich blockiert.
COMMUNITY_TARGET_EXIST_REQUEST_LIST	Dieser Spieler ist bereits auf deiner Anfragenliste.
COMMUNITY_TARGET_MAX_FRIEND_COUNT	Die Freundschaftsliste von %s ist voll. Anfrage kann nicht gesendet werden.
COMMUNITY_TARGET_REFUSE_REQUEST	%s hat deine Freundschaftsanfrage abgelehnt.
COMMUNITY_TARGET_REQUEST_FRIEND_BLOCK_MODE	Der Spieler hat deine Freundschaftsanfrage blockiert.
COMMUNITY_TARGET_RUNNING_QUEST	Der Spieler kann deine Freundschaftsanfrage im Moment nicht annehmen.
CRAFT_INTEGRATE_CRAFTING_QUESTION_1	Möchtest du fortfahren?
CRAFT_INTEGRATE_CRAFTING_QUESTION_2	Versuchen, %s %d mal zu verbessern.
CRAFT_INTEGRATE_CRAFTING_QUESTION_3	Erfolgschance: %d%%
CRAFT_INTEGRATE_CRAFTING_QUESTION_4	Kosten: %s Yang
CRAFT_INTEGRATE_DISMANTLE_ASK_AGAIN_1	Möchtest du das wirklich zerlegen?
CRAFT_INTEGRATE_DISMANTLE_ASK_AGAIN_2	Zerlegte Gegenstände können nicht wiederhergestellt werden.
CRAFT_INTEGRATE_DISMANTLE_ASK_AGAIN_3	Zerlegt: %s, %d
CRAFT_INTEGRATE_DISMANTLE_ASK_AGAIN_4	Ergebnisse: %s, %s
CRAFT_INTEGRATE_DISMANTLE_ASK_ATTR_1	Dies besitzt 3 oder mehr Eigenschaften.
CRAFT_INTEGRATE_DISMANTLE_ASK_ATTR_2	Möchtest du das wirklich in Energiesplitter zerlegen?
CRAFT_INTEGRATE_DISMANTLE_FAIL_ITEM_LIMIT_LEVEL	Nur Gegenstände der Stufe 35 oder höher können zerlegt werden.
CRAFT_INTEGRATE_DISMANTLE_FAIL_NOT_ALLOWED_UI_OPEN	Das kann nicht während einer anderen Aktion verwendet werden.
CRAFT_INTEGRATE_DISMANTLE_FAIL_PLAYER_LEVEL_NOT_ENOUGH	Verfügbar für Charaktere auf Level 35 oder höher.
CRAFT_INTEGRATE_DISMANTLE_FAIL_WRONG_BEHAVIOR	Diese Aktion ist nicht zulässig.
CRAFT_INTEGRATE_DISMANTLE_FAIL_WRONG_ITEM	Dieser Gegenstand kann nicht zerlegt werden.
CRAFT_INTEGRATE_DISMANTLE_ONLY_INVENTORY	Du kannst nur Gegenstände in deinem Inventar zerlegen.
CRAFT_INTEGRATE_GEM	Gaya
CRAFT_INTEGRATE_GEM_ICON_TOOLTIP	Gaya
CRAFT_INTEGRATE_GEM_RESULT_SLOT_TOOLTIP	GAYA
CRAFT_INTEGRATE_ITEM_COUNT	[%d]
CRAFT_INTEGRATE_ITEM_INFO	%s (%d%%)
CRAFT_INTEGRATE_MAX_BUTTON_TOOLTIP	MAX
CRAFT_INTEGRATE_MIN_BUTTON_TOOLTIP	MIN
CRAFT_INTEGRATE_ORE	Erz
CRAFT_INTEGRATE_PET_CANNOT_FEED_CRAFT_OPEN	Kann nicht während der Herstellung verwendet werden.
CRAFT_INTEGRATE_RESULT_GUILD_BUILDING_ACCESS_CHANGED	Diese Einrichtung kann nur von den Gildenmitgliedern der Gilde, der dieses Land gehört, genutzt werden.
CRAFT_INTEGRATE_RESULT_GUILD_BUILDING_CHANGED	Dieses Gebäude wurde verändert und ist deshalb nicht nutzbar. Bitte überprüfe es erneut.
CRAFT_INTEGRATE_RESULT_GUILD_USE_FEE_CHANGED	Die Nutzungskosten haben sich geändert. Bitte überprüfe sie erneut.
CRAFT_INTEGRATE_RESULT_ITEM_INFO	Gegenstand erhalten: %s - %d
CRAFT_INTEGRATE_RESULT_LACK_GEM	Du besitzt nicht genügend Gaya.
CRAFT_INTEGRATE_RESULT_LACK_MATERIAL	Du kannst nicht so viele Versuche durchführen, weil dir dazu die Materialien fehlen.
CRAFT_INTEGRATE_RESULT_LACK_YANG	Du besitzt nicht genügend Yang.
CRAFT_INTEGRATE_RESULT_NO_SPACE	Du hast nicht genügend Platz im Inventar.
CRAFT_INTEGRATE_RESULT_OVER_GEM_MAX	Du besitzt bereits die maximale Anzahl an Gaya.
CRAFT_INTEGRATE_RESULT_TRY_INFO	%s Ergebnisse: %d Erfolge, %d Fehlschläge
CRAFT_INTEGRATE_RESULT_TRY_INFO_BIG_SUCCESS	%s Ergebnisse: %d Volle Erfolge, %d Erfolge, %d Fehlschläge
CRAFT_INTEGRATE_SUCCESS_PCT	Erfolgschance: %d%%
CRAFT_INTEGRATE_TITLE_CUBE	Herstellung
CRAFT_INTEGRATE_TITLE_REFINE	Verbesserung
CRAFT_INTEGRATE_TITLE_SMELT	Veredelung
CRAFT_INTEGRATE_YANG_ICON_TOOLTIP	Yang
CREATE_ERROR_GM_NAME	Du darfst im Charakternamen nicht ,GM‘ verwenden.
CREATE_ERROR_INSULT_NAME	Dieser Name ist nicht zulässig.
CREATE_ERROR_LIMIT_LEVEL	Dein Charakter muss mindestens Level 80 besitzen.
CREATE_ERROR_TIME_LIMIT	Du kannst nur alle 30 Sek. einen Charakter erstellen.
CREATE_ERROR_WRONG_STRING	Dieser Charaktername ist nicht gestattet.
CREATE_EXIST_SAME_NAME	Ein anderer Charakter trägt bereits diesen Namen.
CREATE_FAILURE	Du kannst den Charakter nicht erstellen.
CREATE_FULL	Du kannst keinen weiteren Charakter mehr erstellen.
CREATE_GM_NAME	GM
CREATE_INPUT_NAME	Gib den Namen ein.
CREATE_PLUS_STAT	Es sind noch Statuspunkte verfügbar.
CUBE_ALCHEMY_BANN_SIGN	Das kannst du gerade nicht tun.
CUBE_CATEGORY_ACCESSORY	Schmuck
CUBE_CATEGORY_ALCHEMY	Schmiederune
CUBE_CATEGORY_ARMOR	Rüstung
CUBE_CATEGORY_ARMOR_GLOVE	Handschuhe
CUBE_CATEGORY_BELT	Gürtel
CUBE_CATEGORY_ETC	Etc.
CUBE_CATEGORY_EVENT	Event
CUBE_CATEGORY_JOB	Klasse
CUBE_CATEGORY_MAP	Vollständige Karten
CUBE_CATEGORY_PET	Pet
CUBE_CATEGORY_SETADD_ARMOR	Set-Rüstung herstellen
CUBE_CATEGORY_SETADD_HELMET	Set-Helm herstellen
CUBE_CATEGORY_SETADD_WEAPON	Set-Waffe herstellen
CUBE_CATEGORY_WEAPON	Waffe
CUBE_CATEGOR_SKILL_BOOK	Fertigkeitsbuch
CUBE_DO_NOT_SAME_ALCHEMY_KINDS	Bitte verwende eine Schmiederune des passenden Typs.
CUBE_FAIL	Die Herstellung ist fehlgeschlagen.
CUBE_LIST_TEXT_ITEM_INFO	%s (%d%%)
CUBE_LIST_TEXT_MAKE_QUANTITY	[%d]
CUBE_MAKE_CONFIRM_QUESTION_1	Mindestens ein verwendetes Item ist besonders wertvoll (hat mehr als %d Boni).
CUBE_MAKE_CONFIRM_QUESTION_2	Möchtest du wirklich fortfahren?
CUBE_NOT_ENOUGHT_ALCHEMY_COUNT	Du verfügst nicht über %s, deshalb kannst du das gerade nicht herstellen.
CUBE_NOT_ENOUGH_GEM	Du hast nicht genügend Gaya.
CUBE_NOT_ENOUGH_GOLD	Nicht genug Yang zur Herstellung.
CUBE_NOT_ENOUGH_MATERIAL	Nicht genug Material zur Herstellung.
CUBE_PLEASE_SELECT	Es wurden keine Gegenstände ausgewählt.
CUBE_SELECT_ITEM_FIRST	Wähle zunächst einen Gegenstand zur Herstellung aus.
CUBE_TOOLTIP_PASSIVE_JOB_LEFT_TIME	Verbleibende Zeit: {0} ~ {1} Stunden
CUBE_USING_ALCHEMY_INFO	%s wurde zur Herstellung verwendet (%d Stück).
CZ_REWARD_QUESTION_COMPLETE	Möchtest du dieses Feld einlösen?
CZ_REWARD_TOOLTIP_10GAN	Zodiakinsignien
CZ_REWARD_TOOLTIP_10GAN_COUNT	Anzahl im Inventar
CZ_REWARD_TOOLTIP_10GAN_NEED_COUNT	Erforderliche Anzahl
CZ_REWARD_TOOLTIP_12ZI	Wächterinsignien
CZ_REWARD_TOOLTIP_12ZI_COUNT	Anzahl im Inventar
CZ_REWARD_TOOLTIP_12ZI_NEED_COUNT	Erforderliche Anzahl
CZ_REWARD_TOOLTIP_ALL_BOX	Sternenschatz
CZ_REWARD_TOOLTIP_CAN_GET_ALL_BOX	Klicke hier, um deinen Sternenschatz als Belohnung abzuholen.
CZ_REWARD_TOOLTIP_CAN_GET_GREEN_BOX	Klicke hier, um deinen Aventurinschatz als Belohnung abzuholen.
CZ_REWARD_TOOLTIP_CAN_GET_YELLOW_BOX	Klicke hier, um deinen Aureolinschatz als Belohnung abzuholen.
CZ_REWARD_TOOLTIP_COMPLETABLE	Einlösen
CZ_REWARD_TOOLTIP_GREEN_BOX	Aventurinschatz
CZ_REWARD_TOOLTIP_GREEN_BOX_COMP_CNT	Eingelöste Aventurinschätze: %d
CZ_REWARD_TOOLTIP_WEEKLY	Tag
CZ_REWARD_TOOLTIP_WEEKLY_FRI	Freitag
CZ_REWARD_TOOLTIP_WEEKLY_MON	Montag
CZ_REWARD_TOOLTIP_WEEKLY_SAT	Samstag
CZ_REWARD_TOOLTIP_WEEKLY_SAT_SUN	Samstag/Sonntag
CZ_REWARD_TOOLTIP_WEEKLY_THU	Donnerstag
CZ_REWARD_TOOLTIP_WEEKLY_TUE	Dienstag
CZ_REWARD_TOOLTIP_WEEKLY_WED	Mittwoch
CZ_REWARD_TOOLTIP_YELLOW_BOX	Aureolinschatz
CZ_REWARD_TOOLTIP_YELLOW_BOX_COMP_CNT	Eingelöste Aureolinschätze: %d
DAY	T
DETAILS_0	Stark vs. Metin
DETAILS_1	St. vs. Halbmenschen
DETAILS_2	Wid. vs. Halbmenschen
DETAILS_3	Stark vs. Orks
DETAILS_4	Stark vs. Untote
DETAILS_5	Stark vs. Monster
DETAILS_6	St. vs. Zodiakmonster
DETAILS_7	Stark vs. Tiere
DETAILS_8	Stark vs. Esoterische
DETAILS_9	Stark vs. Teufel
DETAILS_10	St. vs. Wüstenmonster
DETAILS_11	Stark vs. Insekten
DETAILS_12	Angriffswert
DETAILS_13	Verteidigungswert
DETAILS_14	Durchschnittsschaden
DETAILS_15	Wid. Durchschnittssch.
DETAILS_16	Fertigkeitsschaden
DETAILS_17	Widerstand Fertigkeitssch.
DETAILS_18	Magie-/Nahkampfangriff
DETAILS_19	Magischer Angriff
DETAILS_20	Krit. Trefferchance
DETAILS_21	Durchb. Treffer
DETAILS_22	Wid. krit. Treffer
DETAILS_23	Wid. durchb. Treffer
DETAILS_24	Blitzwiderstand
DETAILS_25	Eiswiderstand
DETAILS_26	Wid. vs. Dunkelheit
DETAILS_27	Feuerwiderstand
DETAILS_28	Windwiderstand
DETAILS_29	Erdwiderstand
DETAILS_30	Kraft der Blitze
DETAILS_31	Kraft des Eises
DETAILS_32	Kraft der Dunkelheit
DETAILS_33	Kraft des Feuers
DETAILS_34	Kraft des Windes
DETAILS_35	Kraft der Erde
DETAILS_36	Stark vs. Krieger
DETAILS_37	Stark vs. Ninja
DETAILS_38	Stark vs. Sura
DETAILS_39	Stark vs. Schamanen
DETAILS_40	Stark vs. Lykaner
DETAILS_41	Abwehr vs. Krieger
DETAILS_42	Abwehr vs. Ninja
DETAILS_43	Abwehr vs. Sura
DETAILS_44	Abw. vs. Schamanen
DETAILS_45	Abwehr vs. Lykaner
DETAILS_46	Schwertverteidigung
DETAILS_47	Zweihandverteidigung
DETAILS_48	Dolchverteidigung
DETAILS_49	Krallenverteidigung
DETAILS_50	Glockenverteidigung
DETAILS_51	Fächerverteidigung
DETAILS_52	Pfeilverteidigung
DETAILS_53	Ohnmachtschance
DETAILS_54	Verlangsamungschance
DETAILS_55	Vergiftungschance
DETAILS_56	Giftwiderstand
DETAILS_57	Blutungsangriff
DETAILS_58	Wid. Blutungsangriff
DETAILS_59	Lebensraub
DETAILS_60	MP-Raub
DETAILS_61	TP-Wiederherstellung
DETAILS_62	MP-Wiederherstellung
DETAILS_63	Angriff blocken
DETAILS_64	Pfeilangriff ausweichen
DETAILS_65	Nahkampftr. reflekt.
DETAILS_66	TP-Wdsg. beim Töten
DETAILS_67	MP-Wdsg. beim Töten
DETAILS_68	2-fach EXP
DETAILS_69	2-fach Yang
DETAILS_70	Dropchance
DETAILS_71	Angriffswert
DETAILS_72	Verteidigung
DETAILS_73	EXP
DETAILS_74	Dropchance
DETAILS_75	2-fach Yang
DETAILS_76	Magiewiderstand
DETAILS_77	Magiebruch
DETAILS_78	Wdst. gg. Monster
DETAILS_79	Mag. Angriffsbonus
DETAILS_ATTBONUS_BELL	Bruch von Glocke
DETAILS_ATTBONUS_BOW	Bruch von Pfeil
DETAILS_ATTBONUS_CLAW	Bruch von Kralle
DETAILS_ATTBONUS_DAGGER	Bruch von Dolch
DETAILS_ATTBONUS_DRAGON	Stark gegen Drachen
DETAILS_ATTBONUS_FAN	Bruch von Fächer
DETAILS_ATTBONUS_MOON	Stark g. Mondschatten-Monster
DETAILS_ATTBONUS_SWORD	Bruch von Schwert
DETAILS_ATTBONUS_TWOHAND	Bruch von Zweihand
DETAILS_BLOCK_PENETRATE_PCT	Blockdurchdringung
DETAILS_CATE_1	Schaden/Verteidigung
DETAILS_CATE_2	Elementarboni
DETAILS_CATE_3	Klassenboni
DETAILS_CATE_4	Waffenboni
DETAILS_CATE_5	Sonstige Boni
DETAILS_CATE_6	Spezialboni
DETAILS_CONFUSION_TO_MOB	Verwirrung
DETAILS_HIT_PCT	Präzision
DETAILS_MYSTERY_DUNGEON	Stark gegen Mysterien
DETAILS_REFUSE_EXP	Erhält keine Erfahrungspunkte
DETAILS_RESIST_MOUNT_FALL	Widerstand g. Sturz
DETAILS_TITLE	Details
DETAILS_TOOLTIP_0	Stark gegen Metinsteine: Fügt Metinsteinen größeren Schaden zu.
DETAILS_TOOLTIP_1	Stark gegen Halbmenschen: Fügt Halbmenschen größeren Schaden zu.
DETAILS_TOOLTIP_2	Widerstand gegen Halbmenschen: Verringert den Schaden, den man von Halbmenschen erleidet.
DETAILS_TOOLTIP_3	Stärke gegen Orks: Fügt Orks größeren Schaden zu.
DETAILS_TOOLTIP_4	Stark gegen Untote: Fügt Untoten größeren Schaden zu.
DETAILS_TOOLTIP_5	Stark gegen Monster: Fügt Monstern größeren Schaden zu.
DETAILS_TOOLTIP_6	Stark gegen Zodiakmonster: Fügt Zodiakmonstern größeren Schaden zu.
DETAILS_TOOLTIP_7	Stark gegen Tiere: Fügt Wildtieren größeren Schaden zu.
DETAILS_TOOLTIP_8	Stark gegen Esoterische: Fügt Esoterischen größeren Schaden zu.
DETAILS_TOOLTIP_9	Stark gegen Teufel: Fügt Teufel größeren Schaden zu.
DETAILS_TOOLTIP_10	Stark gegen Wüstenmonster: Fügt Wüstenmonstern größeren Schaden zu.
DETAILS_TOOLTIP_11	Stark gegen Insekten: Fügt Insekten größeren Schaden zu.
DETAILS_TOOLTIP_12	Erhöht deinen Angriffswert.
DETAILS_TOOLTIP_13	Erhöht deinen Verteidigungswert.
DETAILS_TOOLTIP_14	Vergrößert den Durchschnittsschaden, den du Gegnern bei einem Angriff zufügst.
DETAILS_TOOLTIP_15	Widerstand gegen Durchschnittsschaden: Verringert den Schaden, den du bei einem Angriff erleidest.
DETAILS_TOOLTIP_16	Erhöht den Schaden, den eine Fertigkeit verursacht.
DETAILS_TOOLTIP_17	Widerstand gegen Fertigkeitsschaden: Verringert den Schaden, der dir durch eine Fertigkeit zugefügt wird.
DETAILS_TOOLTIP_18	Sowohl der körperliche als auch der magische Angriffswert wird erhöht.
DETAILS_TOOLTIP_19	Erhöht den Schaden, den du Gegnern durch einen magischen Angriff zufügst.
DETAILS_TOOLTIP_20	Steigert die Chance, einen kritischen Treffer zu erwirken.
DETAILS_TOOLTIP_21	Chance auf einen durchbohrenden Treffer: Steigert die Chance, einen durchbohrenden Treffer zu landen.
DETAILS_TOOLTIP_22	Widerstand gegen kritischen Treffer: Verringert den Schaden, der durch einen kritischen Treffer verusacht wird.
DETAILS_TOOLTIP_23	Widerstand gegen durchbohrenden Treffer: Verringert den Schaden, der durch einen durchbohrenden Treffer verusacht wird.
DETAILS_TOOLTIP_24	Verringert den Schaden, den man durch bestimmte Monster erleidet.
DETAILS_TOOLTIP_25	Verringert den Schaden, den man durch bestimmte Monster erleidet.
DETAILS_TOOLTIP_26	Widerstand gegen Dunkelheit: Verringert den Schaden, den man durch bestimmte Monster erleidet.
DETAILS_TOOLTIP_27	Verringert den Schaden, den man durch bestimmte Monster erleidet.
DETAILS_TOOLTIP_28	Verringert den Schaden, den man durch bestimmte Monster erleidet.
DETAILS_TOOLTIP_29	Verringert den Schaden, den man durch bestimmte Monster erleidet.
DETAILS_TOOLTIP_30	Erhöht den Schaden, den du verursachst, durch die Kraft der Blitze.
DETAILS_TOOLTIP_31	Erhöht den Schaden, den du verursachst, durch die Kraft des Eises.
DETAILS_TOOLTIP_32	Erhöht den Schaden, den du verursachst, durch die Kraft der Dunkelheit.
DETAILS_TOOLTIP_33	Erhöht den Schaden, den du verursachst, durch die Kraft des Feuers.
DETAILS_TOOLTIP_34	Erhöht den Schaden, den du verursachst, durch die Kraft des Windes.
DETAILS_TOOLTIP_35	Erhöht den Schaden, den du verursachst, durch die Kraft der Erde.
DETAILS_TOOLTIP_36	Stark gegen Krieger: Fügt Kriegern größeren Schaden zu.
DETAILS_TOOLTIP_37	Stark gegen Ninja: Fügt Ninja größeren Schaden zu.
DETAILS_TOOLTIP_38	Stark gegen Sura: Fügt Sura größeren Schaden zu.
DETAILS_TOOLTIP_39	Stark gegen Schamanen: Fügt Schamanen größeren Schaden zu.
DETAILS_TOOLTIP_40	Stark gegen Lykaner: Fügt Lykanern größeren Schaden zu.
DETAILS_TOOLTIP_41	Abwehrchance gegen Kriegerangriffe: Verringert den Schaden, den man durch Krieger erleidet.
DETAILS_TOOLTIP_42	Abwehrchance gegen Ninjaangriffe: Verringert den Schaden, den man durch Ninja erleidet.
DETAILS_TOOLTIP_43	Abwehrchance gegen Suraangriffe: Verringert den Schaden, den man durch Sura erleidet.
DETAILS_TOOLTIP_44	Abwehrchance gegen Schamanenangriffe: Verringert den Schaden, den man durch Schamanen erleidet.
DETAILS_TOOLTIP_45	Abwehrchance gegen Lykanerangriffe: Verringert den Schaden, den man durch Lykaner erleidet.
DETAILS_TOOLTIP_46	Verringert den Schaden, der durch ein Schwert verursacht wird.
DETAILS_TOOLTIP_47	Verringert den Schaden, der durch eine Zweihandwaffe verursacht wird.
DETAILS_TOOLTIP_48	Verringert den Schaden, der durch einen Dolch verursacht wird.
DETAILS_TOOLTIP_49	Verringert den Schaden, der durch eine Kralle verursacht wird.
DETAILS_TOOLTIP_50	Verringert den Schaden, der durch eine Glocke verursacht wird.
DETAILS_TOOLTIP_51	Verringert den Schaden, der durch einen Fächer verursacht wird.
DETAILS_TOOLTIP_52	Verringert den Schaden, der durch Pfeil und Bogen verursacht wird.
DETAILS_TOOLTIP_53	Steigert die Chance, einen Gegner in Ohnmacht zu versetzen.
DETAILS_TOOLTIP_54	Steigert die Chance, einen Gegner zu verlangsamen.
DETAILS_TOOLTIP_55	Steigert die Chance, einen Gegner zu vergiften.
DETAILS_TOOLTIP_56	Verringert den Schaden, der durch Gift verursacht wird.
DETAILS_TOOLTIP_57	Steigert die Chance, einen Blutungsangriff zu erwirken.
DETAILS_TOOLTIP_58	Widerstand gegen Blutungsangriff: Verringert den Schaden, der durch einen Blutungsangriff verursacht wird.
DETAILS_TOOLTIP_59	Entzieht deinem Gegner TP, wenn du ihn triffst.
DETAILS_TOOLTIP_60	Entzieht deinem Gegner MP, wenn du ihn triffst.
DETAILS_TOOLTIP_61	Beschleunigt die Regeneration deiner Trefferpunkte.
DETAILS_TOOLTIP_62	Beschleunigt die Regeneration deiner Manapunkte.
DETAILS_TOOLTIP_63	Chance, Nahkampfangriff abzublocken: Steigert die Chance, einem Nahkampfangriff auszuweichen.
DETAILS_TOOLTIP_64	Chance, Pfeilangriff auszuweichen: Steigert die Chance, einem Pfeil- oder Fernangriff eines Monsters auszuweichen.
DETAILS_TOOLTIP_65	Chance, Nahkampftreffer zu reflektieren: Ein Teil des Nahkampfschadens wird auf den Gegner zurückgeworfen.
DETAILS_TOOLTIP_66	TP-Wiederherstellung beim Töten: Wenn du einen Gegner tötest, erhöhen sich deine Trefferpunkte.
DETAILS_TOOLTIP_67	MP-Wiederherstellung beim Töten: Wenn du einen Gegner tötest, erhöhen sich deine Manapunkte.
DETAILS_TOOLTIP_68	Chance, doppelte Erfahrung zu bekommen: Steigert die Chance auf einen EXP-Bonus, wenn du deinen Gegner besiegt hast.
DETAILS_TOOLTIP_69	Chance, eine doppelte Menge Yang fallen zu lassen: Steigert deine Chance, die doppelte Menge Yang zu erhalten.
DETAILS_TOOLTIP_70	Chance, Gegenstände fallen zu lassen: Steigert die Chance, Gegenstände doppelt zu erbeuten.
DETAILS_TOOLTIP_71	Erhöht deinen Angriffswert.
DETAILS_TOOLTIP_72	Erhöht deinen Verteidigungswert.
DETAILS_TOOLTIP_73	Erhöht das Sammeln von Erfahrung.
DETAILS_TOOLTIP_74	Dropchance von Gegenständen: Steigert deine Chance, Gegenstände zu erbeuten.
DETAILS_TOOLTIP_75	Dropchance Yang: Steigert deine Chance, mehr Yang zu erbeuten.
DETAILS_TOOLTIP_76	Verringert den Schaden, den du durch einen magischen Angriff erleidest.
DETAILS_TOOLTIP_77	Verringert den Magiewiderstand deines Gegners.
DETAILS_TOOLTIP_78	Erlittener Schaden von Monstern wird reduziert.
DETAILS_TOOLTIP_79	Erhöht den magischen Angriffswert.
DETAILS_TOOLTIP_ATTBONUS_BELL	Bruch von Glockenverteidigung: Reduziert die Glockenverteidigung deines Gegners.
DETAILS_TOOLTIP_ATTBONUS_BOW	Bruch von Pfeilverteidigung: Reduziert die Pfeilverteidigung deines Gegners.
DETAILS_TOOLTIP_ATTBONUS_CLAW	Bruch von Krallenverteidigung: Reduziert die Krallenverteidigung deines Gegners.
DETAILS_TOOLTIP_ATTBONUS_DAGGER	Bruch von Dolchverteidigung: Reduziert die Dolchverteidigung deines Gegners.
DETAILS_TOOLTIP_ATTBONUS_DRAGON	Fügt Drachen größeren Schaden zu.
DETAILS_TOOLTIP_ATTBONUS_FAN	Bruch von Fächerverteidigung: Reduziert die Fächerverteidigung deines Gegners.
DETAILS_TOOLTIP_ATTBONUS_MOON	Fügt Mondschatten-Monstern größeren Schaden zu.
DETAILS_TOOLTIP_ATTBONUS_SWORD	Bruch von Schwertverteidigung: Reduziert die Schwertverteidigung deines Gegners.
DETAILS_TOOLTIP_ATTBONUS_TWOHAND	Bruch von Zweihandverteidigung: Reduziert die Zweihandverteidigung deines Gegners.
DETAILS_TOOLTIP_BLOCK_PENETRATE_PCT	Du hast die Chance, Schaden unabhängig vom Blocken des Gegners zu verursachen (nur im PvP).
DETAILS_TOOLTIP_CONFUSION_TO_MOB	Kann Monstern Verwirrung zufügen.
DETAILS_TOOLTIP_HIT_PCT	Steigert die Chance, den Gegner zu treffen
DETAILS_TOOLTIP_MYSTERY_DUNGEON	Stark gegen Mysterien: Fügt Monstern im mysteriösen Dungeon und mysteriösen Echo größeren Schaden zu.
DETAILS_TOOLTIP_REFUSE_EXP	Es werden keine Erfahrungspunkte gesammelt.
DETAILS_TOOLTIP_RESIST_MOUNT_FALL	Widerstand gegen Sturz: Verringert die Wahrscheinlichkeit, dass du von deinem Reittier stürzt.
DONT_USE_ITEM_WHEN_SHOW_CONFIRM	Du kannst während einer Abfrage keine Gegenstände bewegen.
DO_NOT_INSERT_UPBRINGING_PET	Das aktive Pet kann nicht angewählt werden.
DO_YOU_BUY_ITEM1	Möchtest du %s für %s Yang kaufen?
DO_YOU_BUY_ITEM2	Möchtest du %s (%s Stück) für %s Yang kaufen?
DO_YOU_BUY_ITEM3	Möchtest du %s für %s Won und %s Yang kaufen?
DO_YOU_BUY_ITEM4	Möchtest du %s (%s Stück) für %s Won und %s Yang kaufen?
