ACCE_ABSORB_COST	ÊßÇáíİ ÇáÏãÌ: %d
CATEGORY_UNIQUE	ÈäæÏ ÎÇÕÉ
CATEGORY_UNIQUE_ABILITY	ãæÇÏ ÇÓÊåáÇßíÉ
CATEGORY_UNIQUE_ETC	ÛíÑå
CATEGORY_WEAPON_WEAPON_ARROW	ÃÓåã
CATEGORY_WEAPON_WEAPON_BELL	ÃÌÑÇÓ
CATEGORY_WEAPON_WEAPON_BOW	ÃŞæÇÓ
CATEGORY_WEAPON_WEAPON_CLAW	ãÎÇáÈ
CATEGORY_WEAPON_WEAPON_DAGGER	ÎäÇÌÑ
CATEGORY_WEAPON_WEAPON_FAN	ãÑÇæÍ
CATEGORY_WEAPON_WEAPON_MOUNT_SPEAR	ÑãÇÍ
CATEGORY_WEAPON_WEAPON_QUIVER	ÌÚÈÉ ÇáÓåÇã
CATEGORY_WEAPON_WEAPON_SWORD	ÃÓáÍÉ íÏ æÇÍÏÉ
CATEGORY_WEAPON_WEAPON_TWO_HANDED	ÃÓáÍÉ íÏíä
CHANGE_ALREADY_REGISTER	[ÊÔßíá] Êã ÇÓÊÚãÇá åĞÇ ÇáÔÆ ãä ŞÈá.
CHANGE_LOOK_CHANGE_ITEM	åá ÊÑíÏ ÊÔßíá ÇáÔÆ¿
CHANGE_LOOK_CHECK_OUT_REGISTER_ITEM	[ÊÔßíá] íÑÌì ÃæáÇğ ÅÒÇáÉ ÇáÔÆ ÇáĞí ÊæÏ ÊÔßíáå.
CHANGE_LOOK_COST	Ëãä ÇáÊÔßíá: %s íÇäÛ
CHANGE_LOOK_DEL_ITEM	ÓíÊã ÊÏãíÑ åĞÇ ÇáÔíÁ
CHANGE_LOOK_DO_NOT_CHANGE_LOOK_ITEM	[ÊÔßíá] áÇ íãßä Úãá ÊÔßíá áåĞÇ ÇáÔÆ.
CHANGE_LOOK_DO_NOT_EQUIP_ITEM	[ÊÔßíá] áÇ íãßäß Úãá ÊÔßíá áåĞÇ ÇáÔÆ ÃËäÇÁ ÊÌåíÒå.
CHANGE_LOOK_DO_NOT_REGISTER_ITEM	[ÊÔßíá] áÇ íãßä ÊÓÌíá åĞÇ ÇáÔÆ.
CHANGE_LOOK_DO_NOT_SEAL_ITEM	[ÊÔßíá] åĞÇ ÇáÔÆ ãÑÈæØ ÈÇáÑæÍ.
CHANGE_LOOK_INSERT_CHANGE_LOOK_ITEM	[ÊÔßíá] íÑÌì ÊÓÌíá ÇáÔÆ ÇáĞí ÊÑíÏ Úãá ÊÔßíá áå.
CHANGE_LOOK_INSERT_ITEM	[ÊÔßíá] Úáíß ÊÓÌíá ÇáÔÆ ÃæáğÇ
CHANGE_LOOK_NEED_MONEY	áíÓ áÏíß íÇäÛ ßÇİí Ãæ áíÓ áÏíß ãÇ íßİí ãä ÇáÈäæÏ.
CHANGE_LOOK_OPEN_OTHER_WINDOW	[ÊÔßíá] áÇ íÊã ÅÊÇÍÉ åĞå ÇáÚãáíÉ ÚäÏ İÊÍ äÇİĞÉ "ÊÔßíá".
CHANGE_LOOK_TITLE	ÊÔßíá
CHANGE_LOOK_TITLE2	ÊÍæíá-ÇáÏæÇÈ
CHANGE_PET_PLEASE_APPEND_FIRST	íÌÈ ÇÓÊÏÚÇÁ ÇáÑİíŞ ÃæáÇ.
CHANGE_TOOLTIP2_LINE1	ÖÚ ÇáÈäÏ ÇáåÏİ Úáì ÇáíÓÇÑ æÇáãæÇÏ ÇááÇÒãÉ Úáì Çáíãíä.
CHANGE_TOOLTIP2_LINE2	ÃäŞÑ ÚáÇãÉ ÇáÅÎÊíÇÑ áÅÓÊÎÏÇã ÇáíÇäÛ Ãæ ÚáÇãÉ ÇáÊÍæíá áÊÛííÑ Ôßá ÇáÏÇÈÉ.
CHANGE_TOOLTIP2_LINE3	ÚáÇãÉ ÇáÊÍæíá ÊŞæã ÈÊÛííÑ Ôßá ÇáÏÇÈÉ ÈÏæä ÇÓÊåáÇß ÇáíÇäÛ. (áŞÏ Êã ÊÏãíÑ ÇáÚáÇãÉ)
CHANGE_TOOLTIP2_LINE4	ÅĞÇ Êã ÊÛííÑ Ôßá ÇáÏÇÈÉ ÈãÏÉ ÕáÇÍíÉ¡ İÓÊÓÊãÑ ãÏÉ ÇáÕáÇÍíÉ ÇáÃÕáíÉ.
CHANGE_TOOLTIP2_LINE5	İí ÍÇá ßÇäÊ ÇáÏÇÈÉ ÇáåÏİ ÏÇÆãÉ æÇáÏÇÈÉ ÇáãÓÊÎÏãÉ ÊÍãá ãÏÉ ÕáÇÍíÉ¡ ÓÊßæä ãÏÉ ÕáÇÍíÉ ÇáÊÛííÑ ãÓÇæíÉ áãÏÉ ÕáÇÍíÉ ÇáÏÇÈÉ ÇáãÓÊÎÏãÉ.
CHANGE_TOOLTIP_LINE1	ÖÚ ÇáÔÆ ÇáĞí íäÈÛí ÅÌÑÇÁ ÇáÊÔßíá Úáíå Åáì ÇáíÓÇÑ.
CHANGE_TOOLTIP_LINE2	ÖÚ ÇáÔÆ ÇáÂÎÑ Åáì Çáíãíä.
CHANGE_TOOLTIP_LINE3	ÓíÊÛíÑ Ôßá ÇáÔÆ ÇáãæÌæÏ Åáì ÇáíÓÇÑ¡ ÚäÏãÇ
CHANGE_TOOLTIP_LINE4	ÊŞæã ÈÊÃßíÏ ÇáÊÔßíá æíÊã ÓÍÈ íÇäÛ ãä ÑÕíÏß.
CHANGE_TOOLTIP_LINE5	ÚäÏ ÇÓÊÎÏÇãß áåĞÇ ÇáÔíÁ¡
CHANGE_TOOLTIP_LINE6	íãßäß ÊÔßíá ÈäæÏß ÈÏæä ÅÓÊÎÏÇã ÇáíÇäÛ.
CHANGE_TOOLTIP_TITLE	ÊÔßíá
CHANNEL	ŞäÇÉ
CHANNELING_CANNOT_LOGOUT	áÇ íãßäß ÇáÚæÏÉ Åáì äÇİĞÉ ÇáÊÓÌíá.
CHANNEL_EMPTY_SERVER	áÇ æÌæÏ áÎÇÏã
CHANNEL_NORMAL	ŞäÇÉ %d
CHANNEL_NOTIFY_FULL	Åä åĞå ÇáŞäÇÉ ããÊáÆÉ! ÇáÑÌÇÁ ÇÎÊíÇÑ ŞäÇÉ ÃÎÑì.
CHANNEL_NOT_FIND_INFO	áÇ ÊæÌÏ åäÇß ãÚáæãÇÊ Úä åĞå ÇáŞäÇÉ.
CHANNEL_PVP	ãÈÇÑÒÉ ÍÑÉ
CHANNEL_SELECT_CHANNEL	ÇÎÊÑ ÇáŞäÇÉ
CHANNEL_SELECT_REGION	ÇÎÊÑ ãßÇä æÖÚ ÇáİÇÊæÑÉ
CHANNEL_SELECT_SERVER	ÇÎÊíÇÑ ÇáÎÇÏã
CHANNEL_STATUS_BUSY	ãÔÛæá
CHANNEL_STATUS_FULL	ããáæÁ
CHANNEL_STATUS_OFFLINE	ÛíÑ ãÚÑæİ
CHANNEL_STATUS_RECOMMENDED	äæÕí ÈÜå
CHANNEL_STATUS_VACANT	Îİíİ
CHANNEL_TEST_SERVER	ÊÌÑíÈ ÇáÎÇÏã
CHANNEL_TEST_SERVER_ADDR	ÇÎÊÈÇÑ %s:%d
CHARACTER_CREATE_MODE	ÅäÔÇÁ ÔÎÕíÉ
CHARACTER_NAME	ÇÓã
CHARACTER_SELECT_MODE	ÇÎÊíÇÑ ÔÎÕíÉ
CHARGE_BEAD_QUESTION	ÊÍÊÇÌ Åáì: %d äÌã ÑæÍí. åá ÊÑÛÈ İí ÇáãÊÇÈÚÉ¿
CHATTING_SETTING_ADD	ÅÖÇİÉ ÚáÇãÉ ÊÈæíÈ
CHATTING_SETTING_ADD_MAX	áÇ íãßäß ÅÖÇİÉ ÇáãÒíÏ.
CHATTING_SETTING_CHANGE_TITLE_NAME	åá ÊÑíÏ ÍİÙ ÇáÇÓã áåĞå ÇáÏÑÏÔÉ¿
CHATTING_SETTING_CHANGE_TITLE_NOT	áÇ íãßä ÊÛííÑ ÇÓã ÇáÏÑÏÔÉ ÇáÚÇãÉ.
CHATTING_SETTING_CLEAR_QUESTION	ÅÚÇÏÉ ÊÚííä Åáì ÇáÇİÊÑÇÖí¿
CHATTING_SETTING_DEL	ÅÒÇáÉ ÇáÍŞá
CHATTING_SETTING_LANGUAGE_OFF	ÅíŞÇİ
CHATTING_SETTING_LANGUAGE_ON	ÔÛøöá
CHATTING_SETTING_QUESTION_DESC_1	1. Şã ÈÊÚííä ÑÓÇáÉ áÜ ÇáÎÈÑÉ ÇáãÓÊáãÉ ÚäÏ ŞÊá ÇáæÍæÔ Ãæ ÇáÎÈÑÉ ÇáãİŞæÏÉ.
CHATTING_SETTING_QUESTION_DESC_2	2. Şã ÈÊÚííä ÑÓÇáÉ ÅÓŞÇØ ÇáÛäÇÆã æÇáíÇäÛ ÇáãßÊÓÈ.
CHATTING_SETTING_RETURN	ÇÓÊÑÌÇÚ ÇáÍŞá
CHATTING_SETTING_SETTING	ÎíÇÑÇÊ
CHAT_ALL	ÇáÌãíÚ
CHAT_BLOCK	ÍÙÑ
CHAT_DICE_INFO	ÑãíÉ
CHAT_GUILD	ÑÇÈØÉ
CHAT_INFORMATION	ãÚáæãÉ
CHAT_INSULT_STRING	ÇáÌãáÉ ÊÍÊæí Úáì ßáãÇÊ ãõÎáÉ ÈÇáÃÏÈ.
CHAT_LOG	ÅÙåÇÑ ÇáÑÓÇÆá ÇáŞÏíãÉ [L]
CHAT_LOG_TITLE	ÓöÌáøõ ÇáÏÑÏÔÉ
CHAT_MESSAGE_CLIENT_VERSION_NOT_MATCH	Êã ÊÓÌíá ÎÑæÌß áÃä ÅÕÏÇÑ Úãíá ÇááÚÈÉ áÏíß áÇ íÊØÇÈŞ ãÚ ÇáÅÕÏÇÑ ÇáãØáæÈ. íÑÌì ÊÍÏíË ÅÕÏÇÑ ÇááÚÈÉ áÏíß Ëã ÊÓÌíá ÇáÏÎæá ãÑÉ ÃÎÑì.
CHAT_NORMAL	ÚÇÏí
CHAT_NOTICE	ÎÇÏã
CHAT_PARTY	ãÌãæÚÉ
CHAT_SEND_CHAT	ÅÑÓÇá ÇáÏÑÏÔÉ
CHAT_SEND_MEMO	ÅÑÓÇá åãÓ [Shift+Enter]
CHAT_SHOUT	äÏÇÁ
CHAT_SHOUT_LIMIT	íõãßäß ÇáäÏÇÁ ßá 15 ËÇäíÉ İŞØ
CHAT_WHISPER	åãÓ
CHEQUE_SYSTEM_DO_NOT_DROP_MONEY	áÇ íãßäß ÅÓŞÇØ ÇáãÇá.
CHEQUE_SYSTEM_PICK_WON	áŞÏ ÍÕáÊ Úáì %s ææä.
CHEQUE_SYSTEM_SELL_PRICE	[Ëãä ÇáÈíÚ]
CHEQUE_SYSTEM_UNIT_WON	ææä
CHEQUE_SYSTEM_UNIT_YANG	íÇäÛ
CHEQUE_SYSTEM_WON	%s ææä
CHEQUE_SYSTEM_YANG	%s íÇäÛ
CHEQUE_USE_WON	Êã ÅäİÇŞ %s ææä.
CLEAR_FLOOR	ÇáãÓÊæì
CLEAR_TIME	ÇáæŞÊ
CLICK_BEAD_DESCRIPTION	ÇáäÌã ÇáÑæÍí ãØáæÈ áÊÊãßä ãä ÏÎæá ãÚÈÏ ÒæÏíÇß. ÇĞåÈ Åáì ÇáäÇŞá İí ÇáŞÑíÉ.
ClosePetChangeWndButton	ÃÛáŞ
COMB_ACCE_IS_CONTINUE_PROCESS	åá ÊÑÛÈ İí ÇáãÊÇÈÚÉ¿
COMB_ACCE_WARNING_MESSAGE	ÇáäÌÇÍ Ãæ ÇáäÌÇÍ ÇáÌÒÆí íÄÏí Çáì ÊÏãíÑ ÇáÃÕá. íãßä áÚãáíÉ ÇáäŞá Ãä ÊİÔá. İí ÍÇá ÇáİÔá Ãæ ÇáäÌÇÍ ÇáÌÒÆí ÓÊäÎİÖ ŞíãÉ ÇáÇÓÊíÚÇÈ İí ÇáåÏİ.
COMB_ACCE_WARNING_MESSAGE1	ÇáäÌÇÍ Ãæ ÇáäÌÇÍ ÇáÌÒÆí íÄÏí Çáì ÊÏãíÑ ÇáÃÕá.
COMB_ACCE_WARNING_MESSAGE2	íãßä áÚãáíÉ ÇáäŞá Ãä ÊİÔá.
COMB_ACCE_WARNING_MESSAGE3	İí ÍÇá ÇáİÔá Ãæ ÇáäÌÇÍ ÇáÌÒÆí ÓÊäÎİÖ ŞíãÉ ÇáÇÓÊíÚÇÈ İí ÇáåÏİ.
COMB_ACCE_WILL_REMOVE_MATERIAL	ÇáäÌÇÍ Ãæ ÇáäÌÇÍ ÇáÌÒÆí íÄÏí Çáì ÊÏãíÑ ÇáÃÕá.
COMB_ALREADY_APPEND	Êã ÇÎÊíÇÑ åĞÇ ÇáÈäÏ ãä ŞÈá.
COMB_CANT_APPEND_ITEM	áÇ íãßäß ÇÓÊÚãÇá åĞÇ ÇáÈäÏ.
COMB_CANT_APPEND_SEALED_ITEM	áÇ íãßäß ÇÓÊÚãÇá ÈäÏ ãõÑÊÈØ ÈÇáÑæÍ.
COMB_CANT_BASE_ITEM	áÇ íãßä áæÔÇÍ íÍÊæí ÚáÇæÇÊ Ãä íßæä åÏİÇ.
COMB_CANT_MATCH_DRAINRATE	ááŞíÇã ÈÚãáíÉ äŞá ÇáÚáÇæÇÊ Úáì ŞíãÉ ÇáÃÓÊíÚÇÈ Ãä Êßæä ãÊØÇÈŞÉ İí ÇáØÑİíä.
COMB_CANT_MATCH_GRADE	ááŞíÇã ÈÚãáíÉ äŞá ÇáÚáÇæÇÊ Úáì ÇáãÓÊæì Ãä íßæä ãÊØÇÈŞÇ İí ÇáØÑİíä.
COMB_CANT_MATERIAL_ITEM	Úáì ÇáæÔÇÍ ÇáÃÕáí Ãä íÍÊæí Úáì ÚáÇæÉ Úáì ÇáÃŞá.
COMB_COST	ÇáÓÚÑ: %s
COMB_IS_CONTINUE_PROCESS	åá ÊÑÛÈ İí ÇáãÊÇÈÚÉ¿
COMB_NOTICE	áÇ íãßäß ÇİÊÊÇÍ ãÊÌÑ ÎÇÕ¡ ØÇãÇ Ãäß ÈÕÏÏ ÇÓÊÈÏÇá ÇáßÊÈ.
COMB_NOTICE_NOT_OPEN	áÇ íãßäß ÇÓÊÈÏÇá ÃíÉ ßõÊÈ ÅĞÇ ÇİÊÍÊ ãÊÌÑß ÇáÎÇÕ.
COMB_NOT_ALL_SLOT_APPEND_ITEM	ÓÊÍÊÇÌ Åáì ÇáÃÕá¡ ÇáåÏİ æÈäÏ ÇáäŞá áäŞá ÇáÚáÇæÇÊ.
COMB_NOT_FULL_BOOK	áÇ¡ ÛíÑ ããßä. Åääí æßãÇ ÓÈŞ ÇáĞßÑ áä ÇÓÊÈÏá ãÚß ÅáÇø ÅĞÇ ÃÍÖÑÊ áí 10 ßÊÈ.
COMB_NOT_ITEM_IN_INVENTORY	áÇ íãßäß ÇÓÊÚãÇá ÈäæÏ ãõÒæøÏÉ.
COMB_NOT_MEDIUM_ITEM	áÇ íãßäß ÇÓÊÚãÇá åĞÇ ÇáÈäÏ.
COMB_WILL_REMOVE_MATERIAL	ÓíÊã ÊÏãíÑ ÇáÃÕá ÚäÏ äÌÇÍ ÇáÚãáíÉ.
COMMUNITY_ADD_BLOCK	Êã ÇÍÊáÇá %s.
COMMUNITY_ADD_FRIEND	ÊãÊ ÅÖÇİÉ %s Åáì ŞÇÆãÉ ÇáÃÕÏŞÇÁ.
COMMUNITY_ALREADY_BLOCKED	Êã ÍÙÑå ÈÇáİÚá.
COMMUNITY_ALREADY_FRIEND	ÃäÊã ÈÇáİÚá ÃÕÏŞÇÁ.
COMMUNITY_ALREADY_REQUESTED_BEFORE	áŞÏ ÃÑÓáÊ ÈÇáİÚá ØáÈ ÕÏÇŞÉ.
COMMUNITY_BLOCKED_ALREADY	Êã ÍÙÑ %s ÈÇáİÚá.
COMMUNITY_BLOCKED_EXCHANGE	ÑÇíÉ
COMMUNITY_BLOCKED_FRIEND_REQUEST	ØáÈ ÕÏÇŞÉ
COMMUNITY_BLOCKED_FUNCTION	Êã ÇáÍÙÑ:
COMMUNITY_BLOCKED_GUILD_INVITE	ÏÚæÉ ÑÇÈØÉ
COMMUNITY_BLOCKED_PARTY_INVITE	ØáÈ ãÌãæÚÉ
COMMUNITY_BLOCKED_PARTY_JOIN	ÏÚæÉ ÌãÇÚíÉ
COMMUNITY_BLOCKED_PARTY_WHISPER	ÇáåãÓ
COMMUNITY_CANT_ACTION_TIMER	ÇáÑÌÇÁ ÅÚÇÏÉ ÇáãÍÇæáÉ áÇÍŞğÇ.
COMMUNITY_CANT_ADD_BLOCK_ANYMORE	áÇ íãßäß ÍÙÑ ÇáãÒíÏ ãä ÇááÇÚÈíä (ÇáÍÏ %d)
COMMUNITY_CANT_ADD_FRIEND_ANYMORE	áÇ íãßäß ÇáÍÕæá Úáì ÇáãÒíÏ ãä ÇáÃÕÏŞÇÁ (ÇáÍÏ %d).
COMMUNITY_CANT_ADD_FRIEND_SELF	áÇ íãßäß ÅÖÇİÉ äİÓß Åáì ŞÇÆãÉ ÃÕÏŞÇÆß.
COMMUNITY_CANT_ADD_GM	áÇ íãßäß ÅÖÇİÉ GMs ßÕÏíŞ.
COMMUNITY_CANT_BLOCK_FAMILY	áíÓ ÈÅãßÇäß ÍÙÑ ÒæÌß.
COMMUNITY_CANT_BLOCK_FRIEND	íÌÈ ÍĞİ %s ÃæáÇ.
COMMUNITY_CANT_BLOCK_REQUEST_FRIEND	áÇ íãßäß ÍÙÑ Ãí ÔÎÕ ÃÑÓáÊ Åáíå ØáÈ ÕÏÇŞÉ.
COMMUNITY_CANT_BLOCK_SELF	áÇ íãßäß ÍÙÑ äİÓß.
COMMUNITY_CANT_REGISTER_NOT_INSURT	áÇ íãßäß ÇÓÊÎÏÇã áÛÉ ÛíÑ áÇÆŞÉ.
COMMUNITY_CANT_REQUEST_BLOCKED_USER	ÃæáÇğ¡ Şã ÈÅÒÇáÉ ÇááÇÚÈ ãä ŞÇÆãÉ ÇáÍÙÑ ÇáÎÇÕÉ Èß.
COMMUNITY_CANT_REQUEST_DUPLICATE	íÑÌì ÇáãÍÇæáÉ ãÑÉ ÃÎÑì áÃä %s ÛíÑ ŞÇÏÑ ÍÇáíğÇ Úáì ÅÖÇİÉ ÃÕÏŞÇÁ.
COMMUNITY_CANT_REQUEST_FRIEND_SELF	áÇ íãßäß ÅÖÇİÉ äİÓß Åáì ŞÇÆãÉ ÃÕÏŞÇÆß.
COMMUNITY_CANT_REQUEST_SAME_ACCOUNT	áÇ íãßäß ÅÖÇİÉ ÔÎÕíÉ ãä ÍÓÇÈß ÇáÎÇÕ ßÕÏíŞ.
COMMUNITY_DELETE	ÇÍĞİ
COMMUNITY_DELETE_BLOCK	ÊãÊ ÅÒÇáÉ %s ãä ŞÇÆãÉ ÇáÍÙÑ ÇáÎÇÕÉ Èß.
COMMUNITY_DELETE_BLOCK_FIRST	ÃæáÇğ¡ Şã ÈÅÒÇáÉ ÇááÇÚÈ ãä ŞÇÆãÉ ÇáÍÙÑ ÇáÎÇÕÉ Èß.
COMMUNITY_DELETE_FRIEND	ÊãÊ ÅÒÇáÉ %s ãä ŞÇÆãÉ ÇÕÏŞÇÆß.
COMMUNITY_DELETE_FRIEND_FIRST	íÌÈ ÍĞİ %s ÃæáÇ.
COMMUNITY_DELETE_REQUEST_LIST_FIRST	ÃæáÇğ¡ Şã ÈÅÒÇáÉ ÇááÇÚÈ ãä ØáÈÇÊ ÇáÕÏÇŞÉ ÇáÎÇÕÉ Èß.
COMMUNITY_INVALID_NAME	áÇ íãßä ÇáÚËæÑ Úáì åĞÇ ÇáÇÓã Ãæ Ãäå ÛíÑ ãæÌæÏ.
COMMUNITY_INVITE_PARTY	áŞÏ ÃÑÓáÊ ØáÈ ãÌãæÚÉ Åáì %s.
COMMUNITY_LOGIN_MEMBER	%s ãõÊÕá.
COMMUNITY_MEMBER_LEVEL	(ãÓÊæì %d)
COMMUNITY_REGISTER_COMMENT	ÅÑÓÇá
COMMUNITY_REGISTER_COMPLETE	áŞÏ äÔÑÊ ÊÛÑíÏÉ.
COMMUNITY_REQUESTED_ALREADY	åĞÇ ÇááÇÚÈ ãæÌæÏ ÈÇáİÚá İí ŞÇÆãÉ ØáÈÇÊß.
COMMUNITY_REQUEST_ALARM_AT_LOGIN	áŞÏ ÊáŞíÊ ØáÈ ÕÏÇŞÉ. ÊÍŞŞ ãä äÇİĞÉ ÇáãÌÊãÚ.
COMMUNITY_REQUEST_FRIEND	ÃÑÓá áß %s ØáÈ ÕÏÇŞÉ.
COMMUNITY_REQUEST_FRIEND_SUCCESS	áŞÏ ÃÑÓáÊ ØáÈ ÕÏÇŞÉ Åáì %s.
COMMUNITY_REQUEST_LIST_OVER_MAX	áÇ íãßäß ÅÑÓÇá ØáÈ ÕÏÇŞÉ Åáì %s áÃä ŞÇÆãÉ ÃÕÏŞÇÆß ããÊáÆÉ.
COMMUNITY_TARGET_BLOCKED_YOU	%s ŞÇã ÈÍÙÑß.
COMMUNITY_TARGET_EXIST_REQUEST_LIST	åĞÇ ÇááÇÚÈ ãæÌæÏ ÈÇáİÚá İí ŞÇÆãÉ ØáÈÇÊß.
COMMUNITY_TARGET_MAX_FRIEND_COUNT	ŞÇÆãÉ ÃÕÏŞÇÁ %s ããÊáÆÉ. áÇ íãßä ÅÑÓÇá ÇáØáÈ.
COMMUNITY_TARGET_REFUSE_REQUEST	ÑİÖ %s ØáÈ ÇáÕÏÇŞÉ ÇáÎÇÕ Èß.
COMMUNITY_TARGET_REQUEST_FRIEND_BLOCK_MODE	ŞÇã ÇááÇÚÈ ÈÍÙÑ ØáÈ ÇáÕÏÇŞÉ ÇáÎÇÕ Èß.
COMMUNITY_TARGET_RUNNING_QUEST	áÇ íãßä ááÇÚÈ ŞÈæá ØáÈ ÇáÕÏÇŞÉ ÇáÎÇÕ Èß İí ÇáæŞÊ ÇáÍÇáí.
CRAFT_INTEGRATE_CRAFTING_QUESTION_1	åá ÊÑÛÈ İí ÇáãÊÇÈÚÉ¿
CRAFT_INTEGRATE_CRAFTING_QUESTION_2	ãÍÇæáÉ ÊÍÓíä %s ÚÏÏ %d ãÑÇÊ.
CRAFT_INTEGRATE_CRAFTING_QUESTION_3	İÑÕÉ ÇáäÌÇÍ: %d%%
CRAFT_INTEGRATE_CRAFTING_QUESTION_4	ÇáÓÚÑ: %s íÇäÛ
CRAFT_INTEGRATE_DISMANTLE_ASK_AGAIN_1	åá ÊÑíÏ ÍŞğÇ Êİßíß åĞÇ¿
CRAFT_INTEGRATE_DISMANTLE_ASK_AGAIN_2	áÇ íãßä ÇÓÊÚÇÏÉ ÇáÈäæÏ ÇáÊí Êã ÊİßíßåÇ.
CRAFT_INTEGRATE_DISMANTLE_ASK_AGAIN_3	Êã ÇáÊİßíß: %s¡ %d
CRAFT_INTEGRATE_DISMANTLE_ASK_AGAIN_4	ÇáäÊÇÆÌ: %s¡ %s
CRAFT_INTEGRATE_DISMANTLE_ASK_ATTR_1	íÍÊæí Úáì 3 ÕİÇÊ Ãæ ÃßËÑ.
CRAFT_INTEGRATE_DISMANTLE_ASK_ATTR_2	åá ÊÑíÏ ÍŞğÇ Êİßíßå Åáì ÔÙÇíÇ ØÇŞÉ¿
CRAFT_INTEGRATE_DISMANTLE_FAIL_ITEM_LIMIT_LEVEL	İŞØ ÇáÈäæÏ ãä ÇáãÓÊæì 35 Ãæ ÃÚáì íãßä ÊİßíßåÇ.
CRAFT_INTEGRATE_DISMANTLE_FAIL_NOT_ALLOWED_UI_OPEN	áÇ íãßä ÇÓÊÎÏÇã åĞÇ ÃËäÇÁ ÊäİíĞ ÅÌÑÇÁ ÂÎÑ.
CRAFT_INTEGRATE_DISMANTLE_FAIL_PLAYER_LEVEL_NOT_ENOUGH	ãÊÇÍ ááÔÎÕíÇÊ ãä ÇáãÓÊæì 35 Ãæ ÃÚáì.
CRAFT_INTEGRATE_DISMANTLE_FAIL_WRONG_BEHAVIOR	åĞÇ ÇáÅÌÑÇÁ ÛíÑ ãÓãæÍ Èå.
CRAFT_INTEGRATE_DISMANTLE_FAIL_WRONG_ITEM	áÇ íãßä Êİßíß åĞÇ ÇáÈäÏ.
CRAFT_INTEGRATE_DISMANTLE_ONLY_INVENTORY	áÇ íãßäß Êİßíß Óæì ÇáÈäæÏ ÇáãæÌæÏÉ İí ŞÇÆãÉ ÇáÌÑÏ.
CRAFT_INTEGRATE_GEM	ÛÇíÇ
CRAFT_INTEGRATE_GEM_ICON_TOOLTIP	ÛÇíÇ
CRAFT_INTEGRATE_GEM_RESULT_SLOT_TOOLTIP	ÛÇíÇ
CRAFT_INTEGRATE_ITEM_COUNT	[%d]
CRAFT_INTEGRATE_ITEM_INFO	%s (%d%%)
CRAFT_INTEGRATE_MAX_BUTTON_TOOLTIP	ÇáÍÏ ÇáÇŞÕì
CRAFT_INTEGRATE_MIN_BUTTON_TOOLTIP	ÇáÍÏ ÇáÃÏäì
CRAFT_INTEGRATE_ORE	ãÚÏä ÎÇã
CRAFT_INTEGRATE_PET_CANNOT_FEED_CRAFT_OPEN	áÇ íãßä ÇÓÊÎÏÇãå ÃËäÇÁ ÇáÊÕäíÚ.
CRAFT_INTEGRATE_RESULT_GUILD_BUILDING_ACCESS_CHANGED	áÇ íÌæÒ ÇÓÊÎÏÇã åĞå ÇáãäÔÃÉ ÅáÇ ãä ŞÈá ÃÚÖÇÁ ÇáÑÇÈØÉ ÇáÊí Êãáß åĞå ÇáÃÑÖ.
CRAFT_INTEGRATE_RESULT_GUILD_BUILDING_CHANGED	Êã ÊÛííÑ åĞÇ ÇáãÈäì¡ æÈÇáÊÇáí İåæ ÛíÑ ŞÇÈá ááÇÓÊÎÏÇã. íÑÌì ÇáÊÍŞŞ ãäå ãÑÉ ÃÎÑì.
CRAFT_INTEGRATE_RESULT_GUILD_USE_FEE_CHANGED	áŞÏ ÊÛíÑÊ ÊßÇáíİ ÇáÇÓÊÎÏÇã. íÑÌì ÇáÊÍŞŞ ãäåÇ ãÑÉ ÃÎÑì.
CRAFT_INTEGRATE_RESULT_ITEM_INFO	Êã ÇÓÊáÇã ÇáãäÊÌ: %s - %d
CRAFT_INTEGRATE_RESULT_LACK_GEM	áíÓ áÏíß ãÇ íßİí ãä ÇáÛÇíÇ.
CRAFT_INTEGRATE_RESULT_LACK_MATERIAL	áÇ íãßäß ÅÌÑÇÁ åĞÇ ÇáÚÏÏ ãä ÇáãÍÇæáÇÊ áÚÏã ÊæİÑ ÇáãæÇÏ ÇááÇÒãÉ áÏíß.
CRAFT_INTEGRATE_RESULT_LACK_YANG	áíÓ áÏíß ãÇ íßİí ãä ÇáíÇäÛ.
CRAFT_INTEGRATE_RESULT_NO_SPACE	áÇ íæÌÏ ãßÇä ßÇİí İí ŞÇÆãÉ ÇáÌÑÏ.
CRAFT_INTEGRATE_RESULT_OVER_GEM_MAX	áŞÏ æÕáÊ Åáì ÇáÍÏ ÇáÃŞÕì Çáããßä ãä ÇáÛÇíÇ.
CRAFT_INTEGRATE_RESULT_TRY_INFO	%sÇáäÊÇÆÌ: %d äÌÇÍÇÊ ¡ %d ÅÎİÇŞÇÊ
CRAFT_INTEGRATE_RESULT_TRY_INFO_BIG_SUCCESS	%sÇáäÊÇÆÌ: %d äÌÇÍÇÊ ßÇãáÉ¡ %d äÌÇÍÇÊ¡ %d ÅÎİÇŞÇÊ
CRAFT_INTEGRATE_SUCCESS_PCT	İÑÕÉ ÇáäÌÇÍ: %d%%
CRAFT_INTEGRATE_TITLE_CUBE	ÕäÇÚÉ
CRAFT_INTEGRATE_TITLE_REFINE	ÊÍÓíä
CRAFT_INTEGRATE_TITLE_SMELT	ÕŞá
CRAFT_INTEGRATE_YANG_ICON_TOOLTIP	íÇäÛ
