ACCE_ABSORB_COST	Êüóôïò óõíäõáóìïı: %d
CHANGE_LOOK_DO_NOT_CHANGE_LOOK_ITEM	[ĞñïâïëŞ] Áõôü ôï áíôéêåßìåíï äåí ìğïñåß íá ğñïâëçèåß.
CHANGE_LOOK_DO_NOT_EQUIP_ITEM	[ĞñïâïëŞ] Äåí ìğïñåßò íá ğñïâÜëåéò áõôü ôï áíôéêåßìåíï, ôçí şñá ğïõ åßíáé öïñåìİíï.
CHANGE_LOOK_DO_NOT_REGISTER_ITEM	[ĞñïâïëŞ] Áõôü ôï áíôéêåßìåíï äåí ìğïñåß íá ğñïâëçèåß.
CHANGE_LOOK_DO_NOT_SEAL_ITEM	[ĞñïâïëŞ] Áõôü ôï áíôéêåßìåíï åßíáé äåìİíï øõ÷éêÜ.
CHANGE_LOOK_INSERT_CHANGE_LOOK_ITEM	[ĞñïâïëŞ] Ğáñáêáëïıìå äŞëùóå ôï áíôéêåßìåíï ğïõ èİëåéò íá ğñïâÜëåéò.
CHANGE_LOOK_INSERT_ITEM	[ĞñïâïëŞ] Ğñİğåé ğñşôá íá äçëşóåéò ôï áíôéêåßìåíï.
CHANGE_LOOK_NEED_MONEY	Äåí İ÷åéò áñêåôÜ Yang Ş áñêåôÜ áíôéêåßìåíá.
CHANGE_LOOK_OPEN_OTHER_WINDOW	[ĞñïâïëŞ] ÁõôŞ ç åíİñãåéá åßíáé áäıíáôç ôçí şñá ğïõ åßíáé áíïé÷ôü ôï ğáñÜèõñï «ĞñïâïëŞ».
CHANGE_LOOK_TITLE	ĞñïâïëŞ
CHANGE_LOOK_TITLE2	Ìåôáìüñöùóç æşïõ éğğáóßáò
CHANGE_PET_PLEASE_APPEND_FIRST	Ôï êáôïéêßäéï ğñİğåé ğñşôá íá åğéëå÷èåß.
CHANGE_TOOLTIP2_LINE1	Ğñüóèåóå áñéóôåñÜ ôï áíôéêåßìåíï-óôü÷ï êáé äåîéÜ ôï õëéêü.
CHANGE_TOOLTIP2_LINE2	ÊÜíå êëéê óôï í, ãéá íá ÷ñçóéìïğïéŞóåéò Yang Ş ÌÜñêá Ìåôáìüñöùóçò êáé íá áëëÜîåéò ôçí åìöÜíéóç ôïõ æşïõ éğğáóßáò óïõ.
CHANGE_TOOLTIP2_LINE3	Ìéá ÌÜñêá Ìåôáìüñöùóçò áëëÜæåé ôçí åìöÜíéóç ôïõ æşïõ éğğáóßáò óïõ ÷ùñßò íá êáôáíáëşóåé Yang. (Ç ÌÜñêá êáôáóôñİöåôáé.)
CHANGE_TOOLTIP2_LINE4	Áí áëëÜîåé ç åìöÜíéóç åíüò æşïõ éğğáóßáò ìå äéÜñêåéá ÷ñŞóçò, ç áñ÷éêŞ äéÜñêåéá ÷ñŞóçò èá ğáñáìåßíåé.
CHANGE_TOOLTIP2_LINE5	Óå ğåñßğôùóç ğïõ ôï æşï éğğáóßáò-óôü÷ïò åßíáé ìüíéìï êáé ôï æşï éğğáóßáò õëéêïı İ÷åé êÜğïéá äéÜñêåéá ÷ñŞóçò, ôï æşï éğğáóßáò äéáôçñåß ôçí áñ÷éêŞ ôïõ åìöÜíéóç ãéá ôç äéÜñêåéá ôïõ æşïõ éğğáóßáò õëéêïı.
CHANGE_TOOLTIP_LINE1	Ôïğïèİôçóå óôá áñéóôåñÜ ôï áíôéêåßìåíï, óôï ïğïßï èá åöáñìïóôåß ç ĞñïâïëŞ.
CHANGE_TOOLTIP_LINE2	ÂÜëå ôï Üëëï áíôéêåßìåíï óôá äåîéÜ.
CHANGE_TOOLTIP_LINE3	Ç åìöÜíéóç ôïõ áíôéêåéìİíïõ èá áëëÜîåé,
CHANGE_TOOLTIP_LINE4	áí åğéâåâáéşóåéò ôçí ĞñïâïëŞ (V) êáé óïõ áöáéñåèïıí Yang.
CHANGE_TOOLTIP_LINE5	ÅÜí ÷ñçóéìïğïéŞóåéò áõôü ôï áíôéêåßìåíï,
CHANGE_TOOLTIP_LINE6	ìğïñåßò íá ğñïâÜëåéò ôï áíôéêåßìåíü óïõ, ÷ùñßò íá ÷ñçóéìïğïéŞóåéò Yang.
CHANGE_TOOLTIP_TITLE	ĞñïâïëŞ
CHANNEL	ÊáíÜëé
CHANNELING_CANNOT_LOGOUT	Äå ìğïñåßò íá åğéóôñİøåéò óôç óåëßäá óıíäåóçò.
CHANNEL_EMPTY_SERVER	Êåíüò server
CHANNEL_NORMAL	ÊáíÜëé %d
CHANNEL_NOTIFY_FULL	Ôï êáíÜëé åßíáé ãåìÜôï! Ğáñáêáëïıìå äéÜëåîå Üëëï êáíÜëé.
CHANNEL_NOT_FIND_INFO	Äåí âñİèçêáí ğëçñïöïñßåò ãéá ôï êáíÜëé.
CHANNEL_PVP	Åëåıèåñç ìïíïìá÷ßá
CHANNEL_SELECT_CHANNEL	ÄéÜëåîå êáíÜëé
CHANNEL_SELECT_REGION	ÄéÜëåîå ğåñéï÷Ş
CHANNEL_SELECT_SERVER	ÅğéëïãŞ server
CHANNEL_STATUS_BUSY	ÕøçëŞ åğéóêåøéì.
CHANNEL_STATUS_FULL	ÃåìÜôï
CHANNEL_STATUS_OFFLINE	¢ãíùóôç
CHANNEL_STATUS_RECOMMENDED	ÓõíéóôÜôáé
CHANNEL_STATUS_VACANT	×áìçëŞ åğéóêåøéì.
CHANNEL_TEST_SERVER	ÄïêéìŞ server
CHANNEL_TEST_SERVER_ADDR	Test %s:%d
CHARACTER_CREATE_MODE	Äçìéïõñãßá ÷áñáêôŞñá
CHARACTER_NAME	¼íïìá
CHARACTER_SELECT_MODE	ÅğéëïãŞ ÷áñáêôŞñá
CHARGE_BEAD_QUESTION	Áğáéôïıìåíåò Áíéìáóöáßñåò: %d Èİëåéò íá óõíå÷ßóåéò;
CHATTING_SETTING_ADD	ĞñïóèŞêç êáñôİëáò
CHATTING_SETTING_ADD_MAX	Äåí ìğïñåßò íá ğñïóèİóåéò Üëëá.
CHATTING_SETTING_CHANGE_TITLE_NAME	Èİëåéò íá áğïèçêåıóåéò ôï üíïìá ãé' áõôŞí ôç óõíïìéëßá;
CHATTING_SETTING_CHANGE_TITLE_NOT	Ôï üíïìá ôçò ãåíéêŞò óõíïìéëßáò äåí ìğïñåß íá áëëÜîåé.
CHATTING_SETTING_CLEAR_QUESTION	Ìçäåíéóìüò;
CHATTING_SETTING_DEL	Áöáßñåóç ğåäßïõ
CHATTING_SETTING_LANGUAGE_OFF	Off
CHATTING_SETTING_LANGUAGE_ON	On
CHATTING_SETTING_QUESTION_DESC_1	1. ¼ñéóå İíá ìŞíõìá ãéá ôçí áğïêôçìİíç ÅÌĞ áğü ôï êõíŞãé ôåñÜôùí Ş ôç ÷áìİíç ÅÌĞ.
CHATTING_SETTING_QUESTION_DESC_2	2. ¼ñéóå İíá ìŞíõìá ãéá ëåßá ğïõ Üöçóåò êáé êåñäéóìİíá Yang.
CHATTING_SETTING_RETURN	ÁğïêáôÜóôáóç ğåäßïõ
CHATTING_SETTING_SETTING	Ñõèìßóåéò
CHAT_ALL	¼ëá
CHAT_BLOCK	ÌğëïêÜñéóìá
CHAT_DICE_INFO	Ñßøç
CHAT_GUILD	Óõíôå÷íßá
CHAT_INFORMATION	Ğëçñïöïñßåò
CHAT_INSULT_STRING	Ç ğñüôáóç ğåñéİ÷åé ìç åğéôñåğôİò ëİîåéò.
CHAT_LOG	ÅìöÜíéóç ğáëéşí ìçíõìÜôùí [L]
CHAT_LOG_TITLE	ÅìöÜíéóç áñ÷åßïõ
CHAT_MESSAGE_CLIENT_VERSION_NOT_MATCH	Áğïóõíäİèçêåò, åğåéäŞ ç İêäïóç client óïõ äåí áíôéóôïé÷åß. Ğáñáêáëïıìå åíçìİñùóå ôçí İêäïóŞ óïõ êáé óõíäİóïõ îáíÜ.
CHAT_NORMAL	Êáíïíéêü
CHAT_NOTICE	Óİñâåñ
CHAT_PARTY	ÏìÜäá
CHAT_SEND_CHAT	ÁğïóôïëŞ chat
CHAT_SEND_MEMO	ÁğïóôïëŞ øßèõñïõ [Shift+Enter]
CHAT_SHOUT	ÊëŞóç
CHAT_SHOUT_LIMIT	Ìğïñåßò íá êáëåßò êÜèå 15 äåõôåñüëåğôá.
CHAT_WHISPER	Øßèõñïò
CHEQUE_SYSTEM_DO_NOT_DROP_MONEY	Äåí ìğïñåßò íá ğåôÜîåéò ÷ñŞìáôá.
CHEQUE_SYSTEM_PICK_WON	Áğİêôçóåò %s Won.
CHEQUE_SYSTEM_SELL_PRICE	[ÔéìŞ ğşëçóçò]
CHEQUE_SYSTEM_UNIT_WON	Won
CHEQUE_SYSTEM_UNIT_YANG	Yang
CHEQUE_SYSTEM_WON	%s Won
CHEQUE_SYSTEM_YANG	%s Yang
CHEQUE_USE_WON	Îïäåıôçêáí %s Won.
CLEAR_FLOOR	Åğßğåäï
CLEAR_TIME	×ñüíïò
CLICK_BEAD_DESCRIPTION	Ïé Áíéìáóöáßñåò ÷ñåéÜæïíôáé, ãéá íá áğïêôŞóåéò ğñüóâáóç óôï Æùäéáêü Íáü. Ãéá íá ôï êÜíåéò áõôü, ğŞãáéíå óå İíáí ÌåôáâéâáóôŞ óôï ÷ùñéü.
ClosePetChangeWndButton	Êëåßóéìï
COMB_ACCE_IS_CONTINUE_PROCESS	Èİëåéò íá óõíå÷ßóåéò;
COMB_ACCE_WARNING_MESSAGE	Óå ğåñßğôùóç åğéôõ÷ßáò Ş ìåñéêŞò åğéôõ÷ßáò èá êáôáóôñáöåß ôï ğñùôüôõğï. Ç ìåôáöïñÜ ìğïñåß íá áğïôı÷åé. Óå ğåñßğôùóç áğïôõ÷ßáò Ş ìåñéêŞò åğéôõ÷ßáò èá ìåéùèåß ç ğéèáíüôçôá áğïññüöçóçò ôïõ ğáñáëŞğôç.
COMB_ACCE_WARNING_MESSAGE1	Óå ğåñßğôùóç åğéôõ÷ßáò Ş ìåñéêŞò åğéôõ÷ßáò èá êáôáóôñáöåß ôï ğñùôüôõğï.
COMB_ACCE_WARNING_MESSAGE2	Ç ìåôáöïñÜ ìğïñåß íá áğïôı÷åé.
COMB_ACCE_WARNING_MESSAGE3	Óå ğåñßğôùóç áğïôõ÷ßáò Ş ìåñéêŞò åğéôõ÷ßáò èá ìåéùèåß ç ğéèáíüôçôá áğïññüöçóçò ôïõ ğáñáëŞğôç.
COMB_ACCE_WILL_REMOVE_MATERIAL	Óå ğåñßğôùóç åğéôõ÷ßáò Ş ìåñéêŞò åğéôõ÷ßáò èá êáôáóôñáöåß ôï ğñùôüôõğï.
COMB_ALREADY_APPEND	Áõôü ôï áíôéêåßìåíï İ÷åé Şäç ÷ñçóéìïğïéçèåß.
COMB_CANT_APPEND_ITEM	Áõôü ôï áíôéêåßìåíï äåí ìğïñåß íá ÷ñçóéìïğïéçèåß.
COMB_CANT_APPEND_SEALED_ITEM	Äåí ìğïñåßò íá ÷ñçóéìïğïéŞóåéò İíá øõ÷éêÜ äåìİíï áíôéêåßìåíï.
COMB_CANT_BASE_ITEM	Ç êïñäİëá ğïõ İ÷åé Şäç İíá ìğüíïõò, äåí ìğïñåß íá åßíáé ï ğáñáëŞğôçò.
COMB_CANT_MATCH_DRAINRATE	Ãéá ìéá ìåôáöïñÜ ìğüíïõò, ç ğéèáíüôçôá áğïññüöçóçò êáé ôùí äõï áíôéêåéìİíùí ğñİğåé íá åßíáé ßäéá.
COMB_CANT_MATCH_GRADE	Ãéá ìéá ìåôáöïñÜ ìğüíïõò, ï âáèìüò êáé ôùí äõï áíôéêåéìİíùí ğñİğåé íá åßíáé ßäéïò.
COMB_CANT_MATERIAL_ITEM	Ôï ğñùôüôõğï áíôéêåßìåíï ğñİğåé íá İ÷åé İíá ìğüíïõò.
COMB_COST	ÔéìŞ: %s
COMB_IS_CONTINUE_PROCESS	Èİëåéò íá óõíå÷ßóåéò;
COMB_NOTICE	Äåí ìğïñåßò íá áíïßîåéò éäéùôéêü êáôÜóôçìá üóï ğñïóğáèåßò íá áíôáëëÜîåéò âéâëßá.
COMB_NOTICE_NOT_OPEN	Äåí ìğïñåßò íá áíôáëëÜîåéò âéâëßá üóï İ÷åéò áíïé÷ôü éäéùôéêü êáôÜóôçìá.
COMB_NOT_ALL_SLOT_APPEND_ITEM	Èá ÷ñåéáóôåßò ôï ğñùôüôõğï, ôïí ğáñáëŞğôç êáé ôï áíôéêåßìåíï ìåôáöïñÜò, ãéá íá ìåôáöİñåéò ìğüíïõò.
COMB_NOT_FULL_BOOK	¼÷é, İôóé äåí èá óõìöùíŞóïõìå. ¼ğùò óïõ İ÷ù îáíáğåß, èá áíôáëëÜîù ìüíï áí ìïõ äşóåéò 10 âéâëßá.
COMB_NOT_ITEM_IN_INVENTORY	Äåí ìğïñåßò íá ÷ñçóéìïğïéŞóåéò áíôéêåßìåíá ğïõ öïñÜò.
COMB_NOT_MEDIUM_ITEM	Áõôü ôï áíôéêåßìåíï äåí ìğïñåß íá ÷ñçóéìïğïéçèåß.
COMB_WILL_REMOVE_MATERIAL	Ôï ğñùôüôõğï èá êáôáóôñáöåß óôç ìåôáöïñÜ.
COMMUNITY_ADD_BLOCK	Ï %s áğïêëåßóôçêå.
COMMUNITY_ADD_FRIEND	Ï %s ğñïóôİèçêå óôç Ëßóôá ößëùí.
COMMUNITY_ALREADY_BLOCKED	Áğïêëåßóôçêå Şäç.
COMMUNITY_ALREADY_FRIEND	Åßóôå Şäç ößëïé.
COMMUNITY_ALREADY_REQUESTED_BEFORE	¸÷åéò Şäç óôåßëåé áßôçìá öéëßáò.
COMMUNITY_BLOCKED_ALREADY	Ï %s áğïêëåßóôçêå Şäç.
COMMUNITY_BLOCKED_EXCHANGE	Åìğüñéï
COMMUNITY_BLOCKED_FRIEND_REQUEST	Áßôçìá öéëßáò
COMMUNITY_BLOCKED_FUNCTION	Áğïêëåßóôçêå:
COMMUNITY_BLOCKED_GUILD_INVITE	Ğñüóêëçóç Óõíôå÷íßáò
COMMUNITY_BLOCKED_PARTY_INVITE	Áßôçìá ÏìÜäáò
COMMUNITY_BLOCKED_PARTY_JOIN	Ğñüóêëçóç ÏìÜäáò
COMMUNITY_BLOCKED_PARTY_WHISPER	Øßèõñïò
COMMUNITY_CANT_ACTION_TIMER	Ğáñáêáëïıìå, äïêßìáóå îáíÜ áñãüôåñá.
COMMUNITY_CANT_ADD_BLOCK_ANYMORE	Äåí ìğïñåßò íá áğïêëåßóåéò Üëëïõò ğáßêôåò (ìİã. %d).
COMMUNITY_CANT_ADD_FRIEND_ANYMORE	Äåí ìğïñåßò íá İ÷åéò Üëëïõò ößëïõò (ìİã. %d).
COMMUNITY_CANT_ADD_FRIEND_SELF	Äåí ìğïñåßò íá ğñïóèİóåéò ôïí åáõôü óïõ óôç ëßóôá ößëùí óïõ.
COMMUNITY_CANT_ADD_GM	Äåí ìğïñåßò íá ğñïóèİóåéò GMs óôïõò ößëïõò óïõ.
COMMUNITY_CANT_BLOCK_FAMILY	Äåí ìğïñåßò íá áğïêëåßóåéò óıæõãï.
COMMUNITY_CANT_BLOCK_FRIEND	Ï %s ğñİğåé ğñşôá íá äéáãñáöåß.
COMMUNITY_CANT_BLOCK_REQUEST_FRIEND	Äåí ìğïñåßò íá áğïêëåßóåéò êÜğïéïí, óôïí ïğïßï İ÷åéò óôåßëåé áßôçìá öéëßáò.
COMMUNITY_CANT_BLOCK_SELF	Äåí ìğïñåßò íá áğïêëåßóåéò ôïí åáõôü óïõ.
COMMUNITY_CANT_REGISTER_NOT_INSURT	Äåí ìğïñåßò íá ÷ñçóéìïğïéŞóåéò áíÜñìïóôåò åêöñÜóåéò.
COMMUNITY_CANT_REQUEST_BLOCKED_USER	Ï ğáßêôçò ğñİğåé ğñşôá íá áöáéñåèåß áğü ôç ëßóôá áğïêëåéóìïı óïõ.
COMMUNITY_CANT_REQUEST_DUPLICATE	Ğáñáêáëïıìå äïêéìÜóôå îáíÜ, åğåéäŞ ï/ç %s äåí ìğïñåß íá ğñïóèİóåé ößëïõò áõôŞí ôç óôéãìŞ.
COMMUNITY_CANT_REQUEST_FRIEND_SELF	Äåí ìğïñåßò íá ğñïóèİóåéò ôïí åáõôü óïõ óôç ëßóôá ößëùí óïõ.
COMMUNITY_CANT_REQUEST_SAME_ACCOUNT	Äåí ìğïñåßò íá ğñïóèİóåéò ÷áñáêôŞñá áğü ôïí äéêü óïõ ëïãáñéáóìü ùò ößëï.
COMMUNITY_DELETE	ÄéáãñáöŞ
COMMUNITY_DELETE_BLOCK	Ï %s áöáéñİèçêå áğü ôç ëßóôá áğïêëåéóìïı óïõ.
COMMUNITY_DELETE_BLOCK_FIRST	ÄéÜãñáøå ğñşôá ôïí ğáßêôç áğü ôç ëßóôá áğïêëåéóìïı óïõ.
COMMUNITY_DELETE_FRIEND	Ï %s áöáéñİèçêå áğü ôç ëßóôá ößëùí óïõ.
COMMUNITY_DELETE_FRIEND_FIRST	Ï %s ğñİğåé ğñşôá íá äéáãñáöåß.
COMMUNITY_DELETE_REQUEST_LIST_FIRST	ÄéÜãñáøå ğñşôá ôïí ğáßêôç áğü ôç ëßóôá áéôçìÜôùí öéëßáò óïõ.
COMMUNITY_INVALID_NAME	Áõôü ôï üíïìá äåí âñİèçêå Ş äåí õğÜñ÷åé.
COMMUNITY_INVITE_PARTY	¸óôåéëåò İíá Áßôçìá ÏìÜäáò óôïí %s.
COMMUNITY_LOGIN_MEMBER	Ï ğáßêôçò %s åßíáé online.
COMMUNITY_MEMBER_LEVEL	(Åğ. %d)
COMMUNITY_REGISTER_COMMENT	ÁğïóôïëŞ
COMMUNITY_REGISTER_COMPLETE	Äçìïóßåõóåò İíá feed.
COMMUNITY_REQUESTED_ALREADY	Áõôüò ï ğáßêôçò åßíáé Şäç óôç ëßóôá áéôçìÜôùí óïõ.
COMMUNITY_REQUEST_ALARM_AT_LOGIN	¸ëáâåò İíá áßôçìá öéëßáò. Ñßîå ìéá ìáôéÜ óôï ğáñÜèõñï êïéíüôçôáò.
COMMUNITY_REQUEST_FRIEND	Ï %s óïõ İóôåéëå áßôçìá öéëßáò.
COMMUNITY_REQUEST_FRIEND_SUCCESS	¸óôåéëåò İíá áßôçìá öéëßáò óôïí %s.
COMMUNITY_REQUEST_LIST_OVER_MAX	Äåí ìğïñåßò íá óôåßëåéò áßôçìá öéëßáò óôïí %s, åğåéäŞ åßíáé ğëŞñçò ç ëßóôá ößëùí óïõ.
COMMUNITY_TARGET_BLOCKED_YOU	Ï ğáßêôçò %s óå İ÷åé áğïêëåßóåé.
COMMUNITY_TARGET_EXIST_REQUEST_LIST	Áõôüò ï ğáßêôçò åßíáé Şäç óôç ëßóôá áéôçìÜôùí óïõ.
COMMUNITY_TARGET_MAX_FRIEND_COUNT	Ç ëßóôá ößëùí ôïõ/ôçò %s åßíáé ğëŞñçò. Ôï áßôçìá äåí ìğüñåóå íá óôáëåß.
COMMUNITY_TARGET_REFUSE_REQUEST	Ï %s áğİññéøå ôï áßôçìá öéëßáò óïõ.
COMMUNITY_TARGET_REQUEST_FRIEND_BLOCK_MODE	Ï ğáßêôçò áğİêëåéóå ôï áßôçìá öéëßáò óïõ.
COMMUNITY_TARGET_RUNNING_QUEST	Ï ğáßêôçò äåí ìğïñåß íá áğïäå÷ôåß ôï áßôçìá öéëßáò óïõ áõôŞí ôç óôéãìŞ.
CRAFT_INTEGRATE_CRAFTING_QUESTION_1	Èİëåéò íá óõíå÷ßóåéò;
CRAFT_INTEGRATE_CRAFTING_QUESTION_2	ĞñïóğÜèçóå íá âåëôéşóåéò %s %d öïñİò.
CRAFT_INTEGRATE_CRAFTING_QUESTION_3	Ğéèáíüôçôá åğéôõ÷ßáò: %d%%
CRAFT_INTEGRATE_CRAFTING_QUESTION_4	Êüóôïò: %s Yang
CRAFT_INTEGRATE_DISMANTLE_ASK_AGAIN_1	Èİëåéò ğñáãìáôéêÜ íá ôï äéáëıóåéò áõôü;
CRAFT_INTEGRATE_DISMANTLE_ASK_AGAIN_2	Ôá äéáëõìİíá áíôéêåßìåíá äåí ìğïñïıí íá áğïêáôáóôáèïıí.
CRAFT_INTEGRATE_DISMANTLE_ASK_AGAIN_3	Äéáëıèçêå: %s, %d
CRAFT_INTEGRATE_DISMANTLE_ASK_AGAIN_4	Áğïôåëİóìáôá: %s, %s
CRAFT_INTEGRATE_DISMANTLE_ASK_ATTR_1	Áõôü İ÷åé 3 Ş ğåñéóóüôåñåò éäéüôçôåò.
CRAFT_INTEGRATE_DISMANTLE_ASK_ATTR_2	Èİëåéò ğñáãìáôéêÜ íá ôï äéáëıóåéò óå Èñáıóìáôá åíİñãåéáò;
CRAFT_INTEGRATE_DISMANTLE_FAIL_ITEM_LIMIT_LEVEL	Ìğïñïıí íá äéáëõèïıí ìüíï áíôéêåßìåíá åğéğİäïõ 35 êáé ğÜíù.
CRAFT_INTEGRATE_DISMANTLE_FAIL_NOT_ALLOWED_UI_OPEN	Áõôü äåí ìğïñåß íá ÷ñçóéìïğïéçèåß êáôÜ ôç äéÜñêåéá ìéáò Üëëçò åíİñãåéáò.
CRAFT_INTEGRATE_DISMANTLE_FAIL_PLAYER_LEVEL_NOT_ENOUGH	Äéáèİóéìï ãéá ÷áñáêôŞñåò åğéğİäïõ 35 Ş ìåãáëıôåñïõ.
CRAFT_INTEGRATE_DISMANTLE_FAIL_WRONG_BEHAVIOR	ÁõôŞ ç åíİñãåéá äåí åğéôñİğåôáé.
CRAFT_INTEGRATE_DISMANTLE_FAIL_WRONG_ITEM	Ç äéÜëõóç áõôïı ôïõ áíôéêåéìİíïõ äåí åßíáé äõíáôŞ.
CRAFT_INTEGRATE_DISMANTLE_ONLY_INVENTORY	Ìğïñåßò íá äéáëıóåéò ìüíï áíôéêåßìåíá áğü ôïí êáôÜëïãü óïõ.
CRAFT_INTEGRATE_GEM	Gaya
CRAFT_INTEGRATE_GEM_ICON_TOOLTIP	Gaya
CRAFT_INTEGRATE_GEM_RESULT_SLOT_TOOLTIP	GAYA
CRAFT_INTEGRATE_ITEM_COUNT	[%d]
CRAFT_INTEGRATE_ITEM_INFO	%s (%d%%)
CRAFT_INTEGRATE_MAX_BUTTON_TOOLTIP	ÌÅÃ.
CRAFT_INTEGRATE_MIN_BUTTON_TOOLTIP	ÅËÁ×.
CRAFT_INTEGRATE_ORE	ÌåôÜëëåõìá
CRAFT_INTEGRATE_PET_CANNOT_FEED_CRAFT_OPEN	Äåí ìğïñåß íá ÷ñçóéìïğïéçèåß êáôÜ ôçí êáôáóêåõŞ.
CRAFT_INTEGRATE_RESULT_GUILD_BUILDING_ACCESS_CHANGED	ÁõôŞ ç åãêáôÜóôáóç ìğïñåß íá ÷ñçóéìïğïéçèåß ìüíï áğü ìİëç ôçò óõíôå÷íßáò, óôçí ïğïßá áíŞêåé áõôŞ ç Ãç.
CRAFT_INTEGRATE_RESULT_GUILD_BUILDING_CHANGED	Áõôü ôï êôßñéï Üëëáîå êáé ãé' áõôü äåí ìğïñåß íá ÷ñçóéìïğïéçèåß. Ğáñáêáëïıìå İëåãîİ ôï îáíÜ.
CRAFT_INTEGRATE_RESULT_GUILD_USE_FEE_CHANGED	Ôï êüóôïò ÷ñŞóçò Üëëáîå. Ğáñáêáëïıìå İëåãîİ ôï îáíÜ.
CRAFT_INTEGRATE_RESULT_ITEM_INFO	Áğİêôçóåò áíôéêåßìåíï: %s - %d
CRAFT_INTEGRATE_RESULT_LACK_GEM	Äåí İ÷åéò áñêåôÜ Gaya.
CRAFT_INTEGRATE_RESULT_LACK_MATERIAL	Äåí ìğïñåßò íá êÜíåéò üóåò ğñïóğÜèåéåò, åğåéäŞ óïõ ëåßğïõí ôá áíÜëïãá õëéêÜ.
CRAFT_INTEGRATE_RESULT_LACK_YANG	Äåí İ÷åéò áñêåôÜ Yang.
CRAFT_INTEGRATE_RESULT_NO_SPACE	Äåí İ÷åéò áñêåôü ÷şñï óôïí ÊáôÜëïãü óïõ.
CRAFT_INTEGRATE_RESULT_OVER_GEM_MAX	Äéáèİôåéò Şäç ôï ìİãéóôï áñéèìü Gaya.
CRAFT_INTEGRATE_RESULT_TRY_INFO	%s Áğïôåëİóìáôá: %d Åğéôõ÷ßåò, %d Áğïôõ÷ßåò
CRAFT_INTEGRATE_RESULT_TRY_INFO_BIG_SUCCESS	%s Áğïôåëİóìáôá: %d Ğïëëİò Åğéôõ÷ßåò, %d Åğéôõ÷ßåò, %d Áğïôõ÷ßåò
CRAFT_INTEGRATE_SUCCESS_PCT	Ğéèáíüôçôá åğéôõ÷ßáò: %d%%
CRAFT_INTEGRATE_TITLE_CUBE	ĞáñáóêåõŞ
CRAFT_INTEGRATE_TITLE_REFINE	Âåëôßùóç
CRAFT_INTEGRATE_TITLE_SMELT	Åîåõãåíéóìüò
CRAFT_INTEGRATE_YANG_ICON_TOOLTIP	Yang
CREATE_ERROR_GM_NAME	Äåí åğéôñİğåôáé ç ÷ñŞóç ôïõ üñïõ «GM» óôï üíïìá ÷áñáêôŞñá.
CREATE_ERROR_INSULT_NAME	Ìç åğéôñåğôü üíïìá.
CREATE_ERROR_LIMIT_LEVEL	Ï ÷áñáêôŞñáò óïõ ğñİğåé íá åßíáé ôïõëÜ÷éóôïí åğßğåäï 80.
CREATE_ERROR_TIME_LIMIT	Ìğïñåßò íá äçìéïõñãåßò ìüíï İíáí ÷áñáêôŞñá êÜèå 30 äåõôåñüëåğôá.
CREATE_ERROR_WRONG_STRING	Áõôü ôï üíïìá ÷áñáêôŞñá äåí åğéôñİğåôáé.
CREATE_EXIST_SAME_NAME	Ôï üíïìá åßíáé Şäç óå ÷ñŞóç áğü Üëëïí ğáßêôç.
CREATE_FAILURE	Äåí ìğïñåßò íá äçìéïõñãŞóåéò ôï ÷áñáêôŞñá.
CREATE_FULL	Äåí ìğïñåßò íá äçìéïõñãŞóåéò Üëëïí ÷áñáêôŞñá.
CREATE_GM_NAME	GM
CREATE_INPUT_NAME	ÅéóáãùãŞ ïíüìáôïò.
CREATE_PLUS_STAT	¸÷åéò êé Üëëïõò ğüíôïõò êáôÜóôáóçò.
CUBE_ALCHEMY_BANN_SIGN	Áõôü äåí ìğïñåßò íá ôï êÜíåéò áõôü áõôŞí ôç óôéãìŞ.
CUBE_CATEGORY_ACCESSORY	ÊïóìŞìáôá
CUBE_CATEGORY_ALCHEMY	Ñïıíïò ÓéäåñÜ
CUBE_CATEGORY_ARMOR	Ğáíïğëßá
CUBE_CATEGORY_ARMOR_GLOVE	ÃÜíôéá
CUBE_CATEGORY_BELT	Æşíåò
CUBE_CATEGORY_ETC	Êëğ.
CUBE_CATEGORY_EVENT	Event
CUBE_CATEGORY_JOB	ÊëÜóç
CUBE_CATEGORY_MAP	Ïëïêëçñùìİíïé ÷Üñôåò
CUBE_CATEGORY_PET	Êáôïéêßäéï
CUBE_CATEGORY_SETADD_ARMOR	Äçìéïõñãßá ğáíïğëßáò óåô
CUBE_CATEGORY_SETADD_HELMET	Äçìéïõñãßá êñÜíïõò óåô
CUBE_CATEGORY_SETADD_WEAPON	Äçìéïõñãßá üğëïõ óåô
CUBE_CATEGORY_WEAPON	¼ğëï
CUBE_CATEGOR_SKILL_BOOK	Âéâëßï ÉêáíïôŞôùí
CUBE_DO_NOT_SAME_ALCHEMY_KINDS	Ğáñáêáëïıìå ÷ñçóéìïğïßçóå İíáí Ñïıíï ÓéäåñÜ ôïõ êáôÜëëçëïõ ôığïõ.
CUBE_FAIL	Ç êáôáóêåõŞ áğİôõ÷å.
CUBE_LIST_TEXT_ITEM_INFO	%s ( %d%% )
CUBE_LIST_TEXT_MAKE_QUANTITY	[%d]
