ACCE_ABSORB_COST	Koszty po³¹czenia: %d
COMB_CANT_APPEND_SEALED_ITEM	Nie mo¿esz u¿ywaæ przedmiotu przywi¹zanego do duszy.
COMB_CANT_BASE_ITEM	Szarfa, która posiada ju¿ bonus, nie mo¿e byæ odbiorc¹.
COMB_CANT_MATCH_DRAINRATE	Stopieñ absorpcji obydwu przedmiotów musi byæ identyczny, aby transferowaæ bonus.
COMB_CANT_MATCH_GRADE	Poziom obydwu przedmiotów musi byæ identyczny, aby transferowaæ bonus.
COMB_CANT_MATERIAL_ITEM	Orygina³ musi posiadaæ bonus.
COMB_COST	Cena: %s
COMB_IS_CONTINUE_PROCESS	Chcesz kontynuowaæ?
COMB_NOTICE	Nie mo¿esz otworzyæ prywatnego sklepu podczas wymiany ksi¹g.
COMB_NOTICE_NOT_OPEN	Nie mo¿esz wymieniæ ksi¹g, gdy masz otwarty prywatny sklep.
COMB_NOT_ALL_SLOT_APPEND_ITEM	Aby transferowaæ bonusy, potrzebujesz orygina³u, odbiorcy oraz przedmiot transferu.
COMB_NOT_FULL_BOOK	Nie, tak to nie ubijemy interesu. Ju¿ ci przecie¿ wyt³umaczy³em, ¿e chcê 10 ksi¹g, aby dokonaæ wymiany.
COMB_NOT_ITEM_IN_INVENTORY	Nie mo¿esz u¿ywaæ za³o¿onych przedmiotów.
COMB_NOT_MEDIUM_ITEM	Nie mo¿na u¿yæ tego przedmiotu.
COMB_WILL_REMOVE_MATERIAL	Orygina³ zostanie zniszczony w przypadku sukcesu.
COMMUNITY_ADD_BLOCK	Gracz %s zosta³ zablokowany.
COMMUNITY_ADD_FRIEND	Gracz %s zosta³ dodany do listy przyjació³.
COMMUNITY_ALREADY_BLOCKED	Jest ju¿ zablokowany.
COMMUNITY_ALREADY_FRIEND	Ju¿ jesteœcie przyjació³mi.
COMMUNITY_ALREADY_REQUESTED_BEFORE	Proœba o dodanie do przyjació³ zosta³a ju¿ wys³ana.
COMMUNITY_BLOCKED_ALREADY	Gracz %s zosta³ ju¿ zablokowany.
COMMUNITY_BLOCKED_EXCHANGE	Handel
COMMUNITY_BLOCKED_FRIEND_REQUEST	Proœba o dodanie do przyjació³
COMMUNITY_BLOCKED_FUNCTION	Zablokowani:
COMMUNITY_BLOCKED_GUILD_INVITE	Zaproszenie do gildii
COMMUNITY_BLOCKED_PARTY_INVITE	Proœba o dodanie do grupy
COMMUNITY_BLOCKED_PARTY_JOIN	Zaproszenie do grupy
COMMUNITY_BLOCKED_PARTY_WHISPER	Szepcz
COMMUNITY_CANT_ACTION_TIMER	Spróbuj ponownie póŸniej.
COMMUNITY_CANT_ADD_BLOCK_ANYMORE	Nie mo¿esz zablokowaæ jeszcze wiêcej graczy (maks. %d).
COMMUNITY_CANT_ADD_FRIEND_ANYMORE	Nie mo¿esz mieæ jeszcze wiêcej przyjació³ (maks. %d).
COMMUNITY_CANT_ADD_FRIEND_SELF	Nie mo¿esz dodaæ siebie do swojej listy przyjació³.
COMMUNITY_CANT_ADD_GM	Nie mo¿esz dodawaæ GMów jako przyjació³.
COMMUNITY_CANT_BLOCK_FAMILY	Nie mo¿esz zablokowaæ swojego ma³¿onka / swojej ma³¿onki.
COMMUNITY_CANT_BLOCK_FRIEND	Gracz %s musi zostaæ najpierw usuniêty.
COMMUNITY_CANT_BLOCK_REQUEST_FRIEND	Nie mo¿esz zablokowaæ osoby po wys³aniu do niej proœby o dodanie do przyjació³.
COMMUNITY_CANT_BLOCK_SELF	Nie mo¿esz zablokowaæ samego siebie.
COMMUNITY_CANT_REGISTER_NOT_INSURT	Nie mo¿esz u¿ywaæ nieodpowiednich wyra¿eñ.
COMMUNITY_CANT_REQUEST_BLOCKED_USER	Najpierw usuñ gracza ze swojej czarnej listy.
COMMUNITY_CANT_REQUEST_DUPLICATE	Spróbuj ponownie, poniewa¿ %s nie mo¿e obecnie dodawaæ przyjació³.
COMMUNITY_CANT_REQUEST_FRIEND_SELF	Nie mo¿esz dodaæ siebie do swojej listy przyjació³.
COMMUNITY_CANT_REQUEST_SAME_ACCOUNT	Nie mo¿esz dodaæ postaci ze swojego w³asnego konta jako przyjaciela.
COMMUNITY_DELETE	Usuñ
COMMUNITY_DELETE_BLOCK	Gracz %s zosta³ usuniêty z twojej czarnej listy.
COMMUNITY_DELETE_BLOCK_FIRST	Najpierw usuñ gracza ze swojej czarnej listy.
COMMUNITY_DELETE_FRIEND	Gracz %s zosta³ usuniêty z twojej listy przyjació³.
COMMUNITY_DELETE_FRIEND_FIRST	Gracz %s musi zostaæ najpierw usuniêty.
COMMUNITY_DELETE_REQUEST_LIST_FIRST	Najpierw usuñ gracza ze swoich próœb o dodanie do przyjació³.
COMMUNITY_INVALID_NAME	Ta nazwa nie zosta³a znaleziona lub nie istnieje.
COMMUNITY_INVITE_PARTY	Wys³a³eœ proœbê o dodanie do grupy graczowi %s.
COMMUNITY_LOGIN_MEMBER	Gracz %s jest online.
COMMUNITY_MEMBER_LEVEL	(Pz. %d)
COMMUNITY_REGISTER_COMMENT	Wyœlij
COMMUNITY_REGISTER_COMPLETE	Opublikowa³eœ feed.
COMMUNITY_REQUESTED_ALREADY	Ten gracz jest ju¿ na twojej liœcie próœb.
COMMUNITY_REQUEST_ALARM_AT_LOGIN	Otrzyma³eœ proœbê o dodanie do przyjació³. SprawdŸ w oknie Spo³ecznoœci.
COMMUNITY_REQUEST_FRIEND	Gracz %s wys³a³ ci proœbê o dodanie do przyjació³.
COMMUNITY_REQUEST_FRIEND_SUCCESS	Wys³a³eœ proœbê o dodanie do przyjació³. graczowi %s.
COMMUNITY_REQUEST_LIST_OVER_MAX	Nie mo¿esz wys³aæ proœby o dodanie do przyjació³ graczowi %s, poniewa¿ twoja lista przyjació³ jest pe³na.
COMMUNITY_TARGET_BLOCKED_YOU	Gracz %s ciê zablokowa³.
COMMUNITY_TARGET_EXIST_REQUEST_LIST	Ten gracz jest ju¿ na twojej liœcie próœb.
COMMUNITY_TARGET_MAX_FRIEND_COUNT	Lista przyjació³ %s jest pe³na. Nie mo¿na wys³aæ proœby.
COMMUNITY_TARGET_REFUSE_REQUEST	Gracz %s odrzuci³ twoj¹ proœbê o dodanie do przyjació³.
COMMUNITY_TARGET_REQUEST_FRIEND_BLOCK_MODE	Gracz zablokowa³ twoj¹ proœbê o dodanie do przyjació³.
COMMUNITY_TARGET_RUNNING_QUEST	Gracz nie mo¿e obecnie przyj¹æ twojej proœby o dodanie do przyjació³.
CRAFT_INTEGRATE_CRAFTING_QUESTION_1	Chcesz kontynuowaæ?
CRAFT_INTEGRATE_CRAFTING_QUESTION_2	Spróbuj ulepszyæ %s %d razy.
CRAFT_INTEGRATE_CRAFTING_QUESTION_3	Szansa na sukces: %d%%
CRAFT_INTEGRATE_CRAFTING_QUESTION_4	Koszt: %s Yang
CRAFT_INTEGRATE_DISMANTLE_ASK_AGAIN_1	Czy na pewno chcesz to rozebraæ?
CRAFT_INTEGRATE_DISMANTLE_ASK_AGAIN_2	Przywrócenie rozebranych przedmiotów nie jest mo¿liwe.
CRAFT_INTEGRATE_DISMANTLE_ASK_AGAIN_3	Rozebrane: %s, %d
CRAFT_INTEGRATE_DISMANTLE_ASK_AGAIN_4	Wyniki: %s, %s
CRAFT_INTEGRATE_DISMANTLE_ASK_ATTR_1	Ma to 3 lub wiêcej cech.
CRAFT_INTEGRATE_DISMANTLE_ASK_ATTR_2	Czy na pewno chcesz to rozebraæ na Od³amki Energii?
CRAFT_INTEGRATE_DISMANTLE_FAIL_ITEM_LIMIT_LEVEL	Rozbieraæ mo¿na tylko przedmioty poziomu 35 lub wy¿szego.
CRAFT_INTEGRATE_DISMANTLE_FAIL_NOT_ALLOWED_UI_OPEN	Nie mo¿na tego u¿ywaæ podczas wykonywania innej czynnoœci.
CRAFT_INTEGRATE_DISMANTLE_FAIL_PLAYER_LEVEL_NOT_ENOUGH	Dostêpne dla postaci na poziomie 35 lub wy¿szym.
CRAFT_INTEGRATE_DISMANTLE_FAIL_WRONG_BEHAVIOR	To dzia³anie jest niedozwolone.
CRAFT_INTEGRATE_DISMANTLE_FAIL_WRONG_ITEM	Nie mo¿na rozebraæ tego przedmiotu.
CRAFT_INTEGRATE_DISMANTLE_ONLY_INVENTORY	Mo¿esz rozbieraæ wy³¹cznie przedmioty w swoim ekwipunku.
CRAFT_INTEGRATE_GEM	Gaya
CRAFT_INTEGRATE_GEM_ICON_TOOLTIP	Gaya
CRAFT_INTEGRATE_GEM_RESULT_SLOT_TOOLTIP	GAYA
CRAFT_INTEGRATE_ITEM_COUNT	[%d]
CRAFT_INTEGRATE_ITEM_INFO	%s (%d%%)
CRAFT_INTEGRATE_MAX_BUTTON_TOOLTIP	MAKS.
CRAFT_INTEGRATE_MIN_BUTTON_TOOLTIP	MIN.
CRAFT_INTEGRATE_ORE	Ruda
CRAFT_INTEGRATE_PET_CANNOT_FEED_CRAFT_OPEN	Nie mo¿na u¿yæ podczas wytwarzania.
CRAFT_INTEGRATE_RESULT_GUILD_BUILDING_ACCESS_CHANGED	Z tego obiektu mog¹ korzystaæ wy³¹cznie cz³onkowie gildii, do której nale¿y ten obszar.
CRAFT_INTEGRATE_RESULT_GUILD_BUILDING_CHANGED	Ten budynek zosta³ zmieniony i dlatego nie nadaje siê do u¿ytku. SprawdŸ go raz jeszcze.
CRAFT_INTEGRATE_RESULT_GUILD_USE_FEE_CHANGED	Koszty u¿ytkowania uleg³y zmianie. SprawdŸ je raz jeszcze.
CRAFT_INTEGRATE_RESULT_ITEM_INFO	Otrzymano przedmiot: %s - %d
CRAFT_INTEGRATE_RESULT_LACK_GEM	Masz za ma³o Gaya.
CRAFT_INTEGRATE_RESULT_LACK_MATERIAL	Nie mo¿esz przeprowadziæ tak wielu prób, poniewa¿ masz do tego za ma³o materia³ów.
CRAFT_INTEGRATE_RESULT_LACK_YANG	Masz za ma³o Yang.
CRAFT_INTEGRATE_RESULT_NO_SPACE	Masz za ma³o miejsca w ekwipunku.
CRAFT_INTEGRATE_RESULT_OVER_GEM_MAX	Posiadasz ju¿ maksymaln¹ liczbê Gaya.
CRAFT_INTEGRATE_RESULT_TRY_INFO	Liczba wyników: %s, sukcesy: %d, niepowodzenia: %d
CRAFT_INTEGRATE_RESULT_TRY_INFO_BIG_SUCCESS	Liczba wyników: %s, pe³ne sukcesy: %d, sukcesy: %d, niepowodzenia: %d
CRAFT_INTEGRATE_SUCCESS_PCT	Szansa na sukces: %d%%
CRAFT_INTEGRATE_TITLE_CUBE	Wytwarzanie
CRAFT_INTEGRATE_TITLE_REFINE	Ulepszenie
CRAFT_INTEGRATE_TITLE_SMELT	Uszlachetnienie
CRAFT_INTEGRATE_YANG_ICON_TOOLTIP	Yang
CREATE_ERROR_GM_NAME	Nie jesteœ upowa¿niony do u¿ycia ,GM‘ w swojej nazwie postaci.
CREATE_ERROR_INSULT_NAME	Ta nazwa jest niepoprawna.
CREATE_ERROR_LIMIT_LEVEL	Twoja postaæ musi znajdowaæ siê przynajmniej na poziomie 80.
CREATE_ERROR_TIME_LIMIT	Mo¿esz tworzyæ now¹ postaæ tylko co 30 sek.
CREATE_ERROR_WRONG_STRING	Ta nazwa postaci jest niedozwolona.
CREATE_EXIST_SAME_NAME	Nazwa jest ju¿ w u¿yciu.
CREATE_FAILURE	Nie mo¿esz stworzyæ postaci
CREATE_FULL	Nie mo¿esz tworzyæ wiêcej postaci.
CREATE_GM_NAME	GM
CREATE_INPUT_NAME	Wybierz nazwê.
CREATE_PLUS_STAT	Nadal pozosta³y punkty statusu.
CUBE_ALCHEMY_BANN_SIGN	Nie mo¿esz tego zrobiæ w tym momencie.
CUBE_CATEGORY_ACCESSORY	Bi¿uteria
CUBE_CATEGORY_ALCHEMY	Runa Wykuwania
CUBE_CATEGORY_ARMOR	Zbroja
CUBE_CATEGORY_ARMOR_GLOVE	Rêkawice
CUBE_CATEGORY_BELT	Pasy
CUBE_CATEGORY_ETC	Itp.
CUBE_CATEGORY_EVENT	Event
CUBE_CATEGORY_JOB	Klasa
CUBE_CATEGORY_MAP	Kompletne mapy
CUBE_CATEGORY_PET	Zwierzak
CUBE_CATEGORY_SETADD_ARMOR	Wykonaj zestaw zbroi
CUBE_CATEGORY_SETADD_HELMET	Wykonaj zestaw he³mu
CUBE_CATEGORY_SETADD_WEAPON	Wykonaj zestaw broni
CUBE_CATEGORY_WEAPON	Broñ
CUBE_CATEGOR_SKILL_BOOK	Ksiêga Umiejêtnoœci
CUBE_DO_NOT_SAME_ALCHEMY_KINDS	U¿yj Runy Wykuwania odpowiedniego typu.
CUBE_FAIL	Wytworzenie nie powiod³o siê.
CUBE_LIST_TEXT_ITEM_INFO	%s ( %d%% )
CUBE_LIST_TEXT_MAKE_QUANTITY	[%d]
CUBE_MAKE_CONFIRM_QUESTION_1	Co najmniej jeden u¿yty przedmiot jest wyj¹tkowo cenny (ma wiêcej ni¿ %d bonusów).
CUBE_MAKE_CONFIRM_QUESTION_2	Czy naprawdê chcesz kontynuowaæ?
CUBE_NOT_ENOUGHT_ALCHEMY_COUNT	Nie dysponujesz %s, dlatego w tym momencie nie mo¿esz tego wytworzyæ.
CUBE_NOT_ENOUGH_GEM	Masz za ma³o Gaya.
CUBE_NOT_ENOUGH_GOLD	Za ma³o Yang do wytworzenia.
CUBE_NOT_ENOUGH_MATERIAL	Za ma³o materia³u do wytworzenia.
CUBE_PLEASE_SELECT	Nie wybrano przedmiotów.
CUBE_SELECT_ITEM_FIRST	Wybierz najpierw przedmiot do wytworzenia.
CUBE_TOOLTIP_PASSIVE_JOB_LEFT_TIME	Pozosta³y czas: {0} ~ {1} godz.
CUBE_USING_ALCHEMY_INFO	%s wykorzystano do wytworzenia (%d sztuk).
CZ_REWARD_QUESTION_COMPLETE	Chcesz zrealizowaæ to pole?
CZ_REWARD_TOOLTIP_10GAN	Insygnia Zodiaku
CZ_REWARD_TOOLTIP_10GAN_COUNT	Liczba w ekwipunku
CZ_REWARD_TOOLTIP_10GAN_NEED_COUNT	Wymagana liczba
CZ_REWARD_TOOLTIP_12ZI	Insygnia Stra¿nika
CZ_REWARD_TOOLTIP_12ZI_COUNT	Liczba w ekwipunku
CZ_REWARD_TOOLTIP_12ZI_NEED_COUNT	Wymagana liczba
CZ_REWARD_TOOLTIP_ALL_BOX	Gwiezdny Skarb
CZ_REWARD_TOOLTIP_CAN_GET_ALL_BOX	Kliknij tutaj, aby w ramach nagrody odebraæ swój Gwiezdny Skarb.
CZ_REWARD_TOOLTIP_CAN_GET_GREEN_BOX	Kliknij tutaj, aby w ramach nagrody odebraæ swój Skarb Aventurin.
CZ_REWARD_TOOLTIP_CAN_GET_YELLOW_BOX	Kliknij tutaj, aby w ramach nagrody odebraæ swój Skarb Aureolin.
CZ_REWARD_TOOLTIP_COMPLETABLE	Zrealizuj
CZ_REWARD_TOOLTIP_GREEN_BOX	Skarb Aventurin
CZ_REWARD_TOOLTIP_GREEN_BOX_COMP_CNT	Zrealizowane Skarby Aventurin: %d
CZ_REWARD_TOOLTIP_WEEKLY	Dzieñ
CZ_REWARD_TOOLTIP_WEEKLY_FRI	Pi¹tek
CZ_REWARD_TOOLTIP_WEEKLY_MON	Poniedzia³ek
CZ_REWARD_TOOLTIP_WEEKLY_SAT	Sobota
CZ_REWARD_TOOLTIP_WEEKLY_SAT_SUN	Sobota/Niedziela
CZ_REWARD_TOOLTIP_WEEKLY_THU	Czwartek
CZ_REWARD_TOOLTIP_WEEKLY_TUE	Wtorek
CZ_REWARD_TOOLTIP_WEEKLY_WED	Œroda
CZ_REWARD_TOOLTIP_YELLOW_BOX	Skarb Aureolin
CZ_REWARD_TOOLTIP_YELLOW_BOX_COMP_CNT	Zrealizowane Skarby Aureolin: %d
DAY	d
DETAILS_0	Si³a vs Metin
DETAILS_1	Si³a vs pó³ludŸmi
DETAILS_2	Odpor. na pó³ludzi
DETAILS_3	Si³a vs Orkom
DETAILS_4	Si³a vs Nieumar³ym
DETAILS_5	Si³a vs Potworom
DETAILS_6	Si³a vs Potw. Zodiaku
DETAILS_7	Si³a vs Zwierzêtom
DETAILS_8	Si³a vs Mistykom
DETAILS_9	Si³a vs Diab³om
DETAILS_10	Si³a vs Pot. Pustyni
DETAILS_11	Si³a vs Insektom
DETAILS_12	Si³a Ataku
DETAILS_13	Si³a Obrony
DETAILS_14	Przeciêtne Obra¿enia
DETAILS_15	Odp. na Przeciê.Obr.
DETAILS_16	Obra¿. umiejêtnoœci
DETAILS_17	Odpornoœæ na obra¿. umiej.
DETAILS_18	Mag./Krótkodyst. Atak
DETAILS_19	Magiczny Atak
DETAILS_20	Szansa na Cios Kryt.
DETAILS_21	Przeszyw. Cios
DETAILS_22	Odp. na Kryt. Cios
DETAILS_23	Odp. na Przesz. Cios
DETAILS_24	Odp. na B³yskawice
DETAILS_25	Odp. na Lód
DETAILS_26	Odp. na Mrok
DETAILS_27	Odp. na Ogieñ
DETAILS_28	Odp. na Wiatr
DETAILS_29	Odp. na Ziemiê
DETAILS_30	Moc B³yskawic
DETAILS_31	Moc Lodu
DETAILS_32	Moc Mroku
DETAILS_33	Moc Ognia
DETAILS_34	Moc Wiatru
DETAILS_35	Moc Ziemi
DETAILS_36	Si³a vs Wojownikom
DETAILS_37	Si³a vs Ninja
DETAILS_38	Si³a vs Sura
DETAILS_39	Si³a vs Szamanom
DETAILS_40	Si³a vs Likanom
DETAILS_41	Obrona vs Wojownikom
DETAILS_42	Obrona vs Ninja
DETAILS_43	Obrona vs Sura
DETAILS_44	Obrona vs Szamanom
DETAILS_45	Obrona vs Likanom
DETAILS_46	Odpornoœæ na Miecz
DETAILS_47	Odp. na Br. Dwurêczn¹
DETAILS_48	Odpornoœæ na Sztylet
DETAILS_49	Odpornoœæ na Szpon
DETAILS_50	Odpornoœæ na Dzwon
DETAILS_51	Odpornoœæ na Wachlarz
DETAILS_52	Odpornoœæ na Strza³
DETAILS_53	Szansa na Omdlenie
DETAILS_54	Szansa na Spowolnie.
DETAILS_55	Szansa na Zatrucie
DETAILS_56	Odp. na Truciznê
DETAILS_57	Atak Krwawienia
DETAILS_58	Odp. Atak Krw.
DETAILS_59	Kradzie¿ ¯ycia
DETAILS_60	Kradzie¿ PE
DETAILS_61	Regeneracja P¯
DETAILS_62	Regeneracja PE
DETAILS_63	Blok Ataku
DETAILS_64	Unik Strza³y
DETAILS_65	Odbicie Walki. Wrêcz
DETAILS_66	Reg. P¯ przy Zabiciu
DETAILS_67	Reg. PE przy Zabiciu
DETAILS_68	2x PD
DETAILS_69	2x Yang
DETAILS_70	Szansa Dropu
DETAILS_71	Si³a Ataku
DETAILS_72	Obrona
DETAILS_73	PD
DETAILS_74	Szansa Dropu
DETAILS_75	2x Yang
DETAILS_76	Odp. na Magiê
DETAILS_77	Antymagia
DETAILS_78	Odpornoœæ na potwory
DETAILS_79	Bonus do mag. ataku
DETAILS_ATTBONUS_BELL	Z³amanie Dzwonu
DETAILS_ATTBONUS_BOW	Z³amanie Strza³y
DETAILS_ATTBONUS_CLAW	Z³amanie Szponów
DETAILS_ATTBONUS_DAGGER	Z³amanie Sztyletu
DETAILS_ATTBONUS_DRAGON	Si³a w walce ze smokami
DETAILS_ATTBONUS_FAN	Z³amanie Wachlarza
DETAILS_ATTBONUS_MOON	Si³a w walce z p. Mroku Ksiê¿.
DETAILS_ATTBONUS_SWORD	Z³amanie Miecza
DETAILS_ATTBONUS_TWOHAND	Z³amanie Broni oburêcznej
DETAILS_BLOCK_PENETRATE_PCT	Przebicie bloku
DETAILS_CATE_1	Obra¿enia/Obrona
DETAILS_CATE_2	Bonusy ¿ywio³owe
DETAILS_CATE_3	Bonusy klasowe
DETAILS_CATE_4	Bonus broni
DETAILS_CATE_5	Inne bonusy
DETAILS_CATE_6	Bonusy specjalne
DETAILS_CONFUSION_TO_MOB	Zamieszanie
DETAILS_HIT_PCT	Precyzja
DETAILS_MYSTERY_DUNGEON	Si³a przeciwko tajemnicom
DETAILS_REFUSE_EXP	Nie otrzymuje punktów doœwiadczenia
DETAILS_RESIST_MOUNT_FALL	Odpornoœæ na Upadek
DETAILS_TITLE	Szczegó³y
DETAILS_TOOLTIP_0	Si³a w walce z kamieniami Metin: zadaje wiêksze obra¿enia kamieniom Metin
DETAILS_TOOLTIP_1	Si³a w walce z pó³ludŸmi: zadaje wiêcej obra¿eñ pó³ludziom.
DETAILS_TOOLTIP_2	Odpornoœæ na pó³ludzi: zmniejsza obra¿enia zadawane przez pó³ludzi.
DETAILS_TOOLTIP_3	Si³a w walce z orkami: zadaje wiêksze obra¿enia orkom.
DETAILS_TOOLTIP_4	Si³a w walce z nieumar³ymi: zadaje wiêksze obra¿enia nieumar³ym.
DETAILS_TOOLTIP_5	Si³a w walce z potworami: zadaje wiêksze obra¿enia potworom.
DETAILS_TOOLTIP_6	Si³a w walce z potworami Zodiaku: zadaje wiêksze obra¿enia potworom Zodiaku.
DETAILS_TOOLTIP_7	Si³a w walce ze zwierzêtami: zadaje wiêksze obra¿enia dzikim zwierzêtom.
DETAILS_TOOLTIP_8	Si³a w walce z mistykami: zadaje wiêksze obra¿enia mistykom.
DETAILS_TOOLTIP_9	Si³a w walce z diab³ami: zadaje wiêksze obra¿enia diab³om.
DETAILS_TOOLTIP_10	Si³a w walce z potworami pustyni: zadaje wiêksze obra¿enia potworom pustyni.
DETAILS_TOOLTIP_11	Si³a w walce z insektami: zadaje wiêksze obra¿enia insektom.
DETAILS_TOOLTIP_12	Zwiêksza twoj¹ si³ê ataku.
DETAILS_TOOLTIP_13	Zwiêksza twoj¹ si³ê obrony.
DETAILS_TOOLTIP_14	Zwiêksza przeciêtne obra¿enia, które zadajesz przeciwnikom podczas ataku
DETAILS_TOOLTIP_15	Odpornoœæ na przeciêtne obra¿enia: zmniejsza obra¿enia, które odnosisz podczas ataku.
DETAILS_TOOLTIP_16	Zwiêksza obra¿enia zadawane przez umiejêtnoœæ.
DETAILS_TOOLTIP_17	Odpornoœæ na obra¿enia umiejêtnoœci: zmniejsza obra¿enia, które odnosisz wskutek umiejêtnoœci.
DETAILS_TOOLTIP_18	Zwiêksza zarówno fizyczn¹ jak i magiczn¹ si³ê ataku.
DETAILS_TOOLTIP_19	Zwiêksza obra¿enia, które zadajesz przeciwnikom za pomoc¹ magicznych ataków.
DETAILS_TOOLTIP_20	Zwiêksza szansê na zadanie ciosu krytycznego.
DETAILS_TOOLTIP_21	Szansa na przeszywaj¹cy cios: zwiêksza szansê na zadanie przeszywaj¹cego ciosu.
DETAILS_TOOLTIP_22	Odpornoœæ na cios krytyczny: zmniejsza obra¿enia odnoszone wskutek ciosu krytycznego.
DETAILS_TOOLTIP_23	Odpornoœæ na przeszywaj¹cy cios: zmniejsza obra¿enia odnoszone wskutek przeszywaj¹cego ciosu.
DETAILS_TOOLTIP_24	Zmniejsza obra¿enia zadawane przez okreœlone potwory.
DETAILS_TOOLTIP_25	Zmniejsza obra¿enia zadawane przez okreœlone potwory.
DETAILS_TOOLTIP_26	Odpornoœæ na mrok: zmniejsza obra¿enia zadawane przez okreœlone potwory.
DETAILS_TOOLTIP_27	Zmniejsza obra¿enia zadawane przez okreœlone potwory.
DETAILS_TOOLTIP_28	Zmniejsza obra¿enia zadawane przez okreœlone potwory.
DETAILS_TOOLTIP_29	Zmniejsza obra¿enia zadawane przez okreœlone potwory.
DETAILS_TOOLTIP_30	Zwiêksza obra¿enia, które zadajesz za pomoc¹ b³yskawic.
DETAILS_TOOLTIP_31	Zwiêksza obra¿enia, które zadajesz za pomoc¹ lodu.
DETAILS_TOOLTIP_32	Zwiêksza obra¿enia, które zadajesz za pomoc¹ mroku.
DETAILS_TOOLTIP_33	Zwiêksza obra¿enia, które zadajesz za pomoc¹ ognia.
DETAILS_TOOLTIP_34	Zwiêksza obra¿enia, które zadajesz za pomoc¹ wiatru.
DETAILS_TOOLTIP_35	Zwiêksza obra¿enia, które zadajesz za pomoc¹ ziemi.
DETAILS_TOOLTIP_36	Si³a w walce z wojownikami: zadaje wiêksze obra¿enia wojownikom.
DETAILS_TOOLTIP_37	Si³a w walce z ninja: zadaje wiêksze obra¿enia ninja.
DETAILS_TOOLTIP_38	Si³a w walce z sura: zadaje wiêksze obra¿enia sura.
DETAILS_TOOLTIP_39	Si³a w walce z szamanami: zadaje wiêksze obra¿enia szamanom.
DETAILS_TOOLTIP_40	Si³a w walce z likanami: zadaje wiêksze obra¿enia likanom.
DETAILS_TOOLTIP_41	Odpornoœæ na Wojowników: zmniejsza obra¿enia, które odnosisz z rêki Wojowników.
DETAILS_TOOLTIP_42	Odpornoœæ na Ninja: zmniejsza obra¿enia, które odnosisz z rêki Ninja.
DETAILS_TOOLTIP_43	Odpornoœæ na Sura: zmniejsza obra¿enia, które odnosisz z rêki Sura.
DETAILS_TOOLTIP_44	Odpornoœæ na Szamanów: zmniejsza obra¿enia, które odnosisz z rêki Szamanów.
DETAILS_TOOLTIP_45	Odpornoœæ na Likanów: zmniejsza obra¿enia, które odnosisz z rêki Likanów.
DETAILS_TOOLTIP_46	Zmniejsza obra¿enia zadawane mieczem.
DETAILS_TOOLTIP_47	Zmniejsza obra¿enia zadawane broni¹ dwurêczn¹.
DETAILS_TOOLTIP_48	Zmniejsza obra¿enia zadawane sztyletem.
DETAILS_TOOLTIP_49	Zmniejsza obra¿enia zadawane szponem.
DETAILS_TOOLTIP_50	Zmniejsza obra¿enia zadawane dzwonem.
DETAILS_TOOLTIP_51	Zmniejsza obra¿enia zadawane wachlarzem.
DETAILS_TOOLTIP_52	Zmniejsza obra¿enia zadawane ³ukiem i strza³ami.
DETAILS_TOOLTIP_53	Zwiêksza szansê wywo³ania u przeciwnika efektu omdlenia.
DETAILS_TOOLTIP_54	Zwiêksza szansê na spowolnienie przeciwnika.
DETAILS_TOOLTIP_55	Zwiêksza szansê na zatrucie przeciwnika.
DETAILS_TOOLTIP_56	Zmniejsza obra¿enia zadawane trucizn¹.
DETAILS_TOOLTIP_57	Zwiêksza szansê na wykonanie ataku krwawienia.
DETAILS_TOOLTIP_58	Odpornoœæ na atak krwawienia: zmniejsza obra¿enia zadawane atakiem krwawienia.
DETAILS_TOOLTIP_59	Przy trafieniu absorbuje P¯ przeciwnika.
DETAILS_TOOLTIP_60	Przy trafieniu absorbuje PE przeciwnika.
DETAILS_TOOLTIP_61	Przyspiesza regeneracjê twoich punktów ¿ycia.
DETAILS_TOOLTIP_62	Przyspiesza regeneracjê twoich punktów energii.
DETAILS_TOOLTIP_63	Szansa na blok ciosów: zwiêksza szansê na unikniêcie ataku z krótkiego dystansu.
DETAILS_TOOLTIP_64	Szansa na unikniêcie strza³y: zwiêksza szansê na unikniêcie strza³y lub d³ugodystansowego ataku potwora.
DETAILS_TOOLTIP_65	Szansa na odbicie ciosu: czêœæ obra¿eñ od ciosu jest odbijana do przeciwnika.
DETAILS_TOOLTIP_66	Regeneracja P¯ przy zabiciu: zabicie przeciwnika podwy¿sza twoje punkty ¿ycia.
DETAILS_TOOLTIP_67	Regeneracja PE przy zabiciu: zabicie przeciwnika podwy¿sza twoje punkty energii.
DETAILS_TOOLTIP_68	Szansa na otrzymanie podwójnego doœwiadczenia: zwiêksza szansê na bonusowe PD po pokonaniu przeciwnika.
DETAILS_TOOLTIP_69	Szansa na drop podwójnej iloœci Yang: zwiêksza szansê na otrzymanie podwójnej iloœci Yang.
DETAILS_TOOLTIP_70	Szansa na drop przedmiotów: zwiêksza szansê na podwójny ³up przedmiotów.
DETAILS_TOOLTIP_71	Zwiêksza twoj¹ si³ê ataku.
DETAILS_TOOLTIP_72	Zwiêksza twoj¹ si³ê obrony.
DETAILS_TOOLTIP_73	Zwiêksza wzrost doœwiadczenia.
