ACCE_ABSORB_COST	Coûts de combi : %d
COMMUNITY_CANT_ACTION_TIMER	Réessayez plus tard.
COMMUNITY_CANT_ADD_BLOCK_ANYMORE	Vous ne pouvez plus bloquer de joueurs (%d au maximum).
COMMUNITY_CANT_ADD_FRIEND_ANYMORE	Vous ne pouvez pas avoir plus d'amis (%d au maximum).
COMMUNITY_CANT_ADD_FRIEND_SELF	Vous ne pouvez pas vous ajouter vous-même à votre liste d'amis.
COMMUNITY_CANT_ADD_GM	Vous ne pouvez pas ajouter de GM en tant qu'ami.
COMMUNITY_CANT_BLOCK_FAMILY	Vous ne pouvez pas bloquer votre époux.
COMMUNITY_CANT_BLOCK_FRIEND	Vous devez d'abord supprimer %s.
COMMUNITY_CANT_BLOCK_REQUEST_FRIEND	Vous ne pouvez pas bloquer quelqu'un à qui vous avez envoyé une demande d'amitié.
COMMUNITY_CANT_BLOCK_SELF	Vous ne pouvez pas vous bloquer vous-même.
COMMUNITY_CANT_REGISTER_NOT_INSURT	Vous ne pouvez pas utiliser de langage inapproprié.
COMMUNITY_CANT_REQUEST_BLOCKED_USER	Retirez d'abord le joueur de votre liste de blocage.
COMMUNITY_CANT_REQUEST_DUPLICATE	Merci de réessayer, car %s ne peut pas ajouter d'amis actuellement.
COMMUNITY_CANT_REQUEST_FRIEND_SELF	Vous ne pouvez pas vous ajouter vous-même à votre liste d'amis.
COMMUNITY_CANT_REQUEST_SAME_ACCOUNT	Vous ne pouvez pas ajouter de personnage de votre propre compte en tant qu'ami.
COMMUNITY_DELETE	Supprimer
COMMUNITY_DELETE_BLOCK	%s a été retiré de votre liste de blocage.
COMMUNITY_DELETE_BLOCK_FIRST	Retirez d'abord le joueur de votre liste de blocage.
COMMUNITY_DELETE_FRIEND	%s a été retiré de votre liste de liste d'amis.
COMMUNITY_DELETE_FRIEND_FIRST	Vous devez d'abord supprimer %s.
COMMUNITY_DELETE_REQUEST_LIST_FIRST	Retirez d'abord le joueur de vos demandes d'amitié.
COMMUNITY_INVALID_NAME	Ce pseudo est introuvable ou n'existe pas.
COMMUNITY_INVITE_PARTY	Vous avez envoyé une demande de groupe à %s.
COMMUNITY_LOGIN_MEMBER	%s est en ligne.
COMMUNITY_MEMBER_LEVEL	(Niveau %d)
COMMUNITY_REGISTER_COMMENT	Envoyer
COMMUNITY_REGISTER_COMPLETE	Vous avez publié un flux.
COMMUNITY_REQUESTED_ALREADY	Ce joueur est déjà dans votre liste de demandes.
COMMUNITY_REQUEST_ALARM_AT_LOGIN	Vous avez reçu une demande d'amitié. Allez jeter un œil dans la fenêtre de communauté.
COMMUNITY_REQUEST_FRIEND	%s vous a envoyé une demande d'amitié.
COMMUNITY_REQUEST_FRIEND_SUCCESS	Vous avez envoyé une demande d'amitié à %s.
COMMUNITY_REQUEST_LIST_OVER_MAX	Vous ne pouvez pas envoyer de demande d'amitié à %s car votre liste d'amis est pleine.
COMMUNITY_TARGET_BLOCKED_YOU	%s vous a bloqué.
COMMUNITY_TARGET_EXIST_REQUEST_LIST	Ce joueur est déjà dans votre liste de demandes.
COMMUNITY_TARGET_MAX_FRIEND_COUNT	La liste d'amis de %s est pleine. La demande ne peut être envoyée.
COMMUNITY_TARGET_REFUSE_REQUEST	%s a refusé votre demande d'amitié.
COMMUNITY_TARGET_REQUEST_FRIEND_BLOCK_MODE	Le joueur a bloqué votre demande d'amitié.
COMMUNITY_TARGET_RUNNING_QUEST	Le joueur ne peut pas accepter votre demande d'amitié pour le moment.
CRAFT_INTEGRATE_CRAFTING_QUESTION_1	Voulez-vous continuer ?
CRAFT_INTEGRATE_CRAFTING_QUESTION_2	Essayer d'améliorer %s %d fois.
CRAFT_INTEGRATE_CRAFTING_QUESTION_3	Chances de réussite : %d %%
CRAFT_INTEGRATE_CRAFTING_QUESTION_4	Cout : %s Yangs
CRAFT_INTEGRATE_DISMANTLE_ASK_AGAIN_1	Souhaitez-vous vraiment démonter ceci ?
CRAFT_INTEGRATE_DISMANTLE_ASK_AGAIN_2	Les objets démontés ne peuvent pas être restaurés.
CRAFT_INTEGRATE_DISMANTLE_ASK_AGAIN_3	Démonté : %s, %d
CRAFT_INTEGRATE_DISMANTLE_ASK_AGAIN_4	Résultats : %s, %s
CRAFT_INTEGRATE_DISMANTLE_ASK_ATTR_1	Ceci dispose de 3 attributs ou plus.
CRAFT_INTEGRATE_DISMANTLE_ASK_ATTR_2	Souhaitez-vous vraiment démonter ceci pour obtenir des fragments d'énergie ?
CRAFT_INTEGRATE_DISMANTLE_FAIL_ITEM_LIMIT_LEVEL	Seuls les objets à partir du niveau 35 peuvent être démontés.
CRAFT_INTEGRATE_DISMANTLE_FAIL_NOT_ALLOWED_UI_OPEN	Vous ne pouvez pas utiliser ceci pendant une autre action.
CRAFT_INTEGRATE_DISMANTLE_FAIL_PLAYER_LEVEL_NOT_ENOUGH	Disponible pour les personnages à partir du niveau 35.
CRAFT_INTEGRATE_DISMANTLE_FAIL_WRONG_BEHAVIOR	Cette action n'est pas permise.
CRAFT_INTEGRATE_DISMANTLE_FAIL_WRONG_ITEM	Cet objet ne peut pas être démonté.
CRAFT_INTEGRATE_DISMANTLE_ONLY_INVENTORY	Vous pouvez uniquement démonter des objets depuis votre inventaire.
CRAFT_INTEGRATE_GEM	Gayas
CRAFT_INTEGRATE_GEM_ICON_TOOLTIP	Gayas
CRAFT_INTEGRATE_GEM_RESULT_SLOT_TOOLTIP	GAYA
CRAFT_INTEGRATE_ITEM_COUNT	[%d]
CRAFT_INTEGRATE_ITEM_INFO	%s (%d %%)
CRAFT_INTEGRATE_MAX_BUTTON_TOOLTIP	MAX
CRAFT_INTEGRATE_MIN_BUTTON_TOOLTIP	MIN
CRAFT_INTEGRATE_ORE	Minerai
CRAFT_INTEGRATE_PET_CANNOT_FEED_CRAFT_OPEN	Vous ne pouvez pas l'utiliser pendant la fabrication.
CRAFT_INTEGRATE_RESULT_GUILD_BUILDING_ACCESS_CHANGED	L'utilisation de ce bâtiment est réservée aux membres de la guilde a qui appartient ce terrain.
CRAFT_INTEGRATE_RESULT_GUILD_BUILDING_CHANGED	Vous ne pouvez pas utiliser ce bâtiment, car il a été modifié. Merci de vérifier à nouveau.
CRAFT_INTEGRATE_RESULT_GUILD_USE_FEE_CHANGED	Les frais d'utilisation ont changé. Merci de vérifier à nouveau.
CRAFT_INTEGRATE_RESULT_ITEM_INFO	Obtention d'objet : %s - %d
CRAFT_INTEGRATE_RESULT_LACK_GEM	Vous n'avez pas assez de Gayas.
CRAFT_INTEGRATE_RESULT_LACK_MATERIAL	Vous n'avez pas assez de matériaux pour faire autant de tentatives.
CRAFT_INTEGRATE_RESULT_LACK_YANG	Vous n'avez pas assez de Yangs.
CRAFT_INTEGRATE_RESULT_NO_SPACE	Il n'y a pas assez de place dans votre inventaire.
CRAFT_INTEGRATE_RESULT_OVER_GEM_MAX	Vous avez déjà le nombre maximal de Gayas.
CRAFT_INTEGRATE_RESULT_TRY_INFO	%s résultats : %d réussites, %d échecs
CRAFT_INTEGRATE_RESULT_TRY_INFO_BIG_SUCCESS	%s résultats : %d réussites totales, %d réussites, %d échecs
CRAFT_INTEGRATE_SUCCESS_PCT	Chances de réussite : %d %%
CRAFT_INTEGRATE_TITLE_CUBE	Fabrication
CRAFT_INTEGRATE_TITLE_REFINE	Amélioration
CRAFT_INTEGRATE_TITLE_SMELT	Raffinage
CRAFT_INTEGRATE_YANG_ICON_TOOLTIP	Yang
CREATE_ERROR_GM_NAME	Vous n'êtes pas autorisé à utiliser ,GM dans le nom de votre personnage.
CREATE_ERROR_INSULT_NAME	Ce nom n'est pas valide.
CREATE_ERROR_LIMIT_LEVEL	Votre personnage doit être de niveau 80 minimum.
CREATE_ERROR_TIME_LIMIT	Vous pouvez créer un personnage toutes les 30 secondes.
CREATE_ERROR_WRONG_STRING	Ce nom de personnage n'est pas autorisé.
CREATE_EXIST_SAME_NAME	Un autre personnage porte déjà ce nom.
CREATE_FAILURE	Vous ne pouvez pas créer ce personnage.
CREATE_FULL	Vous ne pouvez pas créer de personnage supplémentaire.
CREATE_GM_NAME	GM
CREATE_INPUT_NAME	Entrez le nom
CREATE_PLUS_STAT	Il y a encore des points de caractéristiques restants.
CUBE_ALCHEMY_BANN_SIGN	C'est impossible pour l'instant.
CUBE_CATEGORY_ACCESSORY	Bijoux
CUBE_CATEGORY_ALCHEMY	Catalyse
CUBE_CATEGORY_ARMOR	Armure
CUBE_CATEGORY_ARMOR_GLOVE	Gants
CUBE_CATEGORY_BELT	Ceintures
CUBE_CATEGORY_ETC	Etc.
CUBE_CATEGORY_EVENT	Évènement
CUBE_CATEGORY_JOB	Classe
CUBE_CATEGORY_MAP	Cartes complètes
CUBE_CATEGORY_PET	Familier
CUBE_CATEGORY_SETADD_ARMOR	Fabriquer une armure de lot
CUBE_CATEGORY_SETADD_HELMET	Fabriquer un casque de lot
CUBE_CATEGORY_SETADD_WEAPON	Fabriquer une arme de lot
CUBE_CATEGORY_WEAPON	Arme
CUBE_CATEGOR_SKILL_BOOK	Livre de compétence
CUBE_DO_NOT_SAME_ALCHEMY_KINDS	Utilisez une catalyse de catégorie adaptée.
CUBE_FAIL	La fabrication a échoué.
CUBE_LIST_TEXT_ITEM_INFO	%s (%d %%)
CUBE_LIST_TEXT_MAKE_QUANTITY	[%d]
CUBE_MAKE_CONFIRM_QUESTION_1	Au moins un des objets utilisés est particulièrement précieux (il offre plus de %d bonus).
CUBE_MAKE_CONFIRM_QUESTION_2	Êtes-vous sûr de vouloir continuer ?
CUBE_NOT_ENOUGHT_ALCHEMY_COUNT	Pour en fabriquer, il vous faut d'abord ceci : %s.
CUBE_NOT_ENOUGH_GEM	Vous n'avez pas assez de Gayas.
CUBE_NOT_ENOUGH_GOLD	Vous n'avez pas assez de Yangs pour la fabrication.
CUBE_NOT_ENOUGH_MATERIAL	Pas assez de matériel pour la fabrication.
CUBE_PLEASE_SELECT	Aucun objet n'a été sélectionné.
CUBE_SELECT_ITEM_FIRST	Commencez par choisir un objet pour la fabrication.
CUBE_TOOLTIP_PASSIVE_JOB_LEFT_TIME	Temps restant : {0} à {1} heures
CUBE_USING_ALCHEMY_INFO	L'objet %s a été utilisé pour la fabrication (%dx unités).
CZ_REWARD_QUESTION_COMPLETE	Souhaitez-vous échanger ce champ ?
CZ_REWARD_TOOLTIP_10GAN	Insignes du zodiaque
CZ_REWARD_TOOLTIP_10GAN_COUNT	Nombre dans l'inventaire
CZ_REWARD_TOOLTIP_10GAN_NEED_COUNT	Nombre requis
CZ_REWARD_TOOLTIP_12ZI	Insignes de gardien
CZ_REWARD_TOOLTIP_12ZI_COUNT	Nombre dans l'inventaire
CZ_REWARD_TOOLTIP_12ZI_NEED_COUNT	Nombre requis
CZ_REWARD_TOOLTIP_ALL_BOX	Trésor d'étoile
CZ_REWARD_TOOLTIP_CAN_GET_ALL_BOX	Cliquez ici pour recevoir votre trésor d'étoile en récompense.
CZ_REWARD_TOOLTIP_CAN_GET_GREEN_BOX	Cliquez ici pour recevoir votre trésor d'aventurine en récompense.
CZ_REWARD_TOOLTIP_CAN_GET_YELLOW_BOX	Cliquez ici pour recevoir votre trésor d'auréoline en récompense.
CZ_REWARD_TOOLTIP_COMPLETABLE	Utiliser
CZ_REWARD_TOOLTIP_GREEN_BOX	Trésor d'aventurine
CZ_REWARD_TOOLTIP_GREEN_BOX_COMP_CNT	Trésors d'aventurine échangés : %d
CZ_REWARD_TOOLTIP_WEEKLY	Jour
CZ_REWARD_TOOLTIP_WEEKLY_FRI	Vendredi
CZ_REWARD_TOOLTIP_WEEKLY_MON	Lundi
CZ_REWARD_TOOLTIP_WEEKLY_SAT	Samedi
CZ_REWARD_TOOLTIP_WEEKLY_SAT_SUN	Samedi/dimanche
CZ_REWARD_TOOLTIP_WEEKLY_THU	Jeudi
CZ_REWARD_TOOLTIP_WEEKLY_TUE	Mardi
CZ_REWARD_TOOLTIP_WEEKLY_WED	Mercredi
CZ_REWARD_TOOLTIP_YELLOW_BOX	Trésor d'auréoline
CZ_REWARD_TOOLTIP_YELLOW_BOX_COMP_CNT	Trésors d'auréoline échangés : %d
DAY	j
DETAILS_0	Fort contre les pierres Metin
DETAILS_1	Force c. demi-hum.
DETAILS_2	Rés. c. demi-humains
DETAILS_3	Force c. orcs
DETAILS_4	Force c. m-vivants
DETAILS_5	Force c. monstres
DETAILS_6	Force c. m. zodiaque
DETAILS_7	Force c. animaux
DETAILS_8	Force c. mystiques
DETAILS_9	Force c. diable
DETAILS_10	Force c. m. désert
DETAILS_11	Force c. insectes
DETAILS_12	Valeur d'attaque
DETAILS_13	Valeur de défense
DETAILS_14	Dégâts moyens
DETAILS_15	Rés. dégâts moyens
DETAILS_16	Dégâts de compétence
DETAILS_17	Résist. dégâts compétence
DETAILS_18	Attaque de mêlée/mag
DETAILS_19	Attaque magique
DETAILS_20	Chance de coup crit.
DETAILS_21	Coup perçant
DETAILS_22	Rés. coup critique
DETAILS_23	Rés. coup perçant
DETAILS_24	Résistance foudre
DETAILS_25	Résistance glace
DETAILS_26	Rés. obscurité
DETAILS_27	Résistance feu
DETAILS_28	Résistance vent
DETAILS_29	Résistance terre
DETAILS_30	Pouvoir de la foudre
DETAILS_31	Pouvoir de la glace
DETAILS_32	Pouvoir des ténèbres
DETAILS_33	Pouvoir du feu
DETAILS_34	Pouvoir du vent
DETAILS_35	Pouvoir de la terre
DETAILS_36	Force c. Guerriers
DETAILS_37	Force c. Ninjas
DETAILS_38	Force c. Suras
DETAILS_39	Force c. Chamanes
DETAILS_40	Force c. Lycans
DETAILS_41	Déf. c. Guerriers
DETAILS_42	Déf. c. Ninjas
DETAILS_43	Déf. c. Suras
DETAILS_44	Déf. c. Chamanes
DETAILS_45	Déf. c. Lycans
DETAILS_46	Défense c. épée
DETAILS_47	Déf. c. deux mains
DETAILS_48	Défense c. dague
DETAILS_49	Défense c. griffes
DETAILS_50	Défense c. gong
DETAILS_51	Défense c. éventail
DETAILS_52	Défense c. flèches
DETAILS_53	Chance d'étourdir
DETAILS_54	Chance de ralentir
DETAILS_55	Chance d'empoisonner
DETAILS_56	Résistance poison
DETAILS_57	Attaque saignante
DETAILS_58	Rés. att. saignante
DETAILS_59	Vol de vie
DETAILS_60	Vol de PM
DETAILS_61	Restauration de PV
DETAILS_62	Restauration de PM
DETAILS_63	Bloquer une attaque
DETAILS_64	Éviter des flèches
DETAILS_65	R. d'att. de mêlée
DETAILS_66	Réc. de PV en tuant
DETAILS_67	Réc. de PM en tuant
DETAILS_68	Double d'EXP
DETAILS_69	Double de Yangs
DETAILS_70	Chance de butin
DETAILS_71	Valeur d'attaque
DETAILS_72	Défense
DETAILS_73	EXP
DETAILS_74	Chance de butin
DETAILS_75	Double de Yangs
DETAILS_76	Résistance magique
DETAILS_77	Anti-magie
DETAILS_78	Résist. aux monstres
DETAILS_79	Bonus d'attaque mag
DETAILS_ATTBONUS_BELL	Rupture de gong
DETAILS_ATTBONUS_BOW	Rupture de flèche
DETAILS_ATTBONUS_CLAW	Rupture de griffe
DETAILS_ATTBONUS_DAGGER	Rupture de dague
DETAILS_ATTBONUS_DRAGON	Force contre les dragons
DETAILS_ATTBONUS_FAN	Rupture d'éventail
DETAILS_ATTBONUS_MOON	Force c. monstres d'Ombrelune
DETAILS_ATTBONUS_SWORD	Rupture d'épée
DETAILS_ATTBONUS_TWOHAND	Rupture d'épée à deux mains
DETAILS_BLOCK_PENETRATE_PCT	Percée
DETAILS_CATE_1	Dégâts/Défense
DETAILS_CATE_2	Bonus élémentaires
DETAILS_CATE_3	Bonus de classe
DETAILS_CATE_4	Bonus d'arme
DETAILS_CATE_5	Autres bonus
DETAILS_CATE_6	Bonus spéciaux
DETAILS_CONFUSION_TO_MOB	Confusion
DETAILS_HIT_PCT	Précision
DETAILS_MYSTERY_DUNGEON	Force contre les mystères
DETAILS_REFUSE_EXP	Pas de points d'expérience
DETAILS_RESIST_MOUNT_FALL	Résistance aux chutes
DETAILS_TITLE	Détails
DETAILS_TOOLTIP_0	Fort contre les pierres Metin : infligez plus de dégâts aux pierres Metin.
DETAILS_TOOLTIP_1	Fort contre les demi-humains : les demi-humains subissent des dégâts plus importants.
DETAILS_TOOLTIP_2	Résistance contre les demi-humains : les dégâts infligés par les demi-humains sont réduits.
DETAILS_TOOLTIP_3	Fort contre les orcs : les orcs subissent des dégâts plus importants.
DETAILS_TOOLTIP_4	Fort contre les morts-vivants : les morts-vivants subissent des dégâts plus importants.
DETAILS_TOOLTIP_5	Fort contre les monstres : les monstres subissent des dégâts plus importants.
DETAILS_TOOLTIP_6	Fort contre les monstres du zodiaque : les monstres du zodiaque subissent des dégâts plus importants.
DETAILS_TOOLTIP_7	Fort contre les animaux : les animaux sauvages subissent des dégâts plus importants.
DETAILS_TOOLTIP_8	Fort contre les mystiques : les mystiques subissent des dégâts plus importants.
DETAILS_TOOLTIP_9	Fort contre le mal : les démons subissent des dégâts plus importants.
DETAILS_TOOLTIP_10	Fort contre les monstres du désert : les monstres du désert subissent des dégâts plus importants.
DETAILS_TOOLTIP_11	Fort contre les insectes : les insectes subissent des dégâts plus importants.
DETAILS_TOOLTIP_12	Votre valeur d'attaque augmente.
DETAILS_TOOLTIP_13	Votre valeur de défense augmente.
DETAILS_TOOLTIP_14	Les dégâts moyens infligés aux ennemis à chaque attaque augmentent.
DETAILS_TOOLTIP_15	Résistance contre les dégâts moyens : les dégâts subis pour chaque attaque sont diminués.
DETAILS_TOOLTIP_16	Les dégâts infligés par une compétence augmentent.
DETAILS_TOOLTIP_17	Résistance contre les dégâts de compétence : les dégâts que vous subissez à cause d'une compétence sont réduits.
DETAILS_TOOLTIP_18	Les valeurs d'attaque physique et magique augmentent.
DETAILS_TOOLTIP_19	Les dégâts infligés aux ennemis à chaque attaque magique augmentent.
DETAILS_TOOLTIP_20	La chance d'effectuer un coup critique augmente.
DETAILS_TOOLTIP_21	Chances de coup perçant : les chances d'infliger un coup perçant augmentent.
DETAILS_TOOLTIP_22	Résistance contre les coups critiques : les dégâts infligés par un coup critique sont réduits.
DETAILS_TOOLTIP_23	Résistance contre les coups perçants : les dégâts infligés par un coup perçant sont réduits.
DETAILS_TOOLTIP_24	Les dégâts infligés par certains monstres sont réduits.
DETAILS_TOOLTIP_25	Les dégâts infligés par certains monstres sont réduits.
DETAILS_TOOLTIP_26	Résistance contre l'obscurité : les dégâts infligés par certains monstres sont réduits.
DETAILS_TOOLTIP_27	Les dégâts infligés par certains monstres sont réduits.
DETAILS_TOOLTIP_28	Les dégâts infligés par certains monstres sont réduits.
DETAILS_TOOLTIP_29	Les dégâts infligés par certains monstres sont réduits.
DETAILS_TOOLTIP_30	Les dégâts que vous infligez grâce au pouvoir de la foudre augmentent.
DETAILS_TOOLTIP_31	Les dégâts que vous infligez grâce au pouvoir de la glace augmentent.
DETAILS_TOOLTIP_32	Les dégâts que vous infligez grâce au pouvoir des ténèbres augmentent.
DETAILS_TOOLTIP_33	Les dégâts que vous infligez grâce au pouvoir du feu augmentent.
DETAILS_TOOLTIP_34	Les dégâts que vous infligez grâce au pouvoir du vent augmentent.
DETAILS_TOOLTIP_35	Les dégâts que vous infligez grâce au pouvoir de la terre augmentent.
DETAILS_TOOLTIP_36	Fort contre les Guerriers : les Guerriers subissent des dégâts plus importants.
DETAILS_TOOLTIP_37	Fort contre les Ninjas : les Ninjas subissent des dégâts plus importants.
DETAILS_TOOLTIP_38	Fort contre les Suras : les Sura subissent des dégâts plus importants.
DETAILS_TOOLTIP_39	Fort contre les Chamanes : les Chamanes subissent des dégâts plus importants.
DETAILS_TOOLTIP_40	Fort contre les Lycans : les Lycans subissent des dégâts plus importants.
DETAILS_TOOLTIP_41	Chance de parer une attaque Guerrier : les dégâts infligés par des Guerriers sont réduits.
DETAILS_TOOLTIP_42	Chance de parer une attaque Ninja : les dégâts infligés par des Ninjas sont réduits.
DETAILS_TOOLTIP_43	Chance de parer une attaque Sura : les dégâts infligés par des Suras sont réduits.
DETAILS_TOOLTIP_44	Chance de parer une attaque Chamane : les dégâts infligés par des Chamanes sont réduits.
DETAILS_TOOLTIP_45	Chance de parer une attaque Lycan : les dégâts infligés par des Lycans sont réduits.
DETAILS_TOOLTIP_46	Les dégâts infligés par une épée sont réduits.
DETAILS_TOOLTIP_47	Les dégâts infligés par une arme à deux mains sont réduits.
DETAILS_TOOLTIP_48	Les dégâts infligés par une dague sont réduits.
DETAILS_TOOLTIP_49	Les dégâts infligés par une griffe sont réduits.
DETAILS_TOOLTIP_50	Les dégâts infligés par un gong sont réduits.
DETAILS_TOOLTIP_51	Les dégâts infligés par un éventail sont réduits.
DETAILS_TOOLTIP_52	Les dégâts infligés par un arc et des flèches sont réduits.
DETAILS_TOOLTIP_53	La chance d'étourdir un ennemi augmente.
DETAILS_TOOLTIP_54	La chance de ralentir un ennemi augmente.
DETAILS_TOOLTIP_55	La chance d'empoisonner un ennemi augmente.
DETAILS_TOOLTIP_56	Les dégâts infligés par le poison sont réduits.
DETAILS_TOOLTIP_57	La chance d'effectuer une attaque saignante augmente.
DETAILS_TOOLTIP_58	Résistance contre les attaques saignantes : les dégâts infligés par une attaque saignante sont réduits.
DETAILS_TOOLTIP_59	Des PV sont retirés à votre ennemi quand vous le touchez.
DETAILS_TOOLTIP_60	Des PM sont retirés à votre ennemi quand vous le touchez.
DETAILS_TOOLTIP_61	La régénération de vos points de vie est accélérée.
DETAILS_TOOLTIP_62	La régénération de vos points de mana est accélérée.
DETAILS_TOOLTIP_63	Chance de bloquer un coup au corps à corps : les chances d'esquiver une attaque au corps à corps augmentent.
DETAILS_TOOLTIP_64	Chance d'éviter les flèches : les chances d'esquiver une flèche ou une attaque à distance d'un monstre augmentent.
DETAILS_TOOLTIP_65	Chance de renvoyer une attaque au corps à corps : une partie des dégâts au corps à corps est renvoyée à l'ennemi.
DETAILS_TOOLTIP_66	Récupération de PV en tuant : si vous tuez un ennemi, vos points de vie augmentent.
DETAILS_TOOLTIP_67	Récupération de PM en tuant : si vous tuez un ennemi, vos points de mana augmentent.
DETAILS_TOOLTIP_68	Chance d'obtenir le double de points d'expérience : les chances d'obtenir un bonus d'EXP en éliminant un ennemi augmentent.
DETAILS_TOOLTIP_69	Chance d'abandonner le double de Yangs : vos chances d'obtenir un double montant de Yangs augmentent.
DETAILS_TOOLTIP_70	Chance d'abandonner des objets : vos chances d'obtenir le double d'objets augmentent.
DETAILS_TOOLTIP_71	Votre valeur d'attaque augmente.
DETAILS_TOOLTIP_72	Votre valeur de défense augmente.
DETAILS_TOOLTIP_73	Les gains d'expérience sont augmentés.
DETAILS_TOOLTIP_74	Chance d'obtenir des objets : vos chances d'obtenir des objets en butin augmentent.
DETAILS_TOOLTIP_75	Chance d'obtenir des Yangs : vos chances d'obtenir des Yangs en butin augmentent.
DETAILS_TOOLTIP_76	Les dégâts que vous subissez à chaque attaque magique sont réduits.
DETAILS_TOOLTIP_77	La résistance magique de votre ennemi est réduite.
DETAILS_TOOLTIP_78	Les dégâts infligés par des montres sont réduits.
DETAILS_TOOLTIP_79	L'attaque magique augmente.
DETAILS_TOOLTIP_ATTBONUS_BELL	Rupture de la défense contre le gong : la défense contre le gong de l'adversaire diminue.
DETAILS_TOOLTIP_ATTBONUS_BOW	Rupture de la défense contre les flèches : la défense contre les flèches de l'adversaire diminue.
DETAILS_TOOLTIP_ATTBONUS_CLAW	Rupture de la défense contre les griffes : la défense contre les griffes de l'adversaire diminue.
DETAILS_TOOLTIP_ATTBONUS_DAGGER	Rupture de la défense contre la dague : la défense contre la dague de l'adversaire diminue.
DETAILS_TOOLTIP_ATTBONUS_DRAGON	Les dragons subissent des dégâts accrus.
DETAILS_TOOLTIP_ATTBONUS_FAN	Rupture de la défense contre l'éventail : la défense contre l'éventail de l'adversaire diminue.
DETAILS_TOOLTIP_ATTBONUS_MOON	Les monstres d'Ombrelune subissent des dégâts accrus.
DETAILS_TOOLTIP_ATTBONUS_SWORD	Rupture de la défense contre l'épée : la défense contre l'épée de l'adversaire diminue.
DETAILS_TOOLTIP_ATTBONUS_TWOHAND	Rupture de la défense contre l'épée à deux mains : la défense contre l'épée à deux mains de l'adversaire diminue.
DETAILS_TOOLTIP_BLOCK_PENETRATE_PCT	Vous avez la possibilité d'infliger des dégâts indépendamment du blocage de l'adversaire (réservé au JcJ).
DETAILS_TOOLTIP_CONFUSION_TO_MOB	Ceci peut infliger la confusion aux monstres.
DETAILS_TOOLTIP_HIT_PCT	La chance de toucher un ennemi augmente.
DETAILS_TOOLTIP_MYSTERY_DUNGEON	Force contre les mystères : vous infligez des dégâts accrus aux monstres dans le Donjon mystérieux et l'Écho mystérieux.
DETAILS_TOOLTIP_REFUSE_EXP	Vous n'engrangez pas de points d'expérience.
DETAILS_TOOLTIP_RESIST_MOUNT_FALL	Résistance à la chute : la probabilité de chuter de votre monture diminue.
DONT_USE_ITEM_WHEN_SHOW_CONFIRM	Vous ne pouvez pas déplacer d'objets pendant une requête.
DO_NOT_INSERT_UPBRINGING_PET	Le familier actif ne peut pas être sélectionné.
DO_YOU_BUY_ITEM1	Voulez-vous acheter %s pour %s Yangs ?
DO_YOU_BUY_ITEM2	Voulez-vous acheter %s (%s unités) pour %s Yangs ?
DO_YOU_BUY_ITEM3	Souhaitez-vous acheter %s pour %s Wons et %s Yangs ?
DO_YOU_BUY_ITEM4	Souhaitez-vous acheter %s (%s unités) pour %s Wons et %s Yangs ?
