ACCE_ABSORB_COST	Costo combinazione: %d
COMMUNITY_CANT_ADD_GM	Non puoi aggiungere dei GM ai tuoi amici.
COMMUNITY_CANT_BLOCK_FAMILY	Non puoi bloccare il tuo coniuge.
COMMUNITY_CANT_BLOCK_FRIEND	Prima devi eliminare %s.
COMMUNITY_CANT_BLOCK_REQUEST_FRIEND	Non puoi bloccare qualcuno a cui hai inviato una richiesta d'amicizia.
COMMUNITY_CANT_BLOCK_SELF	Non puoi bloccare te stesso.
COMMUNITY_CANT_REGISTER_NOT_INSURT	Non puoi utilizzare espressioni inappropriate.
COMMUNITY_CANT_REQUEST_BLOCKED_USER	Prima è necessario rimuovere il giocatore dalla lista di blocco.
COMMUNITY_CANT_REQUEST_DUPLICATE	Riprova di nuovo, perché %s al momento non può aggiungere amici.
COMMUNITY_CANT_REQUEST_FRIEND_SELF	Non puoi aggiungerti alla tua lista amici.
COMMUNITY_CANT_REQUEST_SAME_ACCOUNT	Non puoi aggiungere agli amici un personaggio associato al tuo account.
COMMUNITY_DELETE	Elimina
COMMUNITY_DELETE_BLOCK	Hai rimosso %s dalla lista di blocco.
COMMUNITY_DELETE_BLOCK_FIRST	Prima è necessario rimuovere il giocatore dalla lista di blocco.
COMMUNITY_DELETE_FRIEND	Hai rimosso %s dalla lista amici.
COMMUNITY_DELETE_FRIEND_FIRST	Prima devi eliminare %s.
COMMUNITY_DELETE_REQUEST_LIST_FIRST	Prima è necessario rimuovere il giocatore dalle richieste d'amicizia.
COMMUNITY_INVALID_NAME	Il nome non è stato trovato o non esiste.
COMMUNITY_INVITE_PARTY	Hai inviato una richiesta Gruppo a %s.
COMMUNITY_LOGIN_MEMBER	%s è online.
COMMUNITY_MEMBER_LEVEL	(Liv. %d)
COMMUNITY_REGISTER_COMMENT	Invia
COMMUNITY_REGISTER_COMPLETE	Hai pubblicato il tuo feed.
COMMUNITY_REQUESTED_ALREADY	Questo giocatore è già nella tua lista di richieste.
COMMUNITY_REQUEST_ALARM_AT_LOGIN	Hai ricevuto una richiesta d'amicizia. Controlla la finestra Community.
COMMUNITY_REQUEST_FRIEND	%s ti ha inviato una richiesta d'amicizia.
COMMUNITY_REQUEST_FRIEND_SUCCESS	Hai inviato una richiesta d'amicizia a %s.
COMMUNITY_REQUEST_LIST_OVER_MAX	Non puoi inviare una richiesta d'amicizia a %s perché la tua lista amici è piena.
COMMUNITY_TARGET_BLOCKED_YOU	%s ti ha bloccato.
COMMUNITY_TARGET_EXIST_REQUEST_LIST	Questo giocatore è già nella tua lista di richieste.
COMMUNITY_TARGET_MAX_FRIEND_COUNT	La Lista amici di %s è piena. Non è stato possibile inviare la richiesta.
COMMUNITY_TARGET_REFUSE_REQUEST	%s ha rifiutato la tua richiesta d'amicizia.
COMMUNITY_TARGET_REQUEST_FRIEND_BLOCK_MODE	Il giocatore ha bloccato la tua richiesta d'amicizia.
COMMUNITY_TARGET_RUNNING_QUEST	Al momento il giocatore non può accettare la tua richiesta d'amicizia.
CRAFT_INTEGRATE_CRAFTING_QUESTION_1	Vuoi continuare?
CRAFT_INTEGRATE_CRAFTING_QUESTION_2	Tenta di migliorare %s %d volta/e.
CRAFT_INTEGRATE_CRAFTING_QUESTION_3	Probabilità di successo: %d%%
CRAFT_INTEGRATE_CRAFTING_QUESTION_4	Costi: %s Yang
CRAFT_INTEGRATE_DISMANTLE_ASK_AGAIN_1	Vuoi davvero scomporlo?
CRAFT_INTEGRATE_DISMANTLE_ASK_AGAIN_2	Gli oggetti scomposti non possono essere ripristinati.
CRAFT_INTEGRATE_DISMANTLE_ASK_AGAIN_3	Scomposti: %s, %d
CRAFT_INTEGRATE_DISMANTLE_ASK_AGAIN_4	Risultati: %s, %s
CRAFT_INTEGRATE_DISMANTLE_ASK_ATTR_1	Questo possiede 3 o più caratteristiche.
CRAFT_INTEGRATE_DISMANTLE_ASK_ATTR_2	Vuoi davvero scomporre le Scaglie di energia?
CRAFT_INTEGRATE_DISMANTLE_FAIL_ITEM_LIMIT_LEVEL	È possibile scomporre solo oggetti di livello 35 o superiore.
CRAFT_INTEGRATE_DISMANTLE_FAIL_NOT_ALLOWED_UI_OPEN	Non si può usare mentre si sta eseguendo un'altra azione.
CRAFT_INTEGRATE_DISMANTLE_FAIL_PLAYER_LEVEL_NOT_ENOUGH	Disponibile per i personaggi di livello 35 o superiore.
CRAFT_INTEGRATE_DISMANTLE_FAIL_WRONG_BEHAVIOR	Questa azione non è consentita.
CRAFT_INTEGRATE_DISMANTLE_FAIL_WRONG_ITEM	Questo oggetto non si può scomporre.
CRAFT_INTEGRATE_DISMANTLE_ONLY_INVENTORY	Puoi scomporre solo gli oggetti presenti nel tuo inventario.
CRAFT_INTEGRATE_GEM	Gaya
CRAFT_INTEGRATE_GEM_ICON_TOOLTIP	Gaya
CRAFT_INTEGRATE_GEM_RESULT_SLOT_TOOLTIP	GAYA
CRAFT_INTEGRATE_ITEM_COUNT	[%d]
CRAFT_INTEGRATE_ITEM_INFO	%s (%d%%)
CRAFT_INTEGRATE_MAX_BUTTON_TOOLTIP	MAX
CRAFT_INTEGRATE_MIN_BUTTON_TOOLTIP	MIN
CRAFT_INTEGRATE_ORE	Minerale
CRAFT_INTEGRATE_PET_CANNOT_FEED_CRAFT_OPEN	Non si può usare durante la produzione.
CRAFT_INTEGRATE_RESULT_GUILD_BUILDING_ACCESS_CHANGED	Questa struttura può essere utilizzata solo dai membri della gilda proprietaria di quel territorio.
CRAFT_INTEGRATE_RESULT_GUILD_BUILDING_CHANGED	Questo edificio è in fase di ristrutturazione e pertanto non è utilizzabile. Ricontrolla.
CRAFT_INTEGRATE_RESULT_GUILD_USE_FEE_CHANGED	I costi di utilizzo sono cambiati. Ricontrolla.
CRAFT_INTEGRATE_RESULT_ITEM_INFO	Oggetto ricevuto: %s - %d
CRAFT_INTEGRATE_RESULT_LACK_GEM	Non hai abbastanza Gaya.
CRAFT_INTEGRATE_RESULT_LACK_MATERIAL	Non puoi fare così tanti tentativi perché ti mancano i materiali.
CRAFT_INTEGRATE_RESULT_LACK_YANG	Non hai abbastanza Yang.
CRAFT_INTEGRATE_RESULT_NO_SPACE	Non hai abbastanza spazio nell'inventario.
CRAFT_INTEGRATE_RESULT_OVER_GEM_MAX	Possiedi già il quantitativo massimo di Gaya.
CRAFT_INTEGRATE_RESULT_TRY_INFO	%s Risultati: %d successi, %d fallimenti
CRAFT_INTEGRATE_RESULT_TRY_INFO_BIG_SUCCESS	%s Risultati: %d successi completi, %d successi, %d fallimenti
CRAFT_INTEGRATE_SUCCESS_PCT	Probabilità di successo: %d%%
CRAFT_INTEGRATE_TITLE_CUBE	Produzione
CRAFT_INTEGRATE_TITLE_REFINE	Miglioramento
CRAFT_INTEGRATE_TITLE_SMELT	Raffinamento
CRAFT_INTEGRATE_YANG_ICON_TOOLTIP	Yang
CREATE_ERROR_GM_NAME	Nel nome del personaggio non puoi usare ,GM‘.
CREATE_ERROR_INSULT_NAME	Questo nome non è consentito.
CREATE_ERROR_LIMIT_LEVEL	Il tuo personaggio deve aver raggiunto almeno il livello 80.
CREATE_ERROR_TIME_LIMIT	Puoi solo creare un personaggio ogni 30 secondi.
CREATE_ERROR_WRONG_STRING	Non puoi utilizzare questo nome.
CREATE_EXIST_SAME_NAME	Questo nome è usato da un altro personaggio.
CREATE_FAILURE	Non puoi creare il personaggio.
CREATE_FULL	Non puoi più creare alcun personaggio.
CREATE_GM_NAME	GM
CREATE_INPUT_NAME	Inserisci il nome.
CREATE_PLUS_STAT	Ci sono ancora punti status disponibili.
CUBE_ALCHEMY_BANN_SIGN	Ora non puoi farlo.
CUBE_CATEGORY_ACCESSORY	Gioielli
CUBE_CATEGORY_ALCHEMY	RunaFabbro
CUBE_CATEGORY_ARMOR	Armatura
CUBE_CATEGORY_ARMOR_GLOVE	Guanti
CUBE_CATEGORY_BELT	Cintura
CUBE_CATEGORY_ETC	Etc.
CUBE_CATEGORY_EVENT	Evento
CUBE_CATEGORY_JOB	Classe
CUBE_CATEGORY_MAP	Mappe complete
CUBE_CATEGORY_PET	Pet
CUBE_CATEGORY_SETADD_ARMOR	Crea armatura set
CUBE_CATEGORY_SETADD_HELMET	Crea elmo set
CUBE_CATEGORY_SETADD_WEAPON	Crea arma set
CUBE_CATEGORY_WEAPON	Arma
CUBE_CATEGOR_SKILL_BOOK	Libro delle abilità
CUBE_DO_NOT_SAME_ALCHEMY_KINDS	Usa una RunaFabbro adeguata.
CUBE_FAIL	La creazione non è andata a buon fine.
CUBE_LIST_TEXT_ITEM_INFO	%s ( %d%% )
CUBE_LIST_TEXT_MAKE_QUANTITY	[%d]
CUBE_MAKE_CONFIRM_QUESTION_1	Almeno uno degli item utilizzati è particolarmente prezioso (possiede più di %d bonus).
CUBE_MAKE_CONFIRM_QUESTION_2	Vuoi davvero continuare?
CUBE_NOT_ENOUGHT_ALCHEMY_COUNT	Non hai %s. Quindi non puoi creare l'oggetto.
CUBE_NOT_ENOUGH_GEM	Non hai abbastanza Gaya.
CUBE_NOT_ENOUGH_GOLD	Non hai abbastanza Yang per la produzione.
CUBE_NOT_ENOUGH_MATERIAL	Non hai materiale a sufficienza per la produzione.
CUBE_PLEASE_SELECT	Non è stato selezionato alcun oggetto.
CUBE_SELECT_ITEM_FIRST	Innanzitutto seleziona un articolo da realizzare.
CUBE_TOOLTIP_PASSIVE_JOB_LEFT_TIME	Tempo rimanente: {0} ~ {1} ore
CUBE_USING_ALCHEMY_INFO	%s è stato utilizzato per eseguire la realizzazione (%d unità).
CZ_REWARD_QUESTION_COMPLETE	Vorresti avere questa cavalcatura?
CZ_REWARD_TOOLTIP_10GAN	Insegne Zodiaco
CZ_REWARD_TOOLTIP_10GAN_COUNT	Quantità presente nell'inventario
CZ_REWARD_TOOLTIP_10GAN_NEED_COUNT	Quantità necessaria
CZ_REWARD_TOOLTIP_12ZI	Insegne del guardiano
CZ_REWARD_TOOLTIP_12ZI_COUNT	Quantità presente nell'inventario
CZ_REWARD_TOOLTIP_12ZI_NEED_COUNT	Quantità necessaria
CZ_REWARD_TOOLTIP_ALL_BOX	Tesoro stellare
CZ_REWARD_TOOLTIP_CAN_GET_ALL_BOX	Clicca qui per ritirare la tua ricompensa, il Tesoro stellare.
CZ_REWARD_TOOLTIP_CAN_GET_GREEN_BOX	Clicca qui per ritirare la tua ricompensa, il Tesoro Aventurina.
CZ_REWARD_TOOLTIP_CAN_GET_YELLOW_BOX	Clicca qui per ritirare la tua ricompensa, il Tesoro Aureolina.
CZ_REWARD_TOOLTIP_COMPLETABLE	Riscuoti
CZ_REWARD_TOOLTIP_GREEN_BOX	Tesoro Aventurina
CZ_REWARD_TOOLTIP_GREEN_BOX_COMP_CNT	Tesori Aventurina ritirati: %d
CZ_REWARD_TOOLTIP_WEEKLY	Giorno
CZ_REWARD_TOOLTIP_WEEKLY_FRI	Venerdì
CZ_REWARD_TOOLTIP_WEEKLY_MON	Lunedì
CZ_REWARD_TOOLTIP_WEEKLY_SAT	Sabato
CZ_REWARD_TOOLTIP_WEEKLY_SAT_SUN	Sabato/Domenica
CZ_REWARD_TOOLTIP_WEEKLY_THU	Giovedì
CZ_REWARD_TOOLTIP_WEEKLY_TUE	Martedì
CZ_REWARD_TOOLTIP_WEEKLY_WED	Mercoledì
CZ_REWARD_TOOLTIP_YELLOW_BOX	Tesoro Aureolina
CZ_REWARD_TOOLTIP_YELLOW_BOX_COMP_CNT	Tesori Aureolina ritirati: %d
DAY	g
DETAILS_0	Forte contro Metin
DETAILS_1	Forte vs Mezziuomini
DETAILS_2	Res. vs Mezziuomini
DETAILS_3	Forte vs orchi
DETAILS_4	Forte vs zombie
DETAILS_5	Forte vs mostri
DETAILS_6	Forte vs mostri Zod.
DETAILS_7	Forte vs animali
DETAILS_8	Forte vs esoterici
DETAILS_9	Forte vs diavolo
DETAILS_10	Forte vs mostri des.
DETAILS_11	Forte vs insetti
DETAILS_12	Valore d'attacco
DETAILS_13	Valore di difesa
DETAILS_14	Danno medio
DETAILS_15	Res. danno medio
DETAILS_16	Danni abilità
DETAILS_17	Resistenza danni abilità
DETAILS_18	Att. magico/C. a C.
DETAILS_19	Attacco magico
DETAILS_20	Prob. colpo critico
DETAILS_21	Colpo trafiggente
DETAILS_22	Res. colpo critico
DETAILS_23	Res. colpo trafigg.
DETAILS_24	Resistenza lampo
DETAILS_25	Resistenza ghiaccio
DETAILS_26	Res. oscurità
DETAILS_27	Resistenza fuoco
DETAILS_28	Resistenza vento
DETAILS_29	Resistenza terra
DETAILS_30	Forza del fulmine
DETAILS_31	Forza del ghiaccio
DETAILS_32	Forza dell'oscurità
DETAILS_33	Forza del fuoco
DETAILS_34	Forza del vento
DETAILS_35	Forza della terra
DETAILS_36	Forte vs guerrieri
DETAILS_37	Forte vs ninja
DETAILS_38	Forte vs sura
DETAILS_39	Forte vs shamani
DETAILS_40	Forte vs lican
DETAILS_41	Difesa dai guerrieri
DETAILS_42	Difesa dai ninja
DETAILS_43	Difesa dai sura
DETAILS_44	Dif. dagli shamani
DETAILS_45	Difesa dai lican
DETAILS_46	Difesa spada
DETAILS_47	Difesa spadone
DETAILS_48	Difesa pugnale
DETAILS_49	Difesa artigli
DETAILS_50	Difesa campana
DETAILS_51	Difesa ventaglio
DETAILS_52	Difesa freccia
DETAILS_53	Prob. svenimento
DETAILS_54	Prob. rallentamento
DETAILS_55	Prob. avvelenamento
DETAILS_56	Res. avvelenamento
DETAILS_57	Attacco sanguinante
DETAILS_58	Res. attacco sang.
DETAILS_59	Furto HP
DETAILS_60	Furto MP
DETAILS_61	Ripristino HP
DETAILS_62	Ripristino MP
DETAILS_63	Blocca attacco
DETAILS_64	Schiva frecce
DETAILS_65	Rifless. att. corp.
DETAILS_66	Ripr. HP (uccisione)
DETAILS_67	Ripr. MP (uccisione)
DETAILS_68	EXP doppia
DETAILS_69	Yang doppi
DETAILS_70	Prob. di drop
DETAILS_71	Valore d'attacco
DETAILS_72	Difesa
DETAILS_73	EXP
DETAILS_74	Prob. di drop
DETAILS_75	Yang doppi
DETAILS_76	Resistenza magia
DETAILS_77	Anti-magia
DETAILS_78	Resistenza vs mostri
DETAILS_79	Bonus attacco magico
DETAILS_ATTBONUS_BELL	Rottura della campana
DETAILS_ATTBONUS_BOW	Rottura della freccia
DETAILS_ATTBONUS_CLAW	Rottura dell'artiglio
DETAILS_ATTBONUS_DAGGER	Rottura del pugnale
DETAILS_ATTBONUS_DRAGON	Forte contro draghi
DETAILS_ATTBONUS_FAN	Rottura del ventaglio
DETAILS_ATTBONUS_MOON	Forte vs Mostri Ombra di luna
DETAILS_ATTBONUS_SWORD	Rottura della spada
DETAILS_ATTBONUS_TWOHAND	Rottura dello spadone
DETAILS_BLOCK_PENETRATE_PCT	Penetrazione del blocco
DETAILS_CATE_1	Danno/Difesa
DETAILS_CATE_2	Bonus elementali
DETAILS_CATE_3	Bonus classe
DETAILS_CATE_4	Bonus armi
DETAILS_CATE_5	Altri bonus
DETAILS_CATE_6	Bonus speciali
DETAILS_CONFUSION_TO_MOB	Confusione
DETAILS_HIT_PCT	Precisione
DETAILS_MYSTERY_DUNGEON	Forte vs Misteri
DETAILS_REFUSE_EXP	Non riceve punti esperienza
DETAILS_RESIST_MOUNT_FALL	Resistenza alla caduta
DETAILS_TITLE	Dettagli
DETAILS_TOOLTIP_0	Forte contro Rocce Metin: infligge una maggiore quantità di danni alle Rocce Metin.
DETAILS_TOOLTIP_1	Forte vs Mezziuomini: infligge ingenti danni ai Mezziuomini
DETAILS_TOOLTIP_2	Resistenza ai Mezziuomini: riduce il danno che viene inflitto dai Mezziuomini.
DETAILS_TOOLTIP_3	Forza contro Orchi: infligge una maggiore quantità di danni agli Orchi.
DETAILS_TOOLTIP_4	Forte contro gli Zombie: infligge una maggiore quantità di danni agli Zombie.
DETAILS_TOOLTIP_5	Forza vs mostri: infligge una maggiore quantità di danni ai mostri.
DETAILS_TOOLTIP_6	Forte contro i mostri dello zodiaco: infligge una maggiore quantità di danni ai mostri Zodiaco.
DETAILS_TOOLTIP_7	Forte contro gli animali: infligge una maggiore quantità di danni agli animali selvatici.
DETAILS_TOOLTIP_8	Forte contro gli esoterici: infligge una maggiore quantità di danni agli esoterici.
DETAILS_TOOLTIP_9	Forte contro i diavoli: infligge una maggiore quantità di danni ai diavoli.
DETAILS_TOOLTIP_10	Forte contro i mostri del deserto: infligge una maggiore quantità di danni ai mostri del deserto.
DETAILS_TOOLTIP_11	Forte contro insetti: infligge una maggiore quantità di danni agli insetti.
DETAILS_TOOLTIP_12	Incrementa il tuo valore d'attacco.
DETAILS_TOOLTIP_13	Incrementa il tuo valore di difesa
DETAILS_TOOLTIP_14	Aumenta il danno medio che infliggi agli avversari quando li attacchi.
DETAILS_TOOLTIP_15	Resistenza al danno medio: riduce i danni che subisci in un attacco.
DETAILS_TOOLTIP_16	Aumenta i danni provocati da un'abilità.
DETAILS_TOOLTIP_17	Resistenza ai danni abilità: riduce il danno da abilità che subisci.
DETAILS_TOOLTIP_18	Aumenta il valore d'attacco corporale e magico.
DETAILS_TOOLTIP_19	Aumenta il danno che infliggi agli avversari tramite attacco magico.
DETAILS_TOOLTIP_20	Aumenta la probabilità di mettere a segno un colpo critico.
DETAILS_TOOLTIP_21	Probabilità di colpo trafiggente: aumenta la probabilità di mettere a segno un colpo trafiggente.
DETAILS_TOOLTIP_22	Resistenza ai colpi critici: riduce il danno che viene inflitto dai colpi critici.
DETAILS_TOOLTIP_23	Resistenza ai colpi trafiggenti: riduce il danno che viene inflitto dai colpi trafiggenti.
DETAILS_TOOLTIP_24	Riduce il danno che viene inflitto da determinati mostri.
DETAILS_TOOLTIP_25	Riduce il danno che viene inflitto da determinati mostri.
DETAILS_TOOLTIP_26	Resistenza all'oscurità: riduce il danno che viene inflitto da determinati mostri.
DETAILS_TOOLTIP_27	Riduce il danno che viene inflitto da determinati mostri.
DETAILS_TOOLTIP_28	Riduce il danno che viene inflitto da determinati mostri.
DETAILS_TOOLTIP_29	Riduce il danno che viene inflitto da determinati mostri.
DETAILS_TOOLTIP_30	Incrementa il danno che provochi tramite la forza del fulmine.
DETAILS_TOOLTIP_31	Incrementa il danno che provochi tramite la forza del ghiaccio.
DETAILS_TOOLTIP_32	Incrementa il danno che provochi tramite la forza dell'oscurità.
DETAILS_TOOLTIP_33	Incrementa il danno che provochi tramite la forza del fuoco.
DETAILS_TOOLTIP_34	Incrementa il danno che provochi tramite la forza del vento.
DETAILS_TOOLTIP_35	Incrementa il danno che provochi tramite la forza della terra.
DETAILS_TOOLTIP_36	Forte contro i guerrieri: infligge una maggiore quantità di danni ai guerrieri.
DETAILS_TOOLTIP_37	Forte contro i ninja: infligge una maggiore quantità di danni ai ninja.
DETAILS_TOOLTIP_38	Forte contro i sura: infligge una maggiore quantità di danni ai sura.
DETAILS_TOOLTIP_39	Forte contro gli shamani: infligge una maggiore quantità di danni agli shamani.
DETAILS_TOOLTIP_40	Forte contro i lican: infligge una maggiore quantità di danni ai lican.
DETAILS_TOOLTIP_41	Probabilità di difesa dagli attacchi dei guerrieri: riduce il danno che viene inflitto dai guerrieri.
DETAILS_TOOLTIP_42	Probabilità di difesa dagli attacchi dei ninja: riduce il danno che viene inflitto dai ninja.
DETAILS_TOOLTIP_43	Probabilità di difesa dagli attacchi dei sura: riduce il danno che viene inflitto dai sura.
DETAILS_TOOLTIP_44	Probabilità di difesa dagli attacchi degli shamani: riduce il danno che viene inflitto dagli shamani.
DETAILS_TOOLTIP_45	Probabilità di difesa dagli attacchi dei lican: riduce il danno che viene inflitto dai lican.
DETAILS_TOOLTIP_46	Riduce il danno che viene inflitto da una spada.
DETAILS_TOOLTIP_47	Riduce il danno che viene inflitto da un'arma a due mani.
DETAILS_TOOLTIP_48	Riduce il danno che viene inflitto da un pugnale.
DETAILS_TOOLTIP_49	Riduce il danno che viene inflitto da un artiglio.
DETAILS_TOOLTIP_50	Riduce il danno che viene inflitto da una campana.
DETAILS_TOOLTIP_51	Riduce il danno che viene inflitto da un ventaglio.
DETAILS_TOOLTIP_52	Riduce il danno che viene inflitto da una freccia e da un arco.
DETAILS_TOOLTIP_53	Aumenta la probabilità di far svenire un avversario.
DETAILS_TOOLTIP_54	Aumenta la probabilità di rallentare un avversario.
DETAILS_TOOLTIP_55	Aumenta la probabilità di avvelenare un avversario.
DETAILS_TOOLTIP_56	Riduce il danno che viene inflitto da un veleno.
DETAILS_TOOLTIP_57	Aumenta la probabilità di mettere a segno un attacco sanguinante.
DETAILS_TOOLTIP_58	Resistenza all'attacco sanguinante: riduce il danno che viene inflitto da un attacco sanguinante.
DETAILS_TOOLTIP_59	Quando colpisci il tuo avversario, gli sottrae HP.
DETAILS_TOOLTIP_60	Quando colpisci il tuo avversario, gli sottrae MP.
DETAILS_TOOLTIP_61	Accelera la rigenerazione dei tuoi punti vita.
DETAILS_TOOLTIP_62	Accelera la rigenerazione dei tuoi punti mana.
DETAILS_TOOLTIP_63	Probabilità di bloccare attacchi nella lotta corpo a corpo: aumenta la probabilità di schivare un attacco corpo a corpo.
DETAILS_TOOLTIP_64	Probabilità di schivare frecce: aumenta la probabilità di schivare l'attacco, a distanza o con frecce, di un mostro.
DETAILS_TOOLTIP_65	Probabilità di riflettere un colpo nella lotta corpo a corpo: una parte del danno della lotta corpo a corpo viene restituito all'avversario.
DETAILS_TOOLTIP_66	Ripristino HP quando si uccide: quando uccidi un avversario, i tuoi punti vita aumentano.
DETAILS_TOOLTIP_67	Ripristino MP quando si uccide: quando uccidi un avversario, i tuoi punti mana aumentano.
DETAILS_TOOLTIP_68	Probabilità di ricevere esperienza doppia: aumenta la probabilità di ricevere un bonus EXP quando hai sconfitto un avversario.
DETAILS_TOOLTIP_69	Probabilità di droppare il doppio degli Yang: aumenta la tua probabilità di ricevere il doppio degli Yang.
DETAILS_TOOLTIP_70	Probabilità di droppare oggetti: aumenta la probabilità di ottenere il doppio degli oggetti.
DETAILS_TOOLTIP_71	Incrementa il tuo valore d'attacco.
DETAILS_TOOLTIP_72	Incrementa il tuo valore di difesa
DETAILS_TOOLTIP_73	Aumenta la raccolta di esperienza.
DETAILS_TOOLTIP_74	Probabilità di droppare oggetti: raddoppia la tua probabilità di ottenere oggetti.
DETAILS_TOOLTIP_75	Probabilità di droppare Yang: incrementa la tua probabilità di ottenere più Yang.
DETAILS_TOOLTIP_76	Riduce il danno che subisci tramite attacco magico.
DETAILS_TOOLTIP_77	Riduce la resistenza magia del tuo avversario.
DETAILS_TOOLTIP_78	Riduce il danno inflitto dai mostri.
DETAILS_TOOLTIP_79	Incrementa il valore di attacco magico.
DETAILS_TOOLTIP_ATTBONUS_BELL	Interruzione della difesa campana: riduce la difesa campana dell'avversario.
DETAILS_TOOLTIP_ATTBONUS_BOW	Interruzione della difesa freccia: riduce la difesa freccia dell'avversario.
DETAILS_TOOLTIP_ATTBONUS_CLAW	Interruzione della difesa artigli: riduce la difesa artigli dell'avversario.
DETAILS_TOOLTIP_ATTBONUS_DAGGER	Interruzione della difesa pugnale: riduce la difesa pugnale dell'avversario.
DETAILS_TOOLTIP_ATTBONUS_DRAGON	Infligge danni maggiori ai draghi.
DETAILS_TOOLTIP_ATTBONUS_FAN	Interruzione della difesa ventaglio: riduce la difesa ventaglio dell'avversario.
DETAILS_TOOLTIP_ATTBONUS_MOON	Infligge danni maggiori ai Mostri Ombra di Luna.
DETAILS_TOOLTIP_ATTBONUS_SWORD	Interruzione della difesa spada: riduce la difesa spada dell'avversario.
DETAILS_TOOLTIP_ATTBONUS_TWOHAND	Interruzione della difesa spadone: riduce la difesa spadone dell'avversario.
DETAILS_TOOLTIP_BLOCK_PENETRATE_PCT	Hai la possibilità di infliggere danni indipendentemente dal blocco dell'avversario (solo nel PvP).
DETAILS_TOOLTIP_CONFUSION_TO_MOB	Può indurre i mostri in confusione.
DETAILS_TOOLTIP_HIT_PCT	Aumenta la probabilità di colpire un avversario.
DETAILS_TOOLTIP_MYSTERY_DUNGEON	Forte vs Misteri: infligge danni maggiori ai mostri del dungeon misterioso e dell'Eco misteriosa.
DETAILS_TOOLTIP_REFUSE_EXP	Non si guadagnano punti esperienza.
DETAILS_TOOLTIP_RESIST_MOUNT_FALL	Resistenza alla caduta: riduce la probabilità di cadere dalla cavalcatura.
DONT_USE_ITEM_WHEN_SHOW_CONFIRM	Non è possibile spostare gli oggetti mentre è in corso una richiesta.
DO_NOT_INSERT_UPBRINGING_PET	Non è possibile selezionare il pet attivo.
DO_YOU_BUY_ITEM1	Vuoi acquistare %s per %s Yang?
DO_YOU_BUY_ITEM2	Vuoi acquistare %s (%s unità) per %s Yang?
DO_YOU_BUY_ITEM3	Desideri comprare %s per %s Won e %s Yang?
DO_YOU_BUY_ITEM4	Desideri comprare %s (%s unità) per %s Won e %s Yang?
DO_YOU_BUY_ITEM_SECONDARY_COIN_1	Desideri acquistare %s per %s?
DO_YOU_BUY_ITEM_SECONDARY_COIN_2	Desideri acquistare %s (%s unità) per %s?
DO_YOU_DROP_MONEY	Desideri lasciar cadere %d Yang?
DO_YOU_SELL_ITEM1	Vuoi vendere %s per %s Yang?
DO_YOU_SELL_ITEM2	Vuoi vendere %s (%s unità) per %s Yang?
DRAGON_GATE_AUTO_REINFORCE_QUESTION	
DRAGON_GATE_CLEAR	
DRAGON_GATE_CLEAR_NOT_ENOUGH_MAX_REINFORCE	
DRAGON_GATE_CLEAR_QUESTION	
DRAGON_GATE_CLEAR_SELECT	
DRAGON_GATE_CLEAR_TOOLTIP	
DRAGON_GATE_DEFENSE	
DRAGON_GATE_ENCHANT_DARK	
DRAGON_GATE_ENCHANT_EARTH	
DRAGON_GATE_ENCHANT_ELECTRIC	
DRAGON_GATE_ENCHANT_FIRE	
DRAGON_GATE_ENCHANT_ICE	
DRAGON_GATE_ENCHANT_WIND	
DRAGON_GATE_EXPERIENCE	
DRAGON_GATE_HEALTH	
DRAGON_GATE_ITEM_CLEAR	
DRAGON_GATE_ITEM_CLEAR_QUESTION	
DRAGON_GATE_MARK	
DRAGON_GATE_MASTER_STEP_CHECK	
DRAGON_GATE_MY_POINT_TOOLTIP	
DRAGON_GATE_NEED_POINT_TOOLTIP	
DRAGON_GATE_PAEWANG	
DRAGON_GATE_POINT_CLEAR	
DRAGON_GATE_POINT_CLEAR_NOT_ENOUGH_POINT	
DRAGON_GATE_POINT_CLEAR_QUESTION	
DRAGON_GATE_POWER	
DRAGON_GATE_REINFORCE_APPLY_DEFAULT_TOOLTIP	
DRAGON_GATE_REINFORCE_BONUS	
DRAGON_GATE_REINFORCE_BONUS_APPLY	
DRAGON_GATE_REINFORCE_COUNT_TOOLTIP	
DRAGON_GATE_REINFORCE_MAX	
DRAGON_GATE_REINFORCE_NOT_BONUS_APPLY	
DRAGON_GATE_REINFORCE_NOT_BONUS_APPLY2	
DRAGON_GATE_REINFORCE_NOT_ENOUGH_POINT	
DRAGON_GATE_REINFORCE_QUESTION	
DRAGON_GATE_REINFORCE_RESULT	
DRAGON_GATE_REINFORCE_TOOLTIP	
DRAGON_GATE_REINFORCE_TOOLTIP_LINE1	
DRAGON_GATE_REINFORCE_TOOLTIP_LINE2	
DRAGON_GATE_REINFORCE_TOOLTIP_TITLE	
DRAGON_GATE_RESIST_DARK	
DRAGON_GATE_RESIST_EARTH	
DRAGON_GATE_RESIST_ELECTRIC	
DRAGON_GATE_RESIST_FIRE	
DRAGON_GATE_RESIST_ICE	
DRAGON_GATE_RESIST_WIND	
DRAGON_GATE_STEP_CLEAR_INITIALIZE_FIRST	
DRAGON_GATE_STEP_CLEAR_QUESTION_1	
DRAGON_GATE_STEP_CLEAR_QUESTION_2	
DRAGON_GATE_STEP_CLEAR_TOOLTIP	
