ACCE_ABSORB_COST	Ñòîèìîñòü ñî÷åòàíèÿ: %d
CHANGE_TOOLTIP2_LINE2	Íàæìèòå íà ãàëî÷êó, ÷òîáû èñïîëüçîâàòü ÿíã èëè ìàğêó ïğåîáğàæåíèÿ è èçìåíèòü âíåøíèé âèä åçäîâîãî æèâîòíîãî.
CHANGE_TOOLTIP2_LINE3	Ìàğêà ïğåîáğàæåíèÿ ìåíÿåò âíåøíèé âèä åçäîâîãî æèâîòíîãî, íå ğàñõîäóÿ ÿíã. (Ìàğêà ïğè ıòîì óíè÷òîæàåòñÿ)
CHANGE_TOOLTIP2_LINE4	Åñëè èçìåíÿåòñÿ âíåøíèé âèä åçäîâîãî æèâîòíîãî ñî ñğîêîì äåéñòâèÿ, èñõîäíûé ñğîê äåéñòâèÿ îñòàåòñÿ.
CHANGE_TOOLTIP2_LINE5	Â ñëó÷àå, åñëè öåëåâîå åçäîâîå æèâîòíîå – ïîñòîÿííîå, à ó æèâîòíîãî-ìàòåğèàëà åñòü ñğîê äåéñòâèÿ, èçìåíåííûé âíåøíèé âèä ñîõğàíèòñÿ íà ñğîê äåéñòâèÿ æèâîòíîãî-ìàòåğèàëà.
CHANGE_TOOLTIP_LINE1	Ïîëîæèòå ïğåäìåò, íà êîòîğûé áóäåò íàëîæåíî Îòîáğàæåíèå, ñëåâà.
CHANGE_TOOLTIP_LINE2	Ïîëîæèòå âòîğîé ïğåäìåò ñïğàâà.
CHANGE_TOOLTIP_LINE3	Îáëèê ïğåäìåòà ñëåâà èçìåíèòñÿ, êîãäà âû ïîäòâåğäèòå
CHANGE_TOOLTIP_LINE4	Îòîáğàæåíèå (V) è ñ âàøåãî ñ÷åòà ñïèøóòñÿ ÿíã.
CHANGE_TOOLTIP_LINE5	Èñïîëüçîâàâ ıòîò ïğåäìåò,
CHANGE_TOOLTIP_LINE6	âû ìîæåòå ïğèìåíèòü Îòîáğàæåíèå íå èñïîëüçóÿ ÿíã.
CHANGE_TOOLTIP_TITLE	Îòîáğàæåíèå
CHANNEL	Êàíàë
CHANNELING_CANNOT_LOGOUT	Âûõîä îáğàòíî ê îêíó ğåãèñòğàöèè íåâîçìîæåí.
CHANNEL_EMPTY_SERVER	Ñåğâåğ îòñóòñòâóåò.
CHANNEL_NORMAL	Êàíàë %d
CHANNEL_NOTIFY_FULL	İòîò êàíàë ïåğåãğóæåí.  Ïîæàëóéñòà âûáåğèòå äğóãîé.
CHANNEL_NOT_FIND_INFO	Âû íå ìîæåòå ïîëó÷èòü èíôîğìàöèş íà ıòîì êàíàëå.
CHANNEL_PVP	Ñâîáîäíûé ïîåäèíîê
CHANNEL_SELECT_CHANNEL	Âûáåğèòå êàíàë
CHANNEL_SELECT_REGION	Âûáåğèòå ğåãèîí.
CHANNEL_SELECT_SERVER	Âûáğàòü ñåğâåğ
CHANNEL_STATUS_BUSY	Ñèëüíî çàãğóæåí
CHANNEL_STATUS_FULL	Çàïîëíåí
CHANNEL_STATUS_OFFLINE	Íåèçâåñòíî
CHANNEL_STATUS_RECOMMENDED	Ğåêîìåíäóåòñÿ
CHANNEL_STATUS_VACANT	Ñëàáî çàãğóæåí
CHANNEL_TEST_SERVER	Òåñòîâûé ñåğâåğ
CHANNEL_TEST_SERVER_ADDR	Òåñò %s:%d
CHARACTER_CREATE_MODE	Ñîçäàíèå ïåğñîíàæà
CHARACTER_NAME	Íàçâàíèå
CHARACTER_SELECT_MODE	Âûáîğ ïåğñîíàæà
CHARGE_BEAD_QUESTION	Íóæíû àíèìàñôåğû: %d. Õîòèòå ïğîäîëæèòü?
CHATTING_SETTING_ADD	Äîáàâèòü âêëàäêó
CHATTING_SETTING_ADD_MAX	Íåëüçÿ áîëüøå íè÷åãî äîáàâèòü.
CHATTING_SETTING_CHANGE_TITLE_NAME	Õîòèòå ñîõğàíèòü íàçâàíèå ıòîãî ÷àòà?
CHATTING_SETTING_CHANGE_TITLE_NOT	Èìÿ îáùåãî ÷àòà íåëüçÿ èçìåíÿòü.
CHATTING_SETTING_CLEAR_QUESTION	Ñáğîñèòü?
CHATTING_SETTING_DEL	Óäàëèòü ïîëå
CHATTING_SETTING_LANGUAGE_OFF	Âûêë
CHATTING_SETTING_LANGUAGE_ON	Âêë
CHATTING_SETTING_QUESTION_DESC_1	1. Çàêğåïèòå ñîîáùåíèå î ïîëó÷åííîì çà óáèéñòâî ìîíñòğîâ èëè ïîòåğÿííîì îïûòå.
CHATTING_SETTING_QUESTION_DESC_2	2. Çàêğåïèòå ñîîáùåíèå î âûïàâøåé äîáû÷å èëè çàğàáîòàííûõ ÿíã.
CHATTING_SETTING_RETURN	Âîññòàíîâèòü ïîëå
CHATTING_SETTING_SETTING	Íàñòğîéêè
CHAT_ALL	Âñå
CHAT_BLOCK	Çàáëîêèğîâàòü
CHAT_DICE_INFO	Áğîñîê
CHAT_GUILD	Ãèëüäèÿ
CHAT_INFORMATION	Èíôî
CHAT_INSULT_STRING	Ôğàçà ñîäåğæèò íåäîïóñòèìûå ñëîâà.
CHAT_LOG	Ïîêàçûâàòü âñå ñîîáùåíèÿ [L]
CHAT_LOG_TITLE	Ïîêàçàòü ëîã ÷àòà.
CHAT_MESSAGE_CLIENT_VERSION_NOT_MATCH	Âû âûøëè èç èãğû, ïîòîìó ÷òî âåğñèÿ âàøåãî êëèåíòà íåàêòóàëüíà. Îáíîâèòå âåğñèş è âîéäèòå â èãğó çàíîâî.
CHAT_NORMAL	Íîğì.
CHAT_NOTICE	Ñåğâåğ
CHAT_PARTY	Ãğóïïà
CHAT_SEND_CHAT	Îòïğàâèòü
CHAT_SEND_MEMO	Øåïíóòü [Shift+Enter]
CHAT_SHOUT	Êğèêíóòü
CHAT_SHOUT_LIMIT	Êğèêíóòü ìîæíî òîëüêî îäèí ğàç â 15 ñåêóíä.
CHAT_WHISPER	Øåïíóòü
CHEQUE_SYSTEM_DO_NOT_DROP_MONEY	Âû íå ìîæåòå âûáğîñèòü äåíüãè.
CHEQUE_SYSTEM_PICK_WON	Âû ïîëó÷èëè %s âîí.
CHEQUE_SYSTEM_SELL_PRICE	[Ğîçíè÷íàÿ öåíà]
CHEQUE_SYSTEM_UNIT_WON	Âîíû
CHEQUE_SYSTEM_UNIT_YANG	ßíã
CHEQUE_SYSTEM_WON	%s âîí
CHEQUE_SYSTEM_YANG	%s ÿíã
CHEQUE_USE_WON	Âûäàíî %s âîí.
CLEAR_FLOOR	İòàæ
CLEAR_TIME	Âğåìÿ
CLICK_BEAD_DESCRIPTION	Àíèìàñôåğû íóæíû äëÿ âõîäà â Õğàì Çîäèàêà. Çà ıòèì îòïğàâëÿéòåñü ê òåëåïîğòó â äåğåâíş.
ClosePetChangeWndButton	Çàêğûòü
COMB_ACCE_IS_CONTINUE_PROCESS	Õîòèòå ïğîäîëæèòü?
COMB_ACCE_WARNING_MESSAGE	Ïğè óñïåõå èëè ÷àñòè÷íîì óñïåõå èñõîäíèê óíè÷òîæàåòñÿ. Ïåğåäà÷à ìîæåò íå óäàòüñÿ. Ïğè íåóäà÷å èëè ÷àñòè÷íîì óñïåõå äîëÿ ïîãëîùåíèÿ àäğåñàòà óìåíüøàåòñÿ.
COMB_ACCE_WARNING_MESSAGE1	Ïğè óñïåõå èëè ÷àñòè÷íîì óñïåõå èñõîäíèê óíè÷òîæàåòñÿ.
COMB_ACCE_WARNING_MESSAGE2	Ïåğåäà÷à ìîæåò íå óäàòüñÿ.
COMB_ACCE_WARNING_MESSAGE3	Ïğè íåóäà÷å èëè ÷àñòè÷íîì óñïåõå äîëÿ ïîãëîùåíèÿ àäğåñàòà óìåíüøàåòñÿ.
COMB_ACCE_WILL_REMOVE_MATERIAL	Ïğè óñïåõå èëè ÷àñòè÷íîì óñïåõå èñõîäíèê óíè÷òîæàåòñÿ.
COMB_ALREADY_APPEND	İòîò ïğåäìåò óæå âûáğàí.
COMB_CANT_APPEND_ITEM	İòîò ïğåäìåò íåâîçìîæíî èñïîëüçîâàòü.
COMB_CANT_APPEND_SEALED_ITEM	Ïğåäìåò çà÷àğîâàííûé îêîâàìè äóøè íåâîçìîæíî èñïîëüçîâàòü.
COMB_CANT_BASE_ITEM	Øàğô, ó êîòîğîãî óæå åñòü áîíóñ, íå ìîæåò áûòü àäğåñàòîì.
COMB_CANT_MATCH_DRAINRATE	Äëÿ ïåğåäà÷è áîíóñà ó îáîèõ ïğåäìåòîâ äîëæíà áûòü îäèíàêîâàÿ äîëÿ ïîãëîùåíèÿ.
COMB_CANT_MATCH_GRADE	Äëÿ ïåğåäà÷è áîíóñà îáà ïğåäìåòà äîëæíû áûòü îäèíàêîâîãî êà÷åñòâà.
COMB_CANT_MATERIAL_ITEM	Ó èñõîäíîãî ïğåäìåòà äîëæåí áûòü áîíóñ.
COMB_COST	Öåíà: %s
COMB_IS_CONTINUE_PROCESS	Æåëàåòå ïğîäîëæèòü?
COMB_NOTICE	Âî âğåìÿ îáìåíà êíèã îòêğûòü ñâîş ëàâêó íåâçîìîæíî.
COMB_NOTICE_NOT_OPEN	Îáìåí êíèã íåâîçìîæåí ïîêà ó âàñ îòêğûòà ëàâêà.
COMB_NOT_ALL_SLOT_APPEND_ITEM	Äëÿ ïåğåäà÷è áîíóñîâ âàì íóæíû ïğåäìåò-èñõîäíèê, ïğåäìåò-àäğåñàò è ïğåäìåò äëÿ ïåğåìåùåíèÿ.
COMB_NOT_FULL_BOOK	Íåò, òàê ñäåëêà íå ïîëó÷èòñÿ. Êàê ÿ óæå ãîâîğèë, äëÿ îáìåíà âû äîëæíû ïğèíåñòè 10 êíèã.
COMB_NOT_ITEM_IN_INVENTORY	Âû íå ìîæåòå èñïîëüçîâàòü ñíàğÿæåííûå ïğåäìåòû.
COMB_NOT_MEDIUM_ITEM	İòîò ïğåäìåò íåâîçìîæíî èñïîëüçîâàòü.
COMB_WILL_REMOVE_MATERIAL	Èñõîäíèê â ñëó÷àå óñïåõà óíè÷òîæàåòñÿ.
COMMUNITY_ADD_BLOCK	Èãğîê %s çàáëîêèğîâàí.
COMMUNITY_ADD_FRIEND	Èãğîê %s äîáàâëåí â ñïèñîê äğóçåé.
COMMUNITY_ALREADY_BLOCKED	Óæå çàáëîêèğîâàíî.
COMMUNITY_ALREADY_FRIEND	Âû óæå äğóæèòå.
COMMUNITY_ALREADY_REQUESTED_BEFORE	Âû óæå îòïğàâèëè çàïğîñ íà äğóæáó.
COMMUNITY_BLOCKED_ALREADY	%s óæå áûë(à) çàáëîêèğîâàí(à).
COMMUNITY_BLOCKED_EXCHANGE	Òîğãîâëÿ
COMMUNITY_BLOCKED_FRIEND_REQUEST	Çàïğîñ íà äğóæáó
COMMUNITY_BLOCKED_FUNCTION	Çàáëîêèğîâàíî:
COMMUNITY_BLOCKED_GUILD_INVITE	Ïğèãëàøåíèå â ãèëüäèş
COMMUNITY_BLOCKED_PARTY_INVITE	Çàïğîñ â ãğóïïó
COMMUNITY_BLOCKED_PARTY_JOIN	Ïğèãëàøåíèå â ãğóïïó
COMMUNITY_BLOCKED_PARTY_WHISPER	Øåïîò
COMMUNITY_CANT_ACTION_TIMER	Ïîâòîğèòå ïîïûòêó ïîçæå.
COMMUNITY_CANT_ADD_BLOCK_ANYMORE	Âû íå ìîæåòå áëîêèğîâàòü áîëåå %d èãğîêîâ.
COMMUNITY_CANT_ADD_FRIEND_ANYMORE	Ó âàñ íå ìîæåò áûòü áîëåå %d äğóçåé.
COMMUNITY_CANT_ADD_FRIEND_SELF	Âû íå ìîæåòå äîáàâèòü ñåáÿ â ñâîé ñïèñîê äğóçåé.
COMMUNITY_CANT_ADD_GM	Âû íå ìîæåòå äîáàâëÿòü ÃÌ â äğóçüÿ.
COMMUNITY_CANT_BLOCK_FAMILY	Íåëüçÿ áëîêèğîâàòü ñóïğóãà.
COMMUNITY_CANT_BLOCK_FRIEND	Ñíà÷àëà íóæíî óäàëèòü %s.
COMMUNITY_CANT_BLOCK_REQUEST_FRIEND	Âû íå ìîæåòå áëîêèğîâàòü òåõ, êîìó îòïğàâèëè çàïğîñ íà äğóæáó.
COMMUNITY_CANT_BLOCK_SELF	Âû íå ìîæåòå áëîêèğîâàòü ñàìîãî ñåáÿ.
COMMUNITY_CANT_REGISTER_NOT_INSURT	Íåëüçÿ èñïîëüçîâàòü íåïîäîáàşùèå âûğàæåíèÿ.
COMMUNITY_CANT_REQUEST_BLOCKED_USER	Ñíà÷àëà óäàëèòå èãğîêà èç ñâîåãî ñïèñêà áëîêèğîâêè.
COMMUNITY_CANT_REQUEST_DUPLICATE	Ïîïğîáóéòå åùå ğàç; %s ñåé÷àñ íå ìîæåò äîáàâëÿòü äğóçåé.
COMMUNITY_CANT_REQUEST_FRIEND_SELF	Âû íå ìîæåòå äîáàâèòü ñåáÿ â ñâîé ñïèñîê äğóçåé.
COMMUNITY_CANT_REQUEST_SAME_ACCOUNT	Âû íå ìîæåòå äîáàâèòü ïåğñîíàæà ñî ñâîåãî æå àêêàóíòà â äğóçüÿ.
COMMUNITY_DELETE	Óäàëèòü
COMMUNITY_DELETE_BLOCK	%s óäàëåí(à) èç âàøåãî ñïèñêà áëîêèğîâêè.
COMMUNITY_DELETE_BLOCK_FIRST	Ñíà÷àëà óäàëèòå èãğîêà èç ñâîåãî ñïèñêà áëîêèğîâêè.
COMMUNITY_DELETE_FRIEND	%s óäàëåí(à) èç âàøåãî ñïèñêà äğóçåé.
COMMUNITY_DELETE_FRIEND_FIRST	Ñíà÷àëà íóæíî óäàëèòü %s.
COMMUNITY_DELETE_REQUEST_LIST_FIRST	Ñíà÷àëà óäàëèòå èãğîêà èç ñâîèõ çàïğîñîâ íà äğóæáó.
COMMUNITY_INVALID_NAME	Íå óäàëîñü íàéòè ıòî èìÿ; âîçìîæíî, òàêîãî èìåíè íåò.
COMMUNITY_INVITE_PARTY	Âû îòïğàâèëè çàïğîñ â ãğóïïó èãğîêó %s.
COMMUNITY_LOGIN_MEMBER	%s ñåé÷àñ â ñåòè.
COMMUNITY_MEMBER_LEVEL	(Óğ. %d)
COMMUNITY_REGISTER_COMMENT	Îòïğàâèòü
COMMUNITY_REGISTER_COMPLETE	Âû îïóáëèêîâàëè ëåíòó.
COMMUNITY_REQUESTED_ALREADY	Âû óæå îòïğàâèëè çàïğîñ ıòîìó èãğîêó.
COMMUNITY_REQUEST_ALARM_AT_LOGIN	Âû ïîëó÷èëè çàïğîñ íà äğóæáó. Åãî ìîæíî óâèäåòü â îêíå ñîîáùåñòâà.
COMMUNITY_REQUEST_FRIEND	Èãğîê %s îòïğàâèë âàì çàïğîñ íà äğóæáó.
COMMUNITY_REQUEST_FRIEND_SUCCESS	Âû îòïğàâèëè çàïğîñ íà äğóæáó èãğîêó %s.
COMMUNITY_REQUEST_LIST_OVER_MAX	Âû íå ìîæåòå îòïğàâèòü çàïğîñ íà äğóæáó èãğîêó %s, òàê êàê âàø ñïèñîê äğóçåé óæå çàïîëíåí.
COMMUNITY_TARGET_BLOCKED_YOU	Èãğîê %s âàñ çàáëîêèğîâàë.
COMMUNITY_TARGET_EXIST_REQUEST_LIST	Âû óæå îòïğàâèëè çàïğîñ ıòîìó èãğîêó.
COMMUNITY_TARGET_MAX_FRIEND_COUNT	Ñïèñîê äğóçåé èãğîêà %s çàïîëíåí. Íåëüçÿ îòïğàâèòü çàïğîñ.
COMMUNITY_TARGET_REFUSE_REQUEST	Èãğîê %s îòêëîíèë âàø çàïğîñ íà äğóæáó.
COMMUNITY_TARGET_REQUEST_FRIEND_BLOCK_MODE	Èãğîê çàáëîêèğîâàë âàø çàïğîñ íà äğóæáó.
COMMUNITY_TARGET_RUNNING_QUEST	Èãğîê ñåé÷àñ íå ìîæåò ïğèíÿòü âàø çàïğîñ íà äğóæáó.
CRAFT_INTEGRATE_CRAFTING_QUESTION_1	Õîòèòå ïğîäîëæèòü?
CRAFT_INTEGRATE_CRAFTING_QUESTION_2	Ïîïğîáîâàòü óëó÷øèòü %s %d ğàç(à).
CRAFT_INTEGRATE_CRAFTING_QUESTION_3	Øàíñ íà óñïåõ: %d%%
CRAFT_INTEGRATE_CRAFTING_QUESTION_4	Öåíà: %s ÿíã
CRAFT_INTEGRATE_DISMANTLE_ASK_AGAIN_1	Âû òî÷íî õîòèòå ıòî ğàçîáğàòü?
CRAFT_INTEGRATE_DISMANTLE_ASK_AGAIN_2	Ğàçîáğàííûå ïğåäìåòû íåëüçÿ ñîáğàòü çàíîâî.
CRAFT_INTEGRATE_DISMANTLE_ASK_AGAIN_3	Ğàçîáğàíî: %s, %d
CRAFT_INTEGRATE_DISMANTLE_ASK_AGAIN_4	Ğåçóëüòàòû: %s, %s
CRAFT_INTEGRATE_DISMANTLE_ASK_ATTR_1	Ó ıòîãî ïğåäìåòà 3 èëè áîëåå ñâîéñòâà.
CRAFT_INTEGRATE_DISMANTLE_ASK_ATTR_2	Ğàçîáğàòü åãî íà ıíåğãåòè÷åñêèå ôğàãìåíòû?
CRAFT_INTEGRATE_DISMANTLE_FAIL_ITEM_LIMIT_LEVEL	Ğàçáèğàòü ìîæíî òîëüêî ïğåäìåòû 35 óğîâíÿ è âûøå.
CRAFT_INTEGRATE_DISMANTLE_FAIL_NOT_ALLOWED_UI_OPEN	İòî íåëüçÿ èñïîëüçîâàòü âî âğåìÿ äğóãîãî äåéñòâèÿ.
CRAFT_INTEGRATE_DISMANTLE_FAIL_PLAYER_LEVEL_NOT_ENOUGH	Äîñòóïíî äëÿ ïåğñîíàæåé 35 óğîâíÿ è âûøå.
CRAFT_INTEGRATE_DISMANTLE_FAIL_WRONG_BEHAVIOR	İòî íåäîïóñòèìîå äåéñòâèå.
CRAFT_INTEGRATE_DISMANTLE_FAIL_WRONG_ITEM	İòîò ïğåäìåò íåëüçÿ ğàçîáğàòü.
CRAFT_INTEGRATE_DISMANTLE_ONLY_INVENTORY	Ğàçáèğàòü ìîæíî òîëüêî ïğåäìåòû â ñâîåì èíâåíòàğå.
CRAFT_INTEGRATE_GEM	Gaya
CRAFT_INTEGRATE_GEM_ICON_TOOLTIP	Gaya
CRAFT_INTEGRATE_GEM_RESULT_SLOT_TOOLTIP	GAYA
CRAFT_INTEGRATE_ITEM_COUNT	[%d]
CRAFT_INTEGRATE_ITEM_INFO	%s (%d%%)
CRAFT_INTEGRATE_MAX_BUTTON_TOOLTIP	ÌÀÊÑ.
CRAFT_INTEGRATE_MIN_BUTTON_TOOLTIP	ÌÈÍ.
CRAFT_INTEGRATE_ORE	Ğóäà
CRAFT_INTEGRATE_PET_CANNOT_FEED_CRAFT_OPEN	Íåëüçÿ èñïîëüçîâàòü âî âğåìÿ èçãîòîâëåíèÿ.
CRAFT_INTEGRATE_RESULT_GUILD_BUILDING_ACCESS_CHANGED	İòî ìîãóò èñïîëüçîâàòü òîëüêî ÷ëåíû ãèëüäèè, êîòîğîé ïğèíàäëåæèò ıòà çåìëÿ.
CRAFT_INTEGRATE_RESULT_GUILD_BUILDING_CHANGED	Çäàíèå èçìåíèëîñü, òåïåğü åãî íåëüçÿ èñïîëüçîâàòü. Ïîïğîáóéòå çàíîâî.
CRAFT_INTEGRATE_RESULT_GUILD_USE_FEE_CHANGED	Ïëàòà çà èñïîëüçîâàíèå èçìåíèëàñü. Ïåğåïğîâåğüòå åå.
CRAFT_INTEGRATE_RESULT_ITEM_INFO	Ïîëó÷åí ïğåäìåò: %s - %d
CRAFT_INTEGRATE_RESULT_LACK_GEM	Ó âàñ íå õâàòàåò Gaya.
CRAFT_INTEGRATE_RESULT_LACK_MATERIAL	Âû íå ìîæåòå ïğåäïğèíÿòü ñòîëüêî ïîïûòîê - ó âàñ íå õâàòèò íà ıòî ìàòåğèàëîâ.
CRAFT_INTEGRATE_RESULT_LACK_YANG	Âàì íå õâàòàåò ÿíã.
CRAFT_INTEGRATE_RESULT_NO_SPACE	Ó âàñ íå õâàòàåò ìåñòà â èíâåíòàğå.
CRAFT_INTEGRATE_RESULT_OVER_GEM_MAX	Ó âàñ óæå ìàêñèìàëüíîå ÷èñëî Gaya.
CRAFT_INTEGRATE_RESULT_TRY_INFO	%s ğåçóëüò.: óñïåøíî %d, íåóñïåøíî %d
CRAFT_INTEGRATE_RESULT_TRY_INFO_BIG_SUCCESS	%s ğåçóëüò.: ïîëíûé óñïåõ %d, óñïåøíî %d, íåóñïåøíî %d
CRAFT_INTEGRATE_SUCCESS_PCT	Øàíñ íà óñïåõ: %d%%
CRAFT_INTEGRATE_TITLE_CUBE	Èçãîòîâëåíèå
CRAFT_INTEGRATE_TITLE_REFINE	Óëó÷øåíèå
CRAFT_INTEGRATE_TITLE_SMELT	Óëó÷øåíèå
CRAFT_INTEGRATE_YANG_ICON_TOOLTIP	ßíã
CREATE_ERROR_GM_NAME	Èìÿ ïåğñîíàæà íå äîëæíî ñîäåğæàòü ,ÃÌ‘ .
CREATE_ERROR_INSULT_NAME	İòî èìÿ íåäîïóñòèìî.
CREATE_ERROR_LIMIT_LEVEL	Âàø ïåğñîíàæ äîëæåí äîñòèãíóòü êàê ìèíèìóì 80 óğîâíÿ.
CREATE_ERROR_TIME_LIMIT	Ñîçäàíèå ïåğñîíàæà âîçìîæíî ëèøü êàæäûå 30 ñåê.
CREATE_ERROR_WRONG_STRING	Íåäîïóñòèìîå èìÿ ïåğñîíàæà.
CREATE_EXIST_SAME_NAME	Ïåğñîíàæ ñ òàêèì èìåíåì óæå ñóùåñòâóåò.
CREATE_FAILURE	Ñîçäàíèå ïåğñîíàæà íåâîçìîæíî.
CREATE_FULL	Ñîçäàíèå äàëüíåéøèõ ïåğñîíàæåé íåâîçìîæíî.
CREATE_GM_NAME	ÃÌ
CREATE_INPUT_NAME	Ââåäèòå èìÿ.
CREATE_PLUS_STAT	Î÷êè ñòàòóñà ïîêà äîñòóïíû.
CUBE_ALCHEMY_BANN_SIGN	Ñåé÷àñ ıòîãî ñäåëàòü íåëüçÿ.
CUBE_CATEGORY_ACCESSORY	Óêğàøåíèÿ
CUBE_CATEGORY_ALCHEMY	Êóçíå÷íàÿ ğóíà
CUBE_CATEGORY_ARMOR	Áğîíÿ
CUBE_CATEGORY_ARMOR_GLOVE	Ïåğ÷àòêè
CUBE_CATEGORY_BELT	Ïîÿñà
CUBE_CATEGORY_ETC	Ïğî÷åå
CUBE_CATEGORY_EVENT	Ñîáûòèå
CUBE_CATEGORY_JOB	Êëàññ
CUBE_CATEGORY_MAP	Ïîëíûå êàğòû
CUBE_CATEGORY_PET	Ïèòîìåö
CUBE_CATEGORY_SETADD_ARMOR	Èçãîòîâèòü íàáîğ-áğîíş
CUBE_CATEGORY_SETADD_HELMET	Èçãîòîâèòü íàáîğ-øëåì
CUBE_CATEGORY_SETADD_WEAPON	Èçãîòîâèòü íàáîğ-îğóæèå
CUBE_CATEGORY_WEAPON	Îğóæèå
CUBE_CATEGOR_SKILL_BOOK	Êíèãà íàâûêîâ
CUBE_DO_NOT_SAME_ALCHEMY_KINDS	Èñïîëüçóéòå êóçíå÷íóş ğóíó ïîäõîäÿùåãî òèïà.
CUBE_FAIL	Èçãîòîâëåíèå íå óäàëîñü.
CUBE_LIST_TEXT_ITEM_INFO	%s ( %d%% )
CUBE_LIST_TEXT_MAKE_QUANTITY	[%d]
CUBE_MAKE_CONFIRM_QUESTION_1	Õîòÿ áû îäèí èñïîëüçóåìûé ïğåäìåò êğàéíå öåííûé (ó íåãî áîëüøå %d áîíóñîâ).
CUBE_MAKE_CONFIRM_QUESTION_2	Âû òî÷íî õîòèòå ïğîäîëæèòü?
CUBE_NOT_ENOUGHT_ALCHEMY_COUNT	Ó âàñ íåò %s, ïîıòîìó ñåé÷àñ ıòî íåëüçÿ èçãîòîâèòü.
CUBE_NOT_ENOUGH_GEM	Ó âàñ íå õâàòàåò Gaya.
CUBE_NOT_ENOUGH_GOLD	Íå õâàòàåò ÿíã äëÿ èçãîòîâëåíèÿ.
CUBE_NOT_ENOUGH_MATERIAL	Íå õâàòàåò ìàòåğèàëà äëÿ èçãîòîâëåíèÿ.
CUBE_PLEASE_SELECT	Ïğåäìåòû íå âûáğàíû.
CUBE_SELECT_ITEM_FIRST	Ñíà÷àëà âûáåğèòå, êàêîé ïğåäìåò èçãîòîâèòü.
CUBE_TOOLTIP_PASSIVE_JOB_LEFT_TIME	Îñòàëîñü: {0}–{1} ÷.
CUBE_USING_ALCHEMY_INFO	Âû èñïîëüçîâàëè %s äëÿ èçãîòîâëåíèÿ (%d øò.).
CZ_REWARD_QUESTION_COMPLETE	Âû õîòèòå ïîëó÷èòü ıòî ïîëå?
CZ_REWARD_TOOLTIP_10GAN	Çîäèàê-ğåãàëèè
CZ_REWARD_TOOLTIP_10GAN_COUNT	×èñëî â èíâåíòàğå
CZ_REWARD_TOOLTIP_10GAN_NEED_COUNT	Íóæíîå ÷èñëî
CZ_REWARD_TOOLTIP_12ZI	Ğåãàëèè ñòğàæíèêîâ
CZ_REWARD_TOOLTIP_12ZI_COUNT	×èñëî â èíâåíòàğå
CZ_REWARD_TOOLTIP_12ZI_NEED_COUNT	Íóæíîå ÷èñëî
CZ_REWARD_TOOLTIP_ALL_BOX	Çâåçäíîå ñîêğîâèùå
CZ_REWARD_TOOLTIP_CAN_GET_ALL_BOX	Íàæìèòå ñşäà, ÷òîáû ïîëó÷èòü â íàãğàäó Çâåçäíîå ñîêğîâèùå.
CZ_REWARD_TOOLTIP_CAN_GET_GREEN_BOX	Íàæìèòå ñşäà, ÷òîáû ïîëó÷èòü â íàãğàäó Àâàíòşğèíîâîå ñîêğîâèùå.
CZ_REWARD_TOOLTIP_CAN_GET_YELLOW_BOX	Íàæìèòå ñşäà, ÷òîáû ïîëó÷èòü â íàãğàäó Àóğåîëèíîâîå ñîêğîâèùå.
CZ_REWARD_TOOLTIP_COMPLETABLE	Ïîëó÷èòü
CZ_REWARD_TOOLTIP_GREEN_BOX	Àâàíòşğèíîâîå ñîêğîâèùå
CZ_REWARD_TOOLTIP_GREEN_BOX_COMP_CNT	Àâàíòşğèíîâûõ ñîêğîâèù ïîëó÷åíî: %d
CZ_REWARD_TOOLTIP_WEEKLY	Äåíü
CZ_REWARD_TOOLTIP_WEEKLY_FRI	Ïÿòíèöà
CZ_REWARD_TOOLTIP_WEEKLY_MON	Ïîíåäåëüíèê
CZ_REWARD_TOOLTIP_WEEKLY_SAT	Ñóááîòà
CZ_REWARD_TOOLTIP_WEEKLY_SAT_SUN	Ñóááîòà/Âîñêğåñåíüå
CZ_REWARD_TOOLTIP_WEEKLY_THU	×åòâåğã
CZ_REWARD_TOOLTIP_WEEKLY_TUE	Âòîğíèê
CZ_REWARD_TOOLTIP_WEEKLY_WED	Ñğåäà
CZ_REWARD_TOOLTIP_YELLOW_BOX	Àóğåîëèíîâîå ñîêğîâèùå
CZ_REWARD_TOOLTIP_YELLOW_BOX_COMP_CNT	Àóğåîëèíîâûõ ñîêğîâèù ïîëó÷åíî: %d
DAY	Ä
DETAILS_0	Ñèëà ïğ. ìåòèíîâ
DETAILS_1	Ñèëà ïğ. ïîëóëşäåé
DETAILS_2	Ñîïğ. ïîëóëşäÿì
DETAILS_3	Ñèëà ïğîòèâ îğêîâ
DETAILS_4	Ñèëà ïğîòèâ íåæèòè
DETAILS_5	Ñèëà ïğîòèâ ìîíñòğîâ
DETAILS_6	Ñèëà ïğ. çîäèàê-ìîí.
DETAILS_7	Ñèëà ïğîòèâ çâåğåé
DETAILS_8	Ñèëà ïğîòèâ ìèñòèêîâ
DETAILS_9	Ñèëà ïğîòèâ äüÿâîëîâ
DETAILS_10	Ñèëà ïğ ìîíñòğ.ïóñò.
DETAILS_11	Ñèëà ïğ. íàñåêîìûõ
DETAILS_12	Ïîêàçàòåëü àòàêè
DETAILS_13	Ïîêàçàòåëü çàùèòû
