ACCE_ABSORB_COST	Costuri combinaşie: %d
COMMUNITY_CANT_BLOCK_FRIEND	Mai întâi trebuie sã anulezi prietenia cu %s.
COMMUNITY_CANT_BLOCK_REQUEST_FRIEND	Nu poşi bloca pe cineva cãruia i-ai trimis o cerere de prietenie.
COMMUNITY_CANT_BLOCK_SELF	Nu te poşi bloca singur.
COMMUNITY_CANT_REGISTER_NOT_INSURT	Nu poşi folosi un limbaj nepotrivit.
COMMUNITY_CANT_REQUEST_BLOCKED_USER	Eliminã mai întâi jucãtorul din lista de blocare.
COMMUNITY_CANT_REQUEST_DUPLICATE	Te rugãm încearcã din nou, deoarece %s nu poate adãuga momentan niciun prieten.
COMMUNITY_CANT_REQUEST_FRIEND_SELF	Nu poşi sã te împrieteneºti cu tine însuşi.
COMMUNITY_CANT_REQUEST_SAME_ACCOUNT	Nu poşi sã te împrieteneºti cu alt caracter de pe contul tãu.
COMMUNITY_DELETE	ªterge
COMMUNITY_DELETE_BLOCK	%s a fost eliminat din lista de blocare.
COMMUNITY_DELETE_BLOCK_FIRST	Eliminã mai întâi jucãtorul din lista de blocare.
COMMUNITY_DELETE_FRIEND	%s a fost eliminat din lista de prieteni.
COMMUNITY_DELETE_FRIEND_FIRST	Mai întâi trebuie sã anulezi prietenia cu %s.
COMMUNITY_DELETE_REQUEST_LIST_FIRST	Eliminã mai întâi jucãtorul din lista de prieteni.
COMMUNITY_INVALID_NAME	Acest nume nu a putut fi gãsit sau nu existã.
COMMUNITY_INVITE_PARTY	Ai trimis o solicitare de intrare în grupul lui %s.
COMMUNITY_LOGIN_MEMBER	%s este online.
COMMUNITY_MEMBER_LEVEL	(Lvl. %d)
COMMUNITY_REGISTER_COMMENT	Trimite
COMMUNITY_REGISTER_COMPLETE	Ai publicat un mesaj nou.
COMMUNITY_REQUESTED_ALREADY	Acest jucãtor este deja pe lista solicitãrilor.
COMMUNITY_REQUEST_ALARM_AT_LOGIN	Ai primit o cerere de prietenie. Verificã fereastra Comunitate.
COMMUNITY_REQUEST_FRIEND	%s şi-a trimis o cerere de prietenie.
COMMUNITY_REQUEST_FRIEND_SUCCESS	Ai trimis o cerere de prietenie la %s.
COMMUNITY_REQUEST_LIST_OVER_MAX	Nu poşi trimite o cerere de prietenie cãtre %s deoarece lista ta de prieteni este plinã.
COMMUNITY_TARGET_BLOCKED_YOU	%s te-a blocat.
COMMUNITY_TARGET_EXIST_REQUEST_LIST	Acest jucãtor este deja pe lista solicitãrilor.
COMMUNITY_TARGET_MAX_FRIEND_COUNT	%s are lista de prieteni plinã. Solicitarea nu a putut fi trimisã.
COMMUNITY_TARGET_REFUSE_REQUEST	%s a respins cererea ta de prietenie.
COMMUNITY_TARGET_REQUEST_FRIEND_BLOCK_MODE	Jucãtorul şi-a blocat cererea de prietenie.
COMMUNITY_TARGET_RUNNING_QUEST	Momentan, jucãtorul nu poate accepta cererea ta de prietenie.
CRAFT_INTEGRATE_CRAFTING_QUESTION_1	Doreºti sã continui?
CRAFT_INTEGRATE_CRAFTING_QUESTION_2	Încearcã sã îmbunãtãşeºti %s de %d ori.
CRAFT_INTEGRATE_CRAFTING_QUESTION_3	ªansã de reuºitã: %d%%
CRAFT_INTEGRATE_CRAFTING_QUESTION_4	Costuri: %s Yang
CRAFT_INTEGRATE_DISMANTLE_ASK_AGAIN_1	Eºti sigur cã vrei sã îl dezmembrezi?
CRAFT_INTEGRATE_DISMANTLE_ASK_AGAIN_2	Obiectele dezmembrate nu pot fi restaurate.
CRAFT_INTEGRATE_DISMANTLE_ASK_AGAIN_3	Dezmembreazã: %s, %d
CRAFT_INTEGRATE_DISMANTLE_ASK_AGAIN_4	Rezultate: %s, %s
CRAFT_INTEGRATE_DISMANTLE_ASK_ATTR_1	Acesta are 3 sau mai multe bonusuri.
CRAFT_INTEGRATE_DISMANTLE_ASK_ATTR_2	Doreºti sã îl dezmembrezi în Fragmente de Energie?
CRAFT_INTEGRATE_DISMANTLE_FAIL_ITEM_LIMIT_LEVEL	Doar obiectele de nivel 35+ pot fi dezmembrate.
CRAFT_INTEGRATE_DISMANTLE_FAIL_NOT_ALLOWED_UI_OPEN	Aceastã acşiune nu poate fi efectuatã în timp ce altã acşiune este activã.
CRAFT_INTEGRATE_DISMANTLE_FAIL_PLAYER_LEVEL_NOT_ENOUGH	Disponibil pentru caractere de nivel 35+.
CRAFT_INTEGRATE_DISMANTLE_FAIL_WRONG_BEHAVIOR	Aceastã acşiune nu este permisã.
CRAFT_INTEGRATE_DISMANTLE_FAIL_WRONG_ITEM	Acest obiect nu poate fi dezmembrat.
CRAFT_INTEGRATE_DISMANTLE_ONLY_INVENTORY	Poşi dezmembra doar obiecte din inventar.
CRAFT_INTEGRATE_GEM	Gaya
CRAFT_INTEGRATE_GEM_ICON_TOOLTIP	Gaya
CRAFT_INTEGRATE_GEM_RESULT_SLOT_TOOLTIP	GAYA
CRAFT_INTEGRATE_ITEM_COUNT	[%d]
CRAFT_INTEGRATE_ITEM_INFO	%s (%d%%)
CRAFT_INTEGRATE_MAX_BUTTON_TOOLTIP	MAX
CRAFT_INTEGRATE_MIN_BUTTON_TOOLTIP	MIN
CRAFT_INTEGRATE_ORE	Minereu
CRAFT_INTEGRATE_PET_CANNOT_FEED_CRAFT_OPEN	Nu poate fi utilizat în timpul meºteºugului.
CRAFT_INTEGRATE_RESULT_GUILD_BUILDING_ACCESS_CHANGED	Aceastã clãdire poate fi folositã doar de membrii breslei care deşin teritoriul.
CRAFT_INTEGRATE_RESULT_GUILD_BUILDING_CHANGED	Aceastã clãdire este în curs de modificare ºi nu poate fi utilizatã. Te rugãm sã verifici din nou.
CRAFT_INTEGRATE_RESULT_GUILD_USE_FEE_CHANGED	Costurile de utilizare s-au modificat. Te rugãm sã verifici din nou.
CRAFT_INTEGRATE_RESULT_ITEM_INFO	Obiect primit: %s x%d
CRAFT_INTEGRATE_RESULT_LACK_GEM	Nu ai suficient Gaya.
CRAFT_INTEGRATE_RESULT_LACK_MATERIAL	Nu poşi face atât de multe încercãri deoarece nu ai suficiente materiale.
CRAFT_INTEGRATE_RESULT_LACK_YANG	Nu ai suficient Yang.
CRAFT_INTEGRATE_RESULT_NO_SPACE	Nu este destul loc în inventar.
CRAFT_INTEGRATE_RESULT_OVER_GEM_MAX	Ai deja cantitatea maximã de Gaya.
CRAFT_INTEGRATE_RESULT_TRY_INFO	%s Rezultate: %d Reuºite %d Eºecuri
CRAFT_INTEGRATE_RESULT_TRY_INFO_BIG_SUCCESS	%s Rezultate:%d Reuºite Majore, %dReuºite, %d Eºecuri
CRAFT_INTEGRATE_SUCCESS_PCT	ªansã de reuºitã: %d%%
CRAFT_INTEGRATE_TITLE_CUBE	Meºteºug
CRAFT_INTEGRATE_TITLE_REFINE	Îmbunãtãşire
CRAFT_INTEGRATE_TITLE_SMELT	Rafinare
CRAFT_INTEGRATE_YANG_ICON_TOOLTIP	Yang
CREATE_ERROR_GM_NAME	Nu poşi folosi ,GM‘ la numele caracterului.
CREATE_ERROR_INSULT_NAME	Acest nume este invalid.
CREATE_ERROR_LIMIT_LEVEL	Caracterul tau trebuie sa aiba cel putin nivelul 80.
CREATE_ERROR_TIME_LIMIT	Poti crea un singur caracter la fiecare 30 de secunde.
CREATE_ERROR_WRONG_STRING	Numele caracterului este invalid.
CREATE_EXIST_SAME_NAME	Existã deja un caracter cu acest nume.
CREATE_FAILURE	Nu poşi crea acest caracter.
CREATE_FULL	Nu mai poti crea alte caractere.
CREATE_GM_NAME	GM
CREATE_INPUT_NAME	Introdu numele.
CREATE_PLUS_STAT	Mai sunt puncte de status disponibile.
CUBE_ALCHEMY_BANN_SIGN	Nu poşi face nimic acum.
CUBE_CATEGORY_ACCESSORY	Bijuterii
CUBE_CATEGORY_ALCHEMY	Catalizator
CUBE_CATEGORY_ARMOR	Armurã
CUBE_CATEGORY_ARMOR_GLOVE	Mãnuºi
CUBE_CATEGORY_BELT	Curele
CUBE_CATEGORY_ETC	Etc.
CUBE_CATEGORY_EVENT	Eveniment
CUBE_CATEGORY_JOB	Clasã
CUBE_CATEGORY_MAP	Hãrşi Complete
CUBE_CATEGORY_PET	Însoşitor
CUBE_CATEGORY_SETADD_ARMOR	Creeazã armurã set
CUBE_CATEGORY_SETADD_HELMET	Creeazã coif set
CUBE_CATEGORY_SETADD_WEAPON	Creeazã armã set
CUBE_CATEGORY_WEAPON	Armã
CUBE_CATEGOR_SKILL_BOOK	Cartea de Abilitãşi
CUBE_DO_NOT_SAME_ALCHEMY_KINDS	Foloseºte un Catalizator corespunzãtor.
CUBE_FAIL	Fabricarea a eºuat.
CUBE_LIST_TEXT_ITEM_INFO	%s ( %d%% )
CUBE_LIST_TEXT_MAKE_QUANTITY	[%d]
CUBE_MAKE_CONFIRM_QUESTION_1	Cel puşin unul dintre obiectele utilizate este extrem de valoros (are mai mult de %d bonusuri).
CUBE_MAKE_CONFIRM_QUESTION_2	Chiar doreºti sã continui?
CUBE_NOT_ENOUGHT_ALCHEMY_COUNT	Nu ai %s, nu poşi fabrica chiar acum.
CUBE_NOT_ENOUGH_GEM	Nu ai suficient Gaya.
CUBE_NOT_ENOUGH_GOLD	Yang insuficient pentru fabricare.
CUBE_NOT_ENOUGH_MATERIAL	Material insuficient pentru craft.
CUBE_PLEASE_SELECT	Niciun obiect ales.
CUBE_SELECT_ITEM_FIRST	Mai întâi alege un obiect pentru fabricare.
CUBE_TOOLTIP_PASSIVE_JOB_LEFT_TIME	Timp rãmas: {0} - {1} ore
CUBE_USING_ALCHEMY_INFO	Foloseºte %s pentru fabricare (%d buc.)
CZ_REWARD_QUESTION_COMPLETE	Vrei sã revendici acest loc?
CZ_REWARD_TOOLTIP_10GAN	Insignã Zodiac
CZ_REWARD_TOOLTIP_10GAN_COUNT	Numãr în inventar
CZ_REWARD_TOOLTIP_10GAN_NEED_COUNT	Cantitate necesarã
CZ_REWARD_TOOLTIP_12ZI	Insignã Gardian
CZ_REWARD_TOOLTIP_12ZI_COUNT	Numãr în inventar
CZ_REWARD_TOOLTIP_12ZI_NEED_COUNT	Cantitate necesarã
CZ_REWARD_TOOLTIP_ALL_BOX	Comoarã Astralã
CZ_REWARD_TOOLTIP_CAN_GET_ALL_BOX	Apasã aici pentru a colecta Comoara Astralã drept recompensã.
CZ_REWARD_TOOLTIP_CAN_GET_GREEN_BOX	Apasã aici pentru a colecta Comoara Aventurine drept recompensã.
CZ_REWARD_TOOLTIP_CAN_GET_YELLOW_BOX	Apasã aici pentru a colecta Comoara Aureolin drept recompensã.
CZ_REWARD_TOOLTIP_COMPLETABLE	Colecteazã
CZ_REWARD_TOOLTIP_GREEN_BOX	Comoarã Aventurine
CZ_REWARD_TOOLTIP_GREEN_BOX_COMP_CNT	Comoari Aventurine Colectate: %d
CZ_REWARD_TOOLTIP_WEEKLY	Zi
CZ_REWARD_TOOLTIP_WEEKLY_FRI	Vineri
CZ_REWARD_TOOLTIP_WEEKLY_MON	Luni
CZ_REWARD_TOOLTIP_WEEKLY_SAT	Sâmbãtã
CZ_REWARD_TOOLTIP_WEEKLY_SAT_SUN	Sâmbãtã/Duminicã
CZ_REWARD_TOOLTIP_WEEKLY_THU	Joi
CZ_REWARD_TOOLTIP_WEEKLY_TUE	Marşi
CZ_REWARD_TOOLTIP_WEEKLY_WED	Miercuri
CZ_REWARD_TOOLTIP_YELLOW_BOX	Comoarã Aurelion
CZ_REWARD_TOOLTIP_YELLOW_BOX_COMP_CNT	Comori Aureolin Colectate: %d
DAY	z
DETAILS_0	Tare vs Metin
DETAILS_1	Tare vs Jumãtate-Om
DETAILS_2	Rezist la Jumãt.-Om
DETAILS_3	Tare vs Orci
DETAILS_4	Tare vs Vampir
DETAILS_5	Tare vs Monstru
DETAILS_6	Tare vs Monst Zodiac
DETAILS_7	Tare vs Animale
DETAILS_8	Tare vs Mistici
DETAILS_9	Tare vs Demon
DETAILS_10	Tare vs Mon. Deºert
DETAILS_11	Tare vs Insecte
DETAILS_12	Valoarea Atacului
DETAILS_13	Valoarea Apãrãrii
DETAILS_14	Pagubã Medie
DETAILS_15	Rezist. Pagubã Medie
DETAILS_16	Pagubã Abilitate
DETAILS_17	Rezistent Pagubã Abilitate
DETAILS_18	Atac Fizic/Magic
DETAILS_19	Atac Magic
DETAILS_20	ªansã Lovit. Criticã
DETAILS_21	Loviturã Pãtrunzãt.
DETAILS_22	Rezist Lovit. Crit.
DETAILS_23	Rezist Lov. Pãtrunz.
DETAILS_24	Rezist. la Fulger
DETAILS_25	Rezist. la Gheaşã
DETAILS_26	Rezist. la Întuneric
DETAILS_27	Rezist. la Foc
DETAILS_28	Rezist. la Vânt
DETAILS_29	Rezist. la Pãmânt
DETAILS_30	Puterea Fulgerului
DETAILS_31	Puterea Gheşii
DETAILS_32	Puterea Întunecatã
DETAILS_33	Puterea Focului
DETAILS_34	Puterea Vântului
DETAILS_35	Puterea Pãmântului
DETAILS_36	Tare vs Rãzboinic
DETAILS_37	Tare vs Ninja
DETAILS_38	Tare vs Sura
DETAILS_39	Tare vs ªaman
DETAILS_40	Tare vs Lycan
DETAILS_41	Apãrare vs Rãzboinic
DETAILS_42	Apãrare vs Ninja
DETAILS_43	Apãrare vs Sura
DETAILS_44	Apãrare vs ªaman
DETAILS_45	Apãrare vs Lycan
DETAILS_46	Apãrare Sabie
DETAILS_47	Apãrare Douã Mâini
DETAILS_48	Apãrare Pumnal
DETAILS_49	Apãrare Ghearã
DETAILS_50	Apãrare Clopot
DETAILS_51	Apãrare Evantai
DETAILS_52	Apãrare Sãgeatã
DETAILS_53	ªansã Necunoºtinşã
DETAILS_54	ªansã de Încetinire
DETAILS_55	ªansã de Otrãvire
DETAILS_56	Rezistenşã la Otravã
DETAILS_57	Atac Sângeros
DETAILS_58	Rez. Atac Sângeros
DETAILS_59	Furã PV
DETAILS_60	Furã PM
DETAILS_61	Recupereazã PV
DETAILS_62	Recupereazã PM
DETAILS_63	Blocheazã Atac
DETAILS_64	Evitã Atac Sãgeşi
DETAILS_65	Reflectã Atac Fizic
DETAILS_66	Recup. PV la Ucidere
DETAILS_67	Recup. PM la Ucidere
DETAILS_68	Dublu EXP
DETAILS_69	Dublu Yang
DETAILS_70	ªansã Drop
DETAILS_71	Valoarea Atacului
DETAILS_72	Valoarea Apãrãrii
DETAILS_73	EXP
DETAILS_74	ªansã Drop
DETAILS_75	Dublu Yang
DETAILS_76	Rezistenşã la Magie
DETAILS_77	Anti-Magie
DETAILS_78	Rezist. la monºtri
DETAILS_79	Bonus Atac magic
DETAILS_ATTBONUS_BELL	Vulnerabil Clopot
DETAILS_ATTBONUS_BOW	Vulnerabil Sãgeatã
DETAILS_ATTBONUS_CLAW	Vulnerabil Ghearã
DETAILS_ATTBONUS_DAGGER	Vulnerabil Pumnal
DETAILS_ATTBONUS_DRAGON	Tare împotriva Dragonilor
DETAILS_ATTBONUS_FAN	Vulnerabil Evantai
DETAILS_ATTBONUS_MOON	Puternic vs. Monºtri Lunari
DETAILS_ATTBONUS_SWORD	Vulnerabil Sabie
DETAILS_ATTBONUS_TWOHAND	Vulnerabil Douã Mâini
DETAILS_BLOCK_PENETRATE_PCT	Penetrarea blocãrii
DETAILS_CATE_1	Daune/Apãrare
DETAILS_CATE_2	Bonus element
DETAILS_CATE_3	Bonus clasã
DETAILS_CATE_4	Bonus armã
DETAILS_CATE_5	Alte bonusuri
DETAILS_CATE_6	Bonus special
DETAILS_CONFUSION_TO_MOB	Confuz
DETAILS_HIT_PCT	Precizie
DETAILS_MYSTERY_DUNGEON	Puternic împotriva Misterelor
DETAILS_REFUSE_EXP	Fãrã Experienşã Câºtigatã
DETAILS_RESIST_MOUNT_FALL	Rezistenşã la alunecare
DETAILS_TITLE	Detalii
DETAILS_TOOLTIP_0	Tare vs pietre Metin: Daune mai mari împotriva pietrelor Metin.
DETAILS_TOOLTIP_1	Tare vs Semi-Oameni: Daune mai mari împotriva Semi-Oameni.
DETAILS_TOOLTIP_2	Rezistenşã vs Semi-Oameni: Reduce daunele primite de la Semi-Oameni.
DETAILS_TOOLTIP_3	Tare vs Orci: Daune mai mari împotriva orcilor.
DETAILS_TOOLTIP_4	Tare vs Vampiri: Daune mai mari împotriva vampirilor.
DETAILS_TOOLTIP_5	Tare vs Monºtri: Daune mai mari împotriva monºtrilor.
DETAILS_TOOLTIP_6	Tare împotriva Monºtrilor Zodiac: Daune mai mari împotriva monºtrilor Zodiac.
DETAILS_TOOLTIP_7	Tare vs Animale: Daune mai mari împotriva animalelor sãlbatice.
DETAILS_TOOLTIP_8	Tare împotriva Misticilor: Daune mai mari împotriva misticilor.
DETAILS_TOOLTIP_9	Tare vs Demoni: Daune mai mari împotriva demonilor.
DETAILS_TOOLTIP_10	Tare împotriva Monºtrilor de Deºert: provoacã daune mai mari monºtrilor de deºert.
DETAILS_TOOLTIP_11	Tare împotriva Insectelor: provoacã daune mai mari împotriva insectelor.
DETAILS_TOOLTIP_12	Mãreºte valoarea atacului.
DETAILS_TOOLTIP_13	Mãreºte valoarea apãrãrii.
DETAILS_TOOLTIP_14	Mãreºte paguba medie executatã pe inamici în atac.
DETAILS_TOOLTIP_15	Rezistenşã vs pagubã medie: reduce daunele primite în atac.
DETAILS_TOOLTIP_16	Mãreºte daunele executate de o abilitate.
DETAILS_TOOLTIP_17	Rezistenşã vs pagubã abilitate. Reduce daunele primite de la o abilitate.
DETAILS_TOOLTIP_18	Mãreºte valoarea atacului fizic ºi magic.
DETAILS_TOOLTIP_19	Mãreºte daunele atacului magic executat pe inamici în atac.
DETAILS_TOOLTIP_20	Creºte ºansa unei lovituri critice.
DETAILS_TOOLTIP_21	Probabilitate loviturã pãtrunzãtoare: Creºte ºansa de a executa o loviturã pãtrunzãtoare.
DETAILS_TOOLTIP_22	Rezistenşã vs loviturã criticã: Reduce daunele fãcute de o loviturã criticã.
DETAILS_TOOLTIP_23	Rezistenşã vs loviturã pãtrunzãtoare: Reduce daunele fãcute de o loviturã pãtrunzãtoare.
DETAILS_TOOLTIP_24	Reduce daunele primite de la anumişi monºtri.
DETAILS_TOOLTIP_25	Reduce daunele primite de la anumişi monºtri.
DETAILS_TOOLTIP_26	Rezistenşã la întuneric: Reduce daunele primite de la anumişi monºtri.
DETAILS_TOOLTIP_27	Reduce daunele primite de la anumişi monºtri.
DETAILS_TOOLTIP_28	Reduce daunele primite de la anumişi monºtri.
DETAILS_TOOLTIP_29	Reduce daunele primite de la anumişi monºtri.
DETAILS_TOOLTIP_30	Creºte daunele fãcute cu puterea fulgerului.
DETAILS_TOOLTIP_31	Creºte daunele fãcute cu puterea gheşii.
DETAILS_TOOLTIP_32	Creºte daunele fãcute cu puterea întunecatã.
DETAILS_TOOLTIP_33	Creºte daunele fãcute cu puterea focului.
DETAILS_TOOLTIP_34	Creºte daunele fãcute cu puterea vântului.
DETAILS_TOOLTIP_35	Creºte daunele fãcute cu puterea pãmântului.
DETAILS_TOOLTIP_36	Tare vs Rãzboinici: Daune mai mari împotriva rãzboinicilor.
DETAILS_TOOLTIP_37	Tare vs Ninja: Daune mai mari împotriva ninja.
DETAILS_TOOLTIP_38	Tare vs Sura: Daune mai mari împotriva sura.
DETAILS_TOOLTIP_39	Tare vs ªamani: Daune mai mari împotriva ºamanilor.
DETAILS_TOOLTIP_40	Tare vs Lycani: Daune mai mari împotriva lycanilor.
DETAILS_TOOLTIP_41	ªansã de apãrare la atacurile primite de la rãzboinici: Reduce daunele primite de la rãzboinici.
DETAILS_TOOLTIP_42	ªansã de apãrare la atacurile primite de la ninja: Reduce daunele primite de la ninja.
DETAILS_TOOLTIP_43	ªansã de apãrare la atacurile primite de la sura: Reduce daunele primite de la sura.
DETAILS_TOOLTIP_44	ªansã de apãrare la atacurile primite de la ºaman: Reduce daunele primite de la ºaman.
DETAILS_TOOLTIP_45	ªansã de apãrare la atacurile primite de la lycan: Reduce daunele primite de la lycan.
DETAILS_TOOLTIP_46	Reduce daunele produse de o sabie.
DETAILS_TOOLTIP_47	Reduce daunele produse de o armã douã-mâini.
DETAILS_TOOLTIP_48	Reduce daunele produse de un pumnal.
DETAILS_TOOLTIP_49	Reduce daunele produse de o ghearã.
DETAILS_TOOLTIP_50	Reduce daunele produse de un clopot.
DETAILS_TOOLTIP_51	Reduce daunele produse de un evantai.
DETAILS_TOOLTIP_52	Reduce daunele produse de un arc cu sãgeşi
DETAILS_TOOLTIP_53	Creºte ºansa de necunoºtinşã la adversar.
DETAILS_TOOLTIP_54	Creºte ºansa de a încetini un oponent.
DETAILS_TOOLTIP_55	Creºte ºansa de a otrãvi un oponent.
DETAILS_TOOLTIP_56	Reduce daunele produse de otravã.
DETAILS_TOOLTIP_57	Creºte ºansa de a executa un atac sângeros.
DETAILS_TOOLTIP_58	Rezistenşã vs atac sângeros: Reduce daunele produse de atac sângeros.
DETAILS_TOOLTIP_59	Furã PV de la oponenşi atunci când îi loveºti.
DETAILS_TOOLTIP_60	Furã PM de la oponenşi atunci când îi loveºti.
DETAILS_TOOLTIP_61	Mãreºte recuperarea punctelor de viaşã.
DETAILS_TOOLTIP_62	Mãreºte recuperarea punctelor de magie.
DETAILS_TOOLTIP_63	ªansã de blocare a unui atac fizic: Creºte ºansa de a evita un atac fizic.
DETAILS_TOOLTIP_64	ªansã de evitare a unui atac cu sãgeşi: Creºte ºansa de a evita un atac cu sãgeşi sau de la distanşã de la un monstru.
DETAILS_TOOLTIP_65	ªansã de a reflecta lovituri fizice: O parte dintre daunele fizice de la oponent sunt reflectate cãtre el.
DETAILS_TOOLTIP_66	Recuperare PV când omori: Punctele tale de viaşã cresc când omori un oponent.
DETAILS_TOOLTIP_67	Recuperare PM când omori: Punctele tale de magie cresc când omori un oponent.
DETAILS_TOOLTIP_68	ªansa de a câºtiga experienşã dublã: Creºte ºansa de a câºtiga bonus de EXP atunci când omori un oponent.
DETAILS_TOOLTIP_69	ªansã la drop dublu Yang: Creºte ºansa de a primi de douã ori cantiatea de Yang.
DETAILS_TOOLTIP_70	ªansã la drop obiecte: Creºte ºansa de a primi de douã ori numãrul obiectelor.
DETAILS_TOOLTIP_71	Mãreºte valoarea atacului.
DETAILS_TOOLTIP_72	Mãreºte valoarea apãrãrii.
DETAILS_TOOLTIP_73	Creºte colectarea de experienşã.
DETAILS_TOOLTIP_74	ªansã drop obiecte: Îşi dubleazã ºansa de a colecta obiecte.
DETAILS_TOOLTIP_75	ªansã drop Yang: Îşi dubleazã ºansa de a colecta mai mult Yang.
DETAILS_TOOLTIP_76	Reduce daunele primite de la atacul magic.
DETAILS_TOOLTIP_77	Reduce rezistenşa magicã a oponenşilor.
DETAILS_TOOLTIP_78	Reduce daunele de la monºtri.
DETAILS_TOOLTIP_79	Creºte valoare de atac magic.
DETAILS_TOOLTIP_ATTBONUS_BELL	Vulnerabil apãrare Clopot: Reduce apãrarea oponentului în faşa clopotului.
DETAILS_TOOLTIP_ATTBONUS_BOW	Vulnerabil apãrare Sãgeatã: Reduce apãrarea oponentului în faşa sãgeşilor.
DETAILS_TOOLTIP_ATTBONUS_CLAW	Vulnerabil apãrare Ghearã: Reduce apãrarea oponentului în faşa ghearei.
DETAILS_TOOLTIP_ATTBONUS_DAGGER	Vulnerabil apãrare Pumnal: Reduce apãrarea oponentului în faşa pumnalului.
DETAILS_TOOLTIP_ATTBONUS_DRAGON	Cauzeazã daune mai mari dragonilor.
DETAILS_TOOLTIP_ATTBONUS_FAN	Vulnerabil apãrare Evantai: Reduce apãrarea oponentului în faşa evantaiului.
DETAILS_TOOLTIP_ATTBONUS_MOON	Provoci daune mai mari monºtrilor din Umbra Lunii.
DETAILS_TOOLTIP_ATTBONUS_SWORD	Vulnerabil apãrare Sabie: Reduce apãrarea oponentului în faşa sabiei.
DETAILS_TOOLTIP_ATTBONUS_TWOHAND	Vulnerabil apãrare Douã Mâini: Reduce apãrarea oponentului în faşa armelor douã mâini.
DETAILS_TOOLTIP_BLOCK_PENETRATE_PCT	Ai ºansa de a provoca daune ignorând blocarea inamicului tãu (doar în PvP).
DETAILS_TOOLTIP_CONFUSION_TO_MOB	Poate sã creeze confuzie monºtrilor.
DETAILS_TOOLTIP_HIT_PCT	Creºte ºansa de a lovi inamicul
DETAILS_TOOLTIP_MYSTERY_DUNGEON	Puternic împotriva Misterelor: Aduce mai multã daune monºtrilor din Temnişã Misterioasã ºi Ecoul Misterios
DETAILS_TOOLTIP_REFUSE_EXP	Nu vei primi experienşã.
DETAILS_TOOLTIP_RESIST_MOUNT_FALL	Rezistenşã la alunecare: Reduce ºansa de a aluneca de pe mount.
DONT_USE_ITEM_WHEN_SHOW_CONFIRM	Nu poti muta niciun obiect cand ai o cerere in asteptare.
DO_NOT_INSERT_UPBRINGING_PET	Însoşitorul activ nu poate fi selectat.
DO_YOU_BUY_ITEM1	Vrei sã cumperi %s pentru %s Yang?
DO_YOU_BUY_ITEM2	Doreºti sã cumperi %s (%s bucãşi) pentru %s Yang?
DO_YOU_BUY_ITEM3	Doreºti sã cumperi %s pentru %s Won ºi %s Yang?
DO_YOU_BUY_ITEM4	Doreºti sã cumperi %s (%s bucãşi) pentru %s Won ºi %s Yang?
DO_YOU_BUY_ITEM_SECONDARY_COIN_1	Vrei sa cumperi %s pentru %s?
DO_YOU_BUY_ITEM_SECONDARY_COIN_2	Doreºti sã cumperi %s (%s bucãşi) pentru %s?
DO_YOU_DROP_MONEY	Vrei sã renunşi la %d Yang?
DO_YOU_SELL_ITEM1	Vrei sã vinzi %s pentru %s Yang?
DO_YOU_SELL_ITEM2	Doreºti sã vinzi %s (%s bucãşi) pentru %s Yang?
DRAGON_GATE_AUTO_REINFORCE_QUESTION	
DRAGON_GATE_CLEAR	
DRAGON_GATE_CLEAR_NOT_ENOUGH_MAX_REINFORCE	
DRAGON_GATE_CLEAR_QUESTION	
DRAGON_GATE_CLEAR_SELECT	
DRAGON_GATE_CLEAR_TOOLTIP	
DRAGON_GATE_DEFENSE	
DRAGON_GATE_ENCHANT_DARK	
DRAGON_GATE_ENCHANT_EARTH	
DRAGON_GATE_ENCHANT_ELECTRIC	
DRAGON_GATE_ENCHANT_FIRE	
DRAGON_GATE_ENCHANT_ICE	
DRAGON_GATE_ENCHANT_WIND	
DRAGON_GATE_EXPERIENCE	
DRAGON_GATE_HEALTH	
DRAGON_GATE_ITEM_CLEAR	
DRAGON_GATE_ITEM_CLEAR_QUESTION	
DRAGON_GATE_MARK	
DRAGON_GATE_MASTER_STEP_CHECK	
DRAGON_GATE_MY_POINT_TOOLTIP	
DRAGON_GATE_NEED_POINT_TOOLTIP	
DRAGON_GATE_PAEWANG	
DRAGON_GATE_POINT_CLEAR	
DRAGON_GATE_POINT_CLEAR_NOT_ENOUGH_POINT	
DRAGON_GATE_POINT_CLEAR_QUESTION	
DRAGON_GATE_POWER	
DRAGON_GATE_REINFORCE_APPLY_DEFAULT_TOOLTIP	
DRAGON_GATE_REINFORCE_BONUS	
DRAGON_GATE_REINFORCE_BONUS_APPLY	
DRAGON_GATE_REINFORCE_COUNT_TOOLTIP	
DRAGON_GATE_REINFORCE_MAX	
DRAGON_GATE_REINFORCE_NOT_BONUS_APPLY	
DRAGON_GATE_REINFORCE_NOT_BONUS_APPLY2	
DRAGON_GATE_REINFORCE_NOT_ENOUGH_POINT	
DRAGON_GATE_REINFORCE_QUESTION	
DRAGON_GATE_REINFORCE_RESULT	
DRAGON_GATE_REINFORCE_TOOLTIP	
DRAGON_GATE_REINFORCE_TOOLTIP_LINE1	
DRAGON_GATE_REINFORCE_TOOLTIP_LINE2	
DRAGON_GATE_REINFORCE_TOOLTIP_TITLE	
DRAGON_GATE_RESIST_DARK	
DRAGON_GATE_RESIST_EARTH	
DRAGON_GATE_RESIST_ELECTRIC	
DRAGON_GATE_RESIST_FIRE	
